,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
34565,19.0,2012-03-09,178,1.0,3.0,220.0,0.0,0.0,0.29411764705882354,17.0,755.0,0.0,0.0,0.4,20.0,92.0,0.0,0.3333333333333333,0.42424242424242425,33.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
33156,46.0,2011-08-02,242,1.0,3.0,755.0,0.0,0.0,0.4,20.0,92.0,0.0,0.3333333333333333,0.42424242424242425,33.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.5652173913043478,23.0,62.0,0.0,0.25,0.425,40.0,0.0,0.0
27493,37.0,2009-07-08,187,1.0,2.0,92.0,0.0,0.3333333333333333,0.42424242424242425,33.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.5652173913043478,23.0,62.0,0.0,0.25,0.425,40.0,2.0,1.0,0.6,0.47058823529411764,51.0,0.0,0.0
26726,22.0,2009-04-07,148,1.0,0.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.5652173913043478,23.0,62.0,0.0,0.25,0.425,40.0,2.0,1.0,0.6,0.47058823529411764,51.0,2.0,1.0,0.6,0.5208333333333334,48.0,0.0,0.0
26647,20.0,2009-03-28,160,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,62.0,0.0,0.25,0.425,40.0,2.0,1.0,0.6,0.47058823529411764,51.0,2.0,1.0,0.6,0.5208333333333334,48.0,13.0,0.0,0.3333333333333333,0.48717948717948717,39.0,1.0,0.0
26605,20.0,2009-03-26,160,1.0,3.0,62.0,0.0,0.25,0.425,40.0,2.0,1.0,0.6,0.47058823529411764,51.0,2.0,1.0,0.6,0.5208333333333334,48.0,13.0,0.0,0.3333333333333333,0.48717948717948717,39.0,96.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
26094,6.0,2009-01-23,127,1.0,3.0,2.0,1.0,0.6,0.47058823529411764,51.0,2.0,1.0,0.6,0.5208333333333334,48.0,13.0,0.0,0.3333333333333333,0.48717948717948717,39.0,96.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,0.0
26063,6.0,2009-01-21,127,1.0,3.0,2.0,1.0,0.6,0.5208333333333334,48.0,13.0,0.0,0.3333333333333333,0.48717948717948717,39.0,96.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
26015,6.0,2009-01-19,127,1.0,3.0,13.0,0.0,0.3333333333333333,0.48717948717948717,39.0,96.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,33.0,0.0,0.0,0.32142857142857145,28.0,0.0,1.0
25859,1.0,2009-01-06,131,1.0,3.0,96.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,33.0,0.0,0.0,0.32142857142857145,28.0,19.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
