,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
31065,59.0,2010-10-28,92,0.0,3.0,2.0,1.0,0.6666666666666666,0.5625,32.0,5.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.75,8.0,47.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.6551724137931034,29.0,1.0,0.0
31053,59.0,2010-10-26,92,0.0,3.0,5.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.75,8.0,47.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.6551724137931034,29.0,6.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
31041,58.0,2010-10-21,101,0.0,3.0,2.0,1.0,1.0,0.75,8.0,47.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.6551724137931034,29.0,6.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,0.0
31026,58.0,2010-10-19,101,0.0,3.0,47.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.6551724137931034,29.0,6.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,5.0,0.0,0.0,0.35,20.0,0.0,1.0
30719,49.0,2010-09-02,72,1.0,3.0,3.0,1.0,1.0,0.6551724137931034,29.0,6.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,5.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
30662,49.0,2010-08-30,72,1.0,3.0,6.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,5.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,23.0,0.0,0.0,0.2,15.0,0.0,1.0
30625,48.0,2010-08-24,70,1.0,3.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,5.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,23.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.6666666666666666,24.0,1.0,0.0
30612,48.0,2010-08-23,70,1.0,3.0,5.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,23.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.6666666666666666,24.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0
30575,47.0,2010-08-18,83,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,23.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.6666666666666666,24.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,15.0,0.0,0.3333333333333333,0.4827586206896552,29.0,1.0,0.0
30546,47.0,2010-08-16,83,1.0,3.0,23.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.6666666666666666,24.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,15.0,0.0,0.3333333333333333,0.4827586206896552,29.0,12.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0
30304,40.0,2010-07-24,94,1.0,3.0,3.0,1.0,0.6666666666666666,0.6666666666666666,24.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,15.0,0.0,0.3333333333333333,0.4827586206896552,29.0,12.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.75,0.5531914893617021,47.0,2.0,0.0
30293,40.0,2010-07-21,94,1.0,3.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,15.0,0.0,0.3333333333333333,0.4827586206896552,29.0,12.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.75,0.5531914893617021,47.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0
30290,40.0,2010-07-20,94,1.0,3.0,15.0,0.0,0.3333333333333333,0.4827586206896552,29.0,12.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.75,0.5531914893617021,47.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,12.0,0.0,0.0,0.1,20.0,0.0,1.0
30197,37.0,2010-07-05,92,1.0,2.0,12.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.75,0.5531914893617021,47.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,12.0,0.0,0.0,0.1,20.0,2.0,1.0,1.0,0.59375,32.0,0.0,0.0
30146,36.0,2010-06-23,97,1.0,2.0,2.0,1.0,0.75,0.5531914893617021,47.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,12.0,0.0,0.0,0.1,20.0,2.0,1.0,1.0,0.59375,32.0,48.0,0.0,0.0,0.3333333333333333,9.0,1.0,0.0
30092,36.0,2010-06-21,97,1.0,2.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,12.0,0.0,0.0,0.1,20.0,2.0,1.0,1.0,0.59375,32.0,48.0,0.0,0.0,0.3333333333333333,9.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
29966,33.0,2010-06-07,97,1.0,2.0,12.0,0.0,0.0,0.1,20.0,2.0,1.0,1.0,0.59375,32.0,48.0,0.0,0.0,0.3333333333333333,9.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
29863,31.0,2010-05-26,102,1.0,0.0,2.0,1.0,1.0,0.59375,32.0,48.0,0.0,0.0,0.3333333333333333,9.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
29818,31.0,2010-05-24,102,1.0,0.0,48.0,0.0,0.0,0.3333333333333333,9.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.3333333333333333,0.4,25.0,0.0,1.0
29446,22.0,2010-04-06,104,1.0,0.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.3333333333333333,0.4,25.0,9.0,0.0,0.3333333333333333,0.5,26.0,0.0,0.0
29358,20.0,2010-03-26,83,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.3333333333333333,0.4,25.0,9.0,0.0,0.3333333333333333,0.5,26.0,4.0,0.0,0.0,0.4,20.0,1.0,0.0
29328,20.0,2010-03-24,83,1.0,3.0,12.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.3333333333333333,0.4,25.0,9.0,0.0,0.3333333333333333,0.5,26.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
29236,19.0,2010-03-12,77,1.0,3.0,16.0,0.0,0.3333333333333333,0.4,25.0,9.0,0.0,0.3333333333333333,0.5,26.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
29175,17.0,2010-02-24,78,1.0,3.0,9.0,0.0,0.3333333333333333,0.5,26.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.72,25.0,0.0,0.0
29098,15.0,2010-02-15,78,0.0,3.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.72,25.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,0.0,0.0
29030,12.0,2010-02-11,77,0.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.72,25.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,0.0
29013,12.0,2010-02-09,77,0.0,3.0,19.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.72,25.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,97.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
28820,6.0,2010-01-21,79,1.0,3.0,2.0,1.0,1.0,0.72,25.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,97.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.53125,32.0,1.0,0.0
28777,6.0,2010-01-19,79,1.0,3.0,6.0,0.0,0.3333333333333333,0.47058823529411764,34.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,97.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.53125,32.0,21.0,0.0,0.0,0.28,25.0,0.0,1.0
28717,5.0,2010-01-13,83,1.0,3.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,97.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.53125,32.0,21.0,0.0,0.0,0.28,25.0,3.0,1.0,0.6,0.5166666666666667,60.0,0.0,0.0
28595,1.0,2010-01-05,76,1.0,3.0,97.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.53125,32.0,21.0,0.0,0.0,0.28,25.0,3.0,1.0,0.6,0.5166666666666667,60.0,3.0,1.0,0.75,0.5454545454545454,44.0,0.0,0.0
28171,52.0,2009-09-30,120,0.0,3.0,2.0,1.0,0.6666666666666666,0.53125,32.0,21.0,0.0,0.0,0.28,25.0,3.0,1.0,0.6,0.5166666666666667,60.0,3.0,1.0,0.75,0.5454545454545454,44.0,7.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
28158,52.0,2009-09-28,120,0.0,3.0,21.0,0.0,0.0,0.28,25.0,3.0,1.0,0.6,0.5166666666666667,60.0,3.0,1.0,0.75,0.5454545454545454,44.0,7.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
28056,49.0,2009-09-07,196,1.0,3.0,3.0,1.0,0.6,0.5166666666666667,60.0,3.0,1.0,0.75,0.5454545454545454,44.0,7.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.631578947368421,19.0,26.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,0.0
28038,49.0,2009-09-04,196,1.0,3.0,3.0,1.0,0.75,0.5454545454545454,44.0,7.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.631578947368421,19.0,26.0,0.0,0.3333333333333333,0.48148148148148145,27.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
