,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44433,2.0,2016-01-05,177,1.0,3.0,161.0,0.0,0.3333333333333333,0.4230769230769231,26.0,203.0,0.0,0.0,0.3684210526315789,19.0,103.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,90.0,0.0,0.4,0.45652173913043476,46.0,0.0,0.0
43536,44.0,2015-07-28,147,1.0,3.0,203.0,0.0,0.0,0.3684210526315789,19.0,103.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,90.0,0.0,0.4,0.45652173913043476,46.0,15.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
41809,2.0,2015-01-06,136,1.0,3.0,103.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,90.0,0.0,0.4,0.45652173913043476,46.0,15.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.25,0.4418604651162791,43.0,0.0,0.0
41442,54.0,2014-09-25,141,1.0,3.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,90.0,0.0,0.4,0.45652173913043476,46.0,15.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.25,0.4418604651162791,43.0,24.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
41424,54.0,2014-09-22,141,1.0,3.0,90.0,0.0,0.4,0.45652173913043476,46.0,15.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.25,0.4418604651162791,43.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
40677,37.0,2014-06-24,125,1.0,2.0,15.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.25,0.4418604651162791,43.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
40540,34.0,2014-06-09,119,1.0,2.0,15.0,0.0,0.25,0.4418604651162791,43.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
40379,32.0,2014-05-25,96,1.0,0.0,24.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.38095238095238093,21.0,42.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
40203,27.0,2014-05-01,102,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.38095238095238093,21.0,42.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5384615384615384,13.0,1.0,0.0
40188,27.0,2014-04-29,102,1.0,0.0,7.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.38095238095238093,21.0,42.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5384615384615384,13.0,42.0,0.0,0.0,0.42424242424242425,33.0,0.0,1.0
40099,24.0,2014-04-22,100,1.0,0.0,13.0,0.0,0.0,0.38095238095238093,21.0,42.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5384615384615384,13.0,42.0,0.0,0.0,0.42424242424242425,33.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
40014,22.0,2014-04-09,88,1.0,0.0,42.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.5384615384615384,13.0,42.0,0.0,0.0,0.42424242424242425,33.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,455.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
39744,17.0,2014-02-26,78,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,13.0,42.0,0.0,0.0,0.42424242424242425,33.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,455.0,0.0,0.0,0.4090909090909091,22.0,-357.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
39738,17.0,2014-02-25,78,1.0,3.0,42.0,0.0,0.0,0.42424242424242425,33.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,455.0,0.0,0.0,0.4090909090909091,22.0,-357.0,0.0,0.0,0.3333333333333333,18.0,25.0,0.0,0.0,0.42857142857142855,35.0,0.0,1.0
39366,6.0,2014-01-14,97,1.0,3.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,455.0,0.0,0.0,0.4090909090909091,22.0,-357.0,0.0,0.0,0.3333333333333333,18.0,25.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.6,0.5777777777777777,45.0,0.0,0.0
39207,2.0,2013-12-31,90,1.0,3.0,455.0,0.0,0.0,0.4090909090909091,22.0,-357.0,0.0,0.0,0.3333333333333333,18.0,25.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.6,0.5777777777777777,45.0,27.0,0.0,0.0,0.4166666666666667,24.0,2.0,0.0
38858,56.0,2012-10-02,97,1.0,3.0,-357.0,0.0,0.0,0.3333333333333333,18.0,25.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.6,0.5777777777777777,45.0,27.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
38829,55.0,2013-09-24,98,0.0,3.0,25.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.6,0.5777777777777777,45.0,27.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,0.0
38700,51.0,2013-08-30,114,1.0,3.0,2.0,1.0,0.6,0.5777777777777777,45.0,27.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6842105263157895,19.0,61.0,0.0,0.0,0.18181818181818182,22.0,1.0,0.0
38661,51.0,2013-08-28,114,1.0,3.0,27.0,0.0,0.0,0.4166666666666667,24.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6842105263157895,19.0,61.0,0.0,0.0,0.18181818181818182,22.0,3.0,1.0,1.0,0.6333333333333333,30.0,0.0,1.0
38442,47.0,2013-08-01,129,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6842105263157895,19.0,61.0,0.0,0.0,0.18181818181818182,22.0,3.0,1.0,1.0,0.6333333333333333,30.0,46.0,0.0,0.0,0.3157894736842105,19.0,2.0,0.0
38423,47.0,2013-07-30,129,1.0,3.0,1.0,1.0,1.0,0.6842105263157895,19.0,61.0,0.0,0.0,0.18181818181818182,22.0,3.0,1.0,1.0,0.6333333333333333,30.0,46.0,0.0,0.0,0.3157894736842105,19.0,17.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
38407,47.0,2013-07-29,129,1.0,3.0,61.0,0.0,0.0,0.18181818181818182,22.0,3.0,1.0,1.0,0.6333333333333333,30.0,46.0,0.0,0.0,0.3157894736842105,19.0,17.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0
37825,32.0,2013-05-29,188,1.0,0.0,3.0,1.0,1.0,0.6333333333333333,30.0,46.0,0.0,0.0,0.3157894736842105,19.0,17.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.53125,32.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,1.0,0.0
