,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
9162,10.0,2003-02-11,430,1.0,0.0,28.0,0.0,0.0,0.35714285714285715,28.0,316.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.0,4.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
8972,6.0,2003-01-14,433,1.0,3.0,316.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.0,4.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,28.0,0.0,0.25,0.4358974358974359,39.0,0.0,0.0
6519,17.0,2002-03-04,81,1.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,28.0,0.0,0.25,0.4358974358974359,39.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
6442,14.0,2002-02-25,87,1.0,0.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,28.0,0.0,0.25,0.4358974358974359,39.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
6429,14.0,2002-02-25,87,1.0,0.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,28.0,0.0,0.25,0.4358974358974359,39.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4090909090909091,22.0,70.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
6308,10.0,2002-02-11,88,1.0,0.0,28.0,0.0,0.25,0.4358974358974359,39.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4090909090909091,22.0,70.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
6112,6.0,2002-01-14,89,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4090909090909091,22.0,70.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.3333333333333333,0.5161290322580645,31.0,0.0,0.0
6060,5.0,2002-01-07,88,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,70.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.3333333333333333,0.5161290322580645,31.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
5940,1.0,2001-12-31,88,1.0,3.0,70.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.3333333333333333,0.5161290322580645,31.0,0.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.25,0.42105263157894735,38.0,0.0,0.0
5813,66.0,2001-10-22,89,0.0,3.0,28.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.3333333333333333,0.5161290322580645,31.0,0.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.25,0.42105263157894735,38.0,14.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,0.0
