,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46590,52.0,2016-09-06,24,1.0,3.0,3.0,1.0,0.75,0.6176470588235294,34.0,1.0,1.0,0.6,0.5319148936170213,47.0,3.0,1.0,1.0,0.6129032258064516,31.0,9.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,3.0,0.0
46576,52.0,2016-09-03,24,1.0,3.0,1.0,1.0,0.6,0.5319148936170213,47.0,3.0,1.0,1.0,0.6129032258064516,31.0,9.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0
46559,52.0,2016-09-02,24,1.0,3.0,3.0,1.0,1.0,0.6129032258064516,31.0,9.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0
46503,52.0,2016-08-30,24,1.0,3.0,9.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
46422,50.0,2016-08-21,34,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0,1.0,0.75,16.0,18.0,0.0,0.3333333333333333,0.4230769230769231,26.0,4.0,0.0
46417,50.0,2016-08-19,34,1.0,3.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0,1.0,0.75,16.0,18.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.6190476190476191,21.0,3.0,1.0
46410,50.0,2016-08-18,34,1.0,3.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,1.0,1.0,1.0,0.75,16.0,18.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0
46399,50.0,2016-08-17,34,1.0,3.0,1.0,1.0,1.0,0.75,16.0,18.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,1.0
46376,50.0,2016-08-16,34,1.0,3.0,18.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0,0.6666666666666666,0.5142857142857142,35.0,6.0,0.0,0.0,0.4,20.0,0.0,1.0
46309,47.0,2016-07-29,40,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0,0.6666666666666666,0.5142857142857142,35.0,6.0,0.0,0.0,0.4,20.0,17.0,0.0,0.25,0.4318181818181818,44.0,3.0,0.0
46304,47.0,2016-07-28,40,1.0,3.0,0.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0,0.6666666666666666,0.5142857142857142,35.0,6.0,0.0,0.0,0.4,20.0,17.0,0.0,0.25,0.4318181818181818,44.0,2.0,1.0,0.75,0.5476190476190477,42.0,2.0,1.0
46299,47.0,2016-07-28,40,1.0,3.0,3.0,1.0,0.6666666666666666,0.5142857142857142,35.0,6.0,0.0,0.0,0.4,20.0,17.0,0.0,0.25,0.4318181818181818,44.0,2.0,1.0,0.75,0.5476190476190477,42.0,3.0,1.0,1.0,0.6666666666666666,27.0,1.0,1.0
46265,47.0,2016-07-25,40,1.0,3.0,6.0,0.0,0.0,0.4,20.0,17.0,0.0,0.25,0.4318181818181818,44.0,2.0,1.0,0.75,0.5476190476190477,42.0,3.0,1.0,1.0,0.6666666666666666,27.0,13.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
46229,46.0,2016-07-19,40,1.0,3.0,17.0,0.0,0.25,0.4318181818181818,44.0,2.0,1.0,0.75,0.5476190476190477,42.0,3.0,1.0,1.0,0.6666666666666666,27.0,13.0,0.0,0.3333333333333333,0.46875,32.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
