,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
25904,2.0,2009-01-09,180,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,76.0,0.0,0.3333333333333333,0.42424242424242425,33.0,27.0,0.0,0.3333333333333333,0.5142857142857142,35.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,0.0
25896,2.0,2009-01-07,180,1.0,3.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,76.0,0.0,0.3333333333333333,0.42424242424242425,33.0,27.0,0.0,0.3333333333333333,0.5142857142857142,35.0,1.0,1.0,1.0,0.5652173913043478,23.0,63.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0
25884,2.0,2009-01-05,180,1.0,3.0,76.0,0.0,0.3333333333333333,0.42424242424242425,33.0,27.0,0.0,0.3333333333333333,0.5142857142857142,35.0,1.0,1.0,1.0,0.5652173913043478,23.0,63.0,0.0,0.3333333333333333,0.42857142857142855,28.0,190.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0
25702,61.0,2008-10-21,175,0.0,1.0,27.0,0.0,0.3333333333333333,0.5142857142857142,35.0,1.0,1.0,1.0,0.5652173913043478,23.0,63.0,0.0,0.3333333333333333,0.42857142857142855,28.0,190.0,0.0,0.0,0.3870967741935484,31.0,81.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
25434,53.0,2008-09-24,166,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,63.0,0.0,0.3333333333333333,0.42857142857142855,28.0,190.0,0.0,0.0,0.3870967741935484,31.0,81.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
25424,53.0,2008-09-23,166,0.0,3.0,63.0,0.0,0.3333333333333333,0.42857142857142855,28.0,190.0,0.0,0.0,0.3870967741935484,31.0,81.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,91.0,0.0,0.0,0.2,15.0,0.0,1.0
25061,46.0,2008-07-22,213,1.0,3.0,190.0,0.0,0.0,0.3870967741935484,31.0,81.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,91.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
23309,6.0,2008-01-14,154,1.0,3.0,81.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,91.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
23072,64.0,2007-10-25,131,0.0,1.0,2.0,1.0,1.0,0.5652173913043478,23.0,91.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.25,0.43902439024390244,41.0,1.0,0.0
23057,64.0,2007-10-23,131,0.0,1.0,91.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.25,0.43902439024390244,41.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0
22264,45.0,2007-07-24,122,1.0,0.0,13.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.25,0.43902439024390244,41.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
22004,37.0,2007-07-11,117,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.25,0.43902439024390244,41.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,21.0,0.0,0.4,0.4788732394366197,71.0,1.0,0.0
21988,37.0,2007-07-09,117,1.0,0.0,13.0,0.0,0.25,0.43902439024390244,41.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,21.0,0.0,0.4,0.4788732394366197,71.0,80.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
21918,36.0,2007-06-26,107,1.0,2.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,21.0,0.0,0.4,0.4788732394366197,71.0,80.0,0.0,0.0,0.38095238095238093,21.0,10.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
21818,34.0,2007-06-20,112,1.0,2.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,21.0,0.0,0.4,0.4788732394366197,71.0,80.0,0.0,0.0,0.38095238095238093,21.0,10.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
21810,34.0,2007-06-19,112,1.0,2.0,21.0,0.0,0.4,0.4788732394366197,71.0,80.0,0.0,0.0,0.38095238095238093,21.0,10.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
