,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46609,53.0,2016-09-21,89,0.0,3.0,21.0,0.0,0.25,0.4318181818181818,44.0,37.0,0.0,0.3333333333333333,0.43333333333333335,30.0,6.0,0.0,0.0,0.2857142857142857,14.0,20.0,0.0,0.25,0.4444444444444444,45.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
46533,52.0,2016-08-31,74,1.0,3.0,37.0,0.0,0.3333333333333333,0.43333333333333335,30.0,6.0,0.0,0.0,0.2857142857142857,14.0,20.0,0.0,0.25,0.4444444444444444,45.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
46261,47.0,2016-07-25,79,1.0,3.0,6.0,0.0,0.0,0.2857142857142857,14.0,20.0,0.0,0.25,0.4444444444444444,45.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.3333333333333333,0.4090909090909091,22.0,0.0,0.0
46225,46.0,2016-07-19,75,1.0,3.0,20.0,0.0,0.25,0.4444444444444444,45.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.3333333333333333,0.4090909090909091,22.0,13.0,0.0,0.0,0.25,24.0,0.0,0.0
45972,39.0,2016-06-29,74,1.0,2.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.3333333333333333,0.4090909090909091,22.0,13.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5098039215686274,51.0,0.0,0.0
45903,38.0,2016-06-21,76,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.3333333333333333,0.4090909090909091,22.0,13.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5098039215686274,51.0,24.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,0.0
45887,38.0,2016-06-20,76,1.0,2.0,13.0,0.0,0.3333333333333333,0.4090909090909091,22.0,13.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5098039215686274,51.0,24.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
45789,35.0,2016-06-07,70,1.0,2.0,13.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5098039215686274,51.0,24.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
45695,33.0,2016-05-25,77,1.0,0.0,2.0,1.0,0.6,0.5098039215686274,51.0,24.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
45643,33.0,2016-05-23,77,1.0,0.0,24.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,1.0
45459,28.0,2016-04-29,75,1.0,0.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,26.0,0.0,0.5,0.391304347826087,23.0,2.0,0.0
45452,28.0,2016-04-27,75,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,26.0,0.0,0.5,0.391304347826087,23.0,13.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0
