,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46581,52.0,2016-09-04,122,1.0,3.0,3.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,0.75,0.6052631578947368,38.0,13.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,0.0
46558,52.0,2016-09-01,122,1.0,3.0,2.0,1.0,0.75,0.6052631578947368,38.0,13.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
46516,52.0,2016-08-30,122,1.0,3.0,13.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
46395,50.0,2016-08-17,122,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
46371,50.0,2016-08-15,122,1.0,3.0,5.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0
46343,49.0,2016-08-10,122,1.0,3.0,6.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0,1.0,0.5882352941176471,17.0,0.0,0.0
46334,48.0,2016-08-04,123,1.0,3.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0,1.0,0.5882352941176471,17.0,6.0,0.0,0.0,0.2777777777777778,18.0,1.0,0.0
46316,48.0,2016-08-01,123,1.0,3.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0,1.0,0.5882352941176471,17.0,6.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,1.0
46305,47.0,2016-07-28,147,1.0,3.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0,1.0,0.5882352941176471,17.0,6.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,8.0,0.0,0.0,0.25,16.0,2.0,0.0
46294,47.0,2016-07-27,147,1.0,3.0,1.0,1.0,1.0,0.5882352941176471,17.0,6.0,0.0,0.0,0.2777777777777778,18.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,8.0,0.0,0.0,0.25,16.0,110.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0
