,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46636,54.0,2016-09-21,90,0.0,3.0,22.0,0.0,0.4,0.5,48.0,9.0,0.0,0.3333333333333333,0.4444444444444444,27.0,39.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.25,0.45,40.0,0.0,0.0
46526,52.0,2016-08-30,79,1.0,3.0,9.0,0.0,0.3333333333333333,0.4444444444444444,27.0,39.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.25,0.45,40.0,6.0,0.0,0.0,0.35,20.0,0.0,0.0
46424,51.0,2016-08-21,79,1.0,3.0,39.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.25,0.45,40.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.6,20.0,0.0,0.0
46062,40.0,2016-07-13,79,1.0,0.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.25,0.45,40.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.14285714285714285,21.0,1.0,0.0
46047,40.0,2016-07-11,79,1.0,0.0,14.0,0.0,0.25,0.45,40.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.14285714285714285,21.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
45939,39.0,2016-06-27,78,1.0,2.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.14285714285714285,21.0,7.0,0.0,0.3333333333333333,0.46875,32.0,21.0,0.0,0.0,0.18181818181818182,11.0,0.0,0.0
45893,38.0,2016-06-21,79,1.0,2.0,2.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.14285714285714285,21.0,7.0,0.0,0.3333333333333333,0.46875,32.0,21.0,0.0,0.0,0.18181818181818182,11.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,0.0
45874,38.0,2016-06-19,79,1.0,2.0,26.0,0.0,0.0,0.14285714285714285,21.0,7.0,0.0,0.3333333333333333,0.46875,32.0,21.0,0.0,0.0,0.18181818181818182,11.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.56,25.0,0.0,1.0
45686,33.0,2016-05-24,75,1.0,0.0,7.0,0.0,0.3333333333333333,0.46875,32.0,21.0,0.0,0.0,0.18181818181818182,11.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.56,25.0,12.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
45585,31.0,2016-05-17,78,1.0,0.0,21.0,0.0,0.0,0.18181818181818182,11.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.56,25.0,12.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.44,25.0,0.0,0.0
