,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
5311,53.0,2001-08-27,121,1.0,3.0,14.0,0.0,0.0,0.44,25.0,21.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.25,0.41025641025641024,39.0,0.0,0.0
5123,50.0,2001-08-13,121,1.0,3.0,21.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.25,0.41025641025641024,39.0,0.0,1.0,0.75,0.5384615384615384,39.0,0.0,0.0
4891,45.0,2001-07-23,102,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.25,0.41025641025641024,39.0,0.0,1.0,0.75,0.5384615384615384,39.0,28.0,0.0,0.0,0.2962962962962963,27.0,0.0,0.0
4871,44.0,2001-07-16,99,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.25,0.41025641025641024,39.0,0.0,1.0,0.75,0.5384615384615384,39.0,28.0,0.0,0.0,0.2962962962962963,27.0,28.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
4696,39.0,2001-07-09,103,1.0,0.0,14.0,0.0,0.25,0.41025641025641024,39.0,0.0,1.0,0.75,0.5384615384615384,39.0,28.0,0.0,0.0,0.2962962962962963,27.0,28.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5454545454545454,22.0,0.0,0.0
4643,38.0,2001-06-25,102,1.0,2.0,0.0,1.0,0.75,0.5384615384615384,39.0,28.0,0.0,0.0,0.2962962962962963,27.0,28.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5454545454545454,22.0,0.0,1.0,1.0,0.5833333333333334,24.0,1.0,0.0
4571,38.0,2001-06-25,102,1.0,2.0,28.0,0.0,0.0,0.2962962962962963,27.0,28.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5454545454545454,22.0,0.0,1.0,1.0,0.5833333333333334,24.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
4316,33.0,2001-05-28,94,1.0,0.0,28.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5454545454545454,22.0,0.0,1.0,1.0,0.5833333333333334,24.0,7.0,0.0,0.3333333333333333,0.46875,32.0,14.0,0.0,0.0,0.2,15.0,0.0,0.0
4090,28.0,2001-04-30,110,1.0,0.0,0.0,1.0,0.6666666666666666,0.5454545454545454,22.0,0.0,1.0,1.0,0.5833333333333334,24.0,7.0,0.0,0.3333333333333333,0.46875,32.0,14.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.631578947368421,19.0,2.0,0.0
4083,28.0,2001-04-30,110,1.0,0.0,0.0,1.0,1.0,0.5833333333333334,24.0,7.0,0.0,0.3333333333333333,0.46875,32.0,14.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.631578947368421,19.0,42.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0
4069,28.0,2001-04-30,110,1.0,0.0,7.0,0.0,0.3333333333333333,0.46875,32.0,14.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.631578947368421,19.0,42.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0
