,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
16083,36.0,2005-06-20,787,1.0,2.0,14.0,0.0,0.3333333333333333,0.4411764705882353,34.0,13.0,0.0,0.4,0.35714285714285715,42.0,127.0,0.0,0.25,0.39473684210526316,38.0,472.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
15951,33.0,2005-06-06,871,1.0,2.0,13.0,0.0,0.4,0.35714285714285715,42.0,127.0,0.0,0.25,0.39473684210526316,38.0,472.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
15847,31.0,2005-05-24,1015,1.0,0.0,127.0,0.0,0.25,0.39473684210526316,38.0,472.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
14686,6.0,2005-01-17,0,1.0,3.0,472.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.3333333333333333,0.48717948717948717,39.0,0.0,0.0
11370,59.0,2003-10-03,103,1.0,3.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.3333333333333333,0.48717948717948717,39.0,1.0,1.0,0.0,0.5,14.0,3.0,0.0
11363,59.0,2003-10-02,103,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.3333333333333333,0.48717948717948717,39.0,1.0,1.0,0.0,0.5,14.0,2.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0
11353,59.0,2003-10-01,103,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.3333333333333333,0.48717948717948717,39.0,1.0,1.0,0.0,0.5,14.0,2.0,1.0,1.0,0.631578947368421,19.0,27.0,0.0,0.25,0.4666666666666667,45.0,1.0,1.0
11336,59.0,2003-09-29,103,1.0,3.0,3.0,0.0,0.3333333333333333,0.48717948717948717,39.0,1.0,1.0,0.0,0.5,14.0,2.0,1.0,1.0,0.631578947368421,19.0,27.0,0.0,0.25,0.4666666666666667,45.0,15.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
11263,56.0,2003-09-26,112,1.0,3.0,1.0,1.0,0.0,0.5,14.0,2.0,1.0,1.0,0.631578947368421,19.0,27.0,0.0,0.25,0.4666666666666667,45.0,15.0,0.0,0.3333333333333333,0.46875,32.0,8.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
11257,56.0,2003-09-25,112,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,27.0,0.0,0.25,0.4666666666666667,45.0,15.0,0.0,0.3333333333333333,0.46875,32.0,8.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0
11238,56.0,2003-09-23,112,1.0,3.0,27.0,0.0,0.25,0.4666666666666667,45.0,15.0,0.0,0.3333333333333333,0.46875,32.0,8.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
11044,51.0,2003-08-27,111,1.0,3.0,15.0,0.0,0.3333333333333333,0.46875,32.0,8.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
10908,49.0,2003-08-12,114,1.0,3.0,8.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,0.0
10836,48.0,2003-08-04,109,1.0,3.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.4857142857142857,35.0,0.0,0.0
10802,47.0,2003-07-30,103,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.4857142857142857,35.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
10786,47.0,2003-07-29,103,1.0,3.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.4857142857142857,35.0,2.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
10638,42.0,2003-07-26,108,1.0,3.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,0.6666666666666666,0.4857142857142857,35.0,2.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6428571428571429,14.0,3.0,0.0
10634,42.0,2003-07-25,108,1.0,3.0,2.0,1.0,0.6666666666666666,0.4857142857142857,35.0,2.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6428571428571429,14.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0
10623,42.0,2003-07-23,108,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6428571428571429,14.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.5476190476190477,42.0,1.0,1.0
10600,42.0,2003-07-21,108,1.0,3.0,12.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6428571428571429,14.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.5476190476190477,42.0,15.0,0.0,0.0,0.4,20.0,0.0,1.0
10503,39.0,2003-07-09,117,1.0,2.0,1.0,1.0,1.0,0.6428571428571429,14.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.5476190476190477,42.0,15.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.43243243243243246,37.0,1.0,0.0
10493,39.0,2003-07-08,117,1.0,2.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.75,0.5476190476190477,42.0,15.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.43243243243243246,37.0,14.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,1.0
10390,36.0,2003-06-26,115,1.0,2.0,2.0,1.0,0.75,0.5476190476190477,42.0,15.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.43243243243243246,37.0,14.0,0.0,0.3333333333333333,0.43333333333333335,30.0,67.0,0.0,0.0,0.25,16.0,1.0,0.0
10332,36.0,2003-06-24,115,1.0,2.0,15.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.43243243243243246,37.0,14.0,0.0,0.3333333333333333,0.43333333333333335,30.0,67.0,0.0,0.0,0.25,16.0,3.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
10192,33.0,2003-06-09,114,1.0,2.0,13.0,0.0,0.25,0.43243243243243246,37.0,14.0,0.0,0.3333333333333333,0.43333333333333335,30.0,67.0,0.0,0.0,0.25,16.0,3.0,1.0,1.0,0.5909090909090909,22.0,48.0,0.0,0.25,0.4,40.0,0.0,0.0
