,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46602,53.0,2016-09-20,74,0.0,3.0,18.0,0.0,0.0,0.3333333333333333,27.0,3.0,1.0,0.75,0.5476190476190477,42.0,7.0,0.0,0.0,0.35,20.0,32.0,0.0,0.3333333333333333,0.3333333333333333,24.0,2.0,1.0,0.6666666666666666,0.64,25.0,0.0,0.0
46564,52.0,2016-09-02,72,1.0,3.0,3.0,1.0,0.75,0.5476190476190477,42.0,7.0,0.0,0.0,0.35,20.0,32.0,0.0,0.3333333333333333,0.3333333333333333,24.0,2.0,1.0,0.6666666666666666,0.64,25.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,0.0
46520,52.0,2016-08-30,72,1.0,3.0,7.0,0.0,0.0,0.35,20.0,32.0,0.0,0.3333333333333333,0.3333333333333333,24.0,2.0,1.0,0.6666666666666666,0.64,25.0,1.0,1.0,0.6666666666666666,0.5625,32.0,19.0,0.0,0.25,0.46511627906976744,43.0,0.0,1.0
46439,51.0,2016-08-23,71,1.0,3.0,32.0,0.0,0.3333333333333333,0.3333333333333333,24.0,2.0,1.0,0.6666666666666666,0.64,25.0,1.0,1.0,0.6666666666666666,0.5625,32.0,19.0,0.0,0.25,0.46511627906976744,43.0,3.0,1.0,0.6,0.46938775510204084,49.0,0.0,0.0
46209,45.0,2016-07-22,81,1.0,0.0,2.0,1.0,0.6666666666666666,0.64,25.0,1.0,1.0,0.6666666666666666,0.5625,32.0,19.0,0.0,0.25,0.46511627906976744,43.0,3.0,1.0,0.6,0.46938775510204084,49.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
46200,45.0,2016-07-20,81,1.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,19.0,0.0,0.25,0.46511627906976744,43.0,3.0,1.0,0.6,0.46938775510204084,49.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,1.0,1.0
46190,45.0,2016-07-19,81,1.0,0.0,19.0,0.0,0.25,0.46511627906976744,43.0,3.0,1.0,0.6,0.46938775510204084,49.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,28.0,0.0,0.25,0.4883720930232558,43.0,0.0,1.0
45988,39.0,2016-06-30,87,1.0,2.0,3.0,1.0,0.6,0.46938775510204084,49.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,28.0,0.0,0.25,0.4883720930232558,43.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,1.0,0.0
45921,39.0,2016-06-27,87,1.0,2.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,28.0,0.0,0.25,0.4883720930232558,43.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,11.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
45901,38.0,2016-06-21,90,1.0,2.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,28.0,0.0,0.25,0.4883720930232558,43.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,11.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,0.0
45888,38.0,2016-06-21,90,1.0,2.0,28.0,0.0,0.25,0.4883720930232558,43.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,11.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
45676,33.0,2016-05-24,73,1.0,0.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,11.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
45542,30.0,2016-05-10,75,1.0,0.0,11.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.625,24.0,0.0,0.0
45432,27.0,2016-04-29,79,1.0,0.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.625,24.0,4.0,0.0,0.3333333333333333,0.46875,32.0,2.0,0.0
45428,27.0,2016-04-28,79,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.625,24.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0
