,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44839,13.0,2016-02-16,105,1.0,3.0,7.0,0.0,0.0,0.1,10.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.25,0.37142857142857144,35.0,105.0,0.0,0.3333333333333333,0.5,38.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
44783,11.0,2016-02-09,105,0.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.25,0.37142857142857144,35.0,105.0,0.0,0.3333333333333333,0.5,38.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,29.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
44726,9.0,2016-02-02,104,0.0,3.0,14.0,0.0,0.25,0.37142857142857144,35.0,105.0,0.0,0.3333333333333333,0.5,38.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,29.0,0.0,0.0,0.35714285714285715,28.0,41.0,0.0,0.3333333333333333,0.5,26.0,0.0,0.0
44582,6.0,2016-01-19,106,1.0,3.0,105.0,0.0,0.3333333333333333,0.5,38.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,29.0,0.0,0.0,0.35714285714285715,28.0,41.0,0.0,0.3333333333333333,0.5,26.0,7.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
44118,58.0,2015-10-06,131,1.0,3.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,29.0,0.0,0.0,0.35714285714285715,28.0,41.0,0.0,0.3333333333333333,0.5,26.0,7.0,0.0,0.0,0.46153846153846156,26.0,13.0,0.0,0.0,0.3870967741935484,31.0,0.0,0.0
44062,56.0,2015-09-29,133,1.0,3.0,29.0,0.0,0.0,0.35714285714285715,28.0,41.0,0.0,0.3333333333333333,0.5,26.0,7.0,0.0,0.0,0.46153846153846156,26.0,13.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.72,25.0,0.0,0.0
43847,52.0,2015-08-31,131,1.0,3.0,41.0,0.0,0.3333333333333333,0.5,26.0,7.0,0.0,0.0,0.46153846153846156,26.0,13.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.72,25.0,280.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
43478,42.0,2015-07-21,131,1.0,0.0,7.0,0.0,0.0,0.46153846153846156,26.0,13.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.72,25.0,280.0,0.0,0.0,0.3333333333333333,18.0,25.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
43423,40.0,2015-07-14,135,1.0,2.0,13.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.72,25.0,280.0,0.0,0.0,0.3333333333333333,18.0,25.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.59375,32.0,0.0,0.0
43361,39.0,2015-07-01,148,1.0,2.0,2.0,1.0,1.0,0.72,25.0,280.0,0.0,0.0,0.3333333333333333,18.0,25.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.59375,32.0,34.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
43308,39.0,2015-06-29,148,1.0,2.0,280.0,0.0,0.0,0.3333333333333333,18.0,25.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.59375,32.0,34.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.3076923076923077,13.0,0.0,1.0
41423,54.0,2014-09-22,98,1.0,3.0,25.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.59375,32.0,34.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.3076923076923077,13.0,9.0,0.0,0.0,0.35,20.0,0.0,0.0
41314,51.0,2014-08-28,94,1.0,3.0,3.0,1.0,1.0,0.59375,32.0,34.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.3076923076923077,13.0,9.0,0.0,0.0,0.35,20.0,13.0,0.0,0.0,0.35714285714285715,28.0,1.0,0.0
41242,51.0,2014-08-25,94,1.0,3.0,34.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.3076923076923077,13.0,9.0,0.0,0.0,0.35,20.0,13.0,0.0,0.0,0.35714285714285715,28.0,6.0,0.0,0.0,0.44,25.0,0.0,1.0
40938,43.0,2014-07-22,86,1.0,3.0,6.0,0.0,0.0,0.3076923076923077,13.0,9.0,0.0,0.0,0.35,20.0,13.0,0.0,0.0,0.35714285714285715,28.0,6.0,0.0,0.0,0.44,25.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,0.0
40866,41.0,2014-07-16,81,1.0,0.0,9.0,0.0,0.0,0.35,20.0,13.0,0.0,0.0,0.35714285714285715,28.0,6.0,0.0,0.0,0.44,25.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
40803,39.0,2014-07-07,78,1.0,2.0,13.0,0.0,0.0,0.35714285714285715,28.0,6.0,0.0,0.0,0.44,25.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,14.0,0.0,0.0,0.25,24.0,0.0,0.0
40693,37.0,2014-06-24,85,1.0,2.0,6.0,0.0,0.0,0.44,25.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,14.0,0.0,0.0,0.25,24.0,8.0,0.0,0.0,0.25,16.0,0.0,0.0
40632,36.0,2014-06-18,86,1.0,2.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,14.0,0.0,0.0,0.25,24.0,8.0,0.0,0.0,0.25,16.0,20.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
40620,36.0,2014-06-16,86,1.0,2.0,6.0,0.0,0.3333333333333333,0.4857142857142857,35.0,14.0,0.0,0.0,0.25,24.0,8.0,0.0,0.0,0.25,16.0,20.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
40554,34.0,2014-06-10,86,1.0,2.0,14.0,0.0,0.0,0.25,24.0,8.0,0.0,0.0,0.25,16.0,20.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.2,15.0,0.0,0.0
40432,32.0,2014-05-27,73,1.0,0.0,8.0,0.0,0.0,0.25,16.0,20.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.2,15.0,18.0,0.0,0.3333333333333333,0.3181818181818182,22.0,0.0,0.0
40353,31.0,2014-05-19,75,1.0,0.0,20.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.2,15.0,18.0,0.0,0.3333333333333333,0.3181818181818182,22.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,0.0
40188,27.0,2014-04-29,64,1.0,0.0,7.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.0,0.2,15.0,18.0,0.0,0.3333333333333333,0.3181818181818182,22.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,12.0,0.0,0.3333333333333333,0.4838709677419355,31.0,0.0,0.0
40138,25.0,2014-04-22,62,1.0,0.0,13.0,0.0,0.0,0.2,15.0,18.0,0.0,0.3333333333333333,0.3181818181818182,22.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,12.0,0.0,0.3333333333333333,0.4838709677419355,31.0,10.0,0.0,0.0,0.2777777777777778,18.0,0.0,0.0
40013,22.0,2014-04-09,63,1.0,0.0,18.0,0.0,0.3333333333333333,0.3181818181818182,22.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,12.0,0.0,0.3333333333333333,0.4838709677419355,31.0,10.0,0.0,0.0,0.2777777777777778,18.0,7.0,0.0,0.3333333333333333,0.44,25.0,0.0,0.0
39928,20.0,2014-03-22,67,1.0,3.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,12.0,0.0,0.3333333333333333,0.4838709677419355,31.0,10.0,0.0,0.0,0.2777777777777778,18.0,7.0,0.0,0.3333333333333333,0.44,25.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
39881,20.0,2014-03-19,67,1.0,3.0,12.0,0.0,0.3333333333333333,0.4838709677419355,31.0,10.0,0.0,0.0,0.2777777777777778,18.0,7.0,0.0,0.3333333333333333,0.44,25.0,7.0,0.0,0.0,0.4090909090909091,22.0,27.0,0.0,0.25,0.4523809523809524,42.0,0.0,1.0
39796,19.0,2014-03-07,62,1.0,3.0,10.0,0.0,0.0,0.2777777777777778,18.0,7.0,0.0,0.3333333333333333,0.44,25.0,7.0,0.0,0.0,0.4090909090909091,22.0,27.0,0.0,0.25,0.4523809523809524,42.0,2.0,1.0,0.6,0.5,46.0,0.0,0.0
39698,16.0,2014-02-25,62,1.0,3.0,7.0,0.0,0.3333333333333333,0.44,25.0,7.0,0.0,0.0,0.4090909090909091,22.0,27.0,0.0,0.25,0.4523809523809524,42.0,2.0,1.0,0.6,0.5,46.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
39613,13.0,2014-02-18,62,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,27.0,0.0,0.25,0.4523809523809524,42.0,2.0,1.0,0.6,0.5,46.0,7.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
39553,11.0,2014-02-11,62,0.0,3.0,27.0,0.0,0.25,0.4523809523809524,42.0,2.0,1.0,0.6,0.5,46.0,7.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
39390,6.0,2014-01-15,67,1.0,3.0,2.0,1.0,0.6,0.5,46.0,7.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,155.0,0.0,0.3333333333333333,0.4166666666666667,24.0,1.0,0.0
39327,6.0,2014-01-13,67,1.0,3.0,7.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,155.0,0.0,0.3333333333333333,0.4166666666666667,24.0,3.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,1.0
39285,5.0,2014-01-06,65,1.0,3.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,155.0,0.0,0.3333333333333333,0.4166666666666667,24.0,3.0,0.0,0.3333333333333333,0.3793103448275862,29.0,2.0,1.0,1.0,0.75,8.0,0.0,0.0
39186,1.0,2014-01-01,68,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,155.0,0.0,0.3333333333333333,0.4166666666666667,24.0,3.0,0.0,0.3333333333333333,0.3793103448275862,29.0,2.0,1.0,1.0,0.75,8.0,5.0,0.0,0.0,0.35,20.0,0.0,0.0
39178,1.0,2013-12-31,68,1.0,3.0,155.0,0.0,0.3333333333333333,0.4166666666666667,24.0,3.0,0.0,0.3333333333333333,0.3793103448275862,29.0,2.0,1.0,1.0,0.75,8.0,5.0,0.0,0.0,0.35,20.0,4.0,1.0,0.6666666666666666,0.6363636363636364,22.0,1.0,1.0
