,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
28658,3.0,2010-01-06,0.0,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,593.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.6666666666666666,0.6,30.0,16.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
28650,3.0,2010-01-05,0.0,1.0,3.0,593.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.6666666666666666,0.6,30.0,16.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.6,20.0,0.0,1.0
24355,29.0,2008-05-22,189,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.6666666666666666,0.6,30.0,16.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,0.0
24348,29.0,2008-05-20,189,1.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,16.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0,0.0,0.5652173913043478,23.0,1.0,1.0
24337,29.0,2008-05-19,189,1.0,0.0,16.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0,0.0,0.5652173913043478,23.0,372.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
24217,26.0,2008-05-03,295,1.0,0.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0,0.0,0.5652173913043478,23.0,372.0,0.0,0.0,0.3684210526315789,19.0,56.0,0.0,0.3333333333333333,0.4594594594594595,37.0,3.0,0.0
24214,26.0,2008-05-02,295,1.0,0.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0,0.0,0.5652173913043478,23.0,372.0,0.0,0.0,0.3684210526315789,19.0,56.0,0.0,0.3333333333333333,0.4594594594594595,37.0,55.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0
24211,26.0,2008-05-01,295,1.0,0.0,1.0,0.0,0.0,0.5652173913043478,23.0,372.0,0.0,0.0,0.3684210526315789,19.0,56.0,0.0,0.3333333333333333,0.4594594594594595,37.0,55.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0
24202,26.0,2008-04-30,295,1.0,0.0,372.0,0.0,0.0,0.3684210526315789,19.0,56.0,0.0,0.3333333333333333,0.4594594594594595,37.0,55.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0
21363,25.0,2007-04-24,134,1.0,0.0,56.0,0.0,0.3333333333333333,0.4594594594594595,37.0,55.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,307.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
20939,17.0,2007-02-27,195,1.0,3.0,55.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5384615384615384,26.0,307.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,20.0,55.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
20420,3.0,2007-01-03,189,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,307.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,20.0,55.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.6,20.0,1.0,0.0
