,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46635,54.0,2016-09-21,61,0.0,3.0,23.0,0.0,0.4,0.4782608695652174,46.0,8.0,0.0,0.0,0.4090909090909091,22.0,29.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,0.0
46477,52.0,2016-08-29,60,1.0,3.0,8.0,0.0,0.0,0.4090909090909091,22.0,29.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,1.0,0.8,15.0,0.0,0.0
46425,51.0,2016-08-21,61,1.0,3.0,29.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,1.0,0.8,15.0,3.0,0.0,0.0,0.25,16.0,0.0,0.0
46211,45.0,2016-07-23,72,1.0,0.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,1.0,0.8,15.0,3.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,3.0,0.0
46206,45.0,2016-07-22,72,1.0,0.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0,1.0,0.8,15.0,3.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0
46203,45.0,2016-07-21,72,1.0,0.0,2.0,1.0,1.0,0.8,15.0,3.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
46188,45.0,2016-07-19,72,1.0,0.0,3.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.25,0.4358974358974359,39.0,0.0,1.0
46072,40.0,2016-07-16,89,1.0,0.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.25,0.4358974358974359,39.0,64.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0
46070,40.0,2016-07-15,89,1.0,0.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.25,0.4358974358974359,39.0,64.0,0.0,0.0,0.3684210526315789,19.0,60.0,0.0,0.3333333333333333,0.36,25.0,2.0,1.0
46066,40.0,2016-07-14,89,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.25,0.4358974358974359,39.0,64.0,0.0,0.0,0.3684210526315789,19.0,60.0,0.0,0.3333333333333333,0.36,25.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
