,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
17040,56.0,2005-09-28,339,1.0,0.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,364.0,0.0,0.0,0.07692307692307693,13.0,15.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.40625,32.0,49.0,0.0,0.3333333333333333,0.3793103448275862,29.0,1.0,0.0
17032,56.0,2005-09-27,339,1.0,0.0,364.0,0.0,0.0,0.07692307692307693,13.0,15.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.40625,32.0,49.0,0.0,0.3333333333333333,0.3793103448275862,29.0,46.0,0.0,0.0,0.23076923076923078,13.0,0.0,1.0
14087,55.0,2004-09-28,152,1.0,0.0,15.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.40625,32.0,49.0,0.0,0.3333333333333333,0.3793103448275862,29.0,46.0,0.0,0.0,0.23076923076923078,13.0,2.0,1.0,1.0,0.6785714285714286,28.0,0.0,0.0
13994,52.0,2004-09-13,146,1.0,0.0,14.0,0.0,0.0,0.40625,32.0,49.0,0.0,0.3333333333333333,0.3793103448275862,29.0,46.0,0.0,0.0,0.23076923076923078,13.0,2.0,1.0,1.0,0.6785714285714286,28.0,27.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
13846,50.0,2004-08-30,123,1.0,3.0,49.0,0.0,0.3333333333333333,0.3793103448275862,29.0,46.0,0.0,0.0,0.23076923076923078,13.0,2.0,1.0,1.0,0.6785714285714286,28.0,27.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.4666666666666667,30.0,0.0,0.0
13448,41.0,2004-07-12,104,1.0,0.0,46.0,0.0,0.0,0.23076923076923078,13.0,2.0,1.0,1.0,0.6785714285714286,28.0,27.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.4666666666666667,30.0,111.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
12969,30.0,2004-05-27,161,1.0,0.0,2.0,1.0,1.0,0.6785714285714286,28.0,27.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.4666666666666667,30.0,111.0,0.0,0.0,0.14285714285714285,14.0,484.0,0.0,0.3333333333333333,0.4583333333333333,24.0,1.0,0.0
12921,30.0,2004-05-25,161,1.0,0.0,27.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.4666666666666667,30.0,111.0,0.0,0.0,0.14285714285714285,14.0,484.0,0.0,0.3333333333333333,0.4583333333333333,24.0,413.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
12645,24.0,2004-04-28,161,1.0,0.0,2.0,1.0,0.6666666666666666,0.4666666666666667,30.0,111.0,0.0,0.0,0.14285714285714285,14.0,484.0,0.0,0.3333333333333333,0.4583333333333333,24.0,413.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.25,0.35294117647058826,34.0,1.0,0.0
12617,24.0,2004-04-26,161,1.0,0.0,111.0,0.0,0.0,0.14285714285714285,14.0,484.0,0.0,0.3333333333333333,0.4583333333333333,24.0,413.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.25,0.35294117647058826,34.0,28.0,0.0,0.25,0.42857142857142855,35.0,0.0,1.0
11648,1.0,2004-01-06,152,1.0,3.0,484.0,0.0,0.3333333333333333,0.4583333333333333,24.0,413.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.25,0.35294117647058826,34.0,28.0,0.0,0.25,0.42857142857142855,35.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
8290,52.0,2002-09-09,316,1.0,0.0,413.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.25,0.35294117647058826,34.0,28.0,0.0,0.25,0.42857142857142855,35.0,7.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
4890,45.0,2001-07-23,308,1.0,0.0,28.0,0.0,0.25,0.35294117647058826,34.0,28.0,0.0,0.25,0.42857142857142855,35.0,7.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.29411764705882354,17.0,63.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
4597,38.0,2001-06-25,150,1.0,2.0,28.0,0.0,0.25,0.42857142857142855,35.0,7.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.29411764705882354,17.0,63.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
4287,33.0,2001-05-28,111,1.0,0.0,7.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.29411764705882354,17.0,63.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
4257,32.0,2001-05-21,108,1.0,0.0,21.0,0.0,0.0,0.29411764705882354,17.0,63.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.4827586206896552,29.0,0.0,0.0
4099,29.0,2001-04-30,104,1.0,0.0,63.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.4827586206896552,29.0,28.0,0.0,0.4,0.4642857142857143,56.0,0.0,0.0
3521,15.0,2001-02-26,93,1.0,0.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.4827586206896552,29.0,28.0,0.0,0.4,0.4642857142857143,56.0,91.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
3409,12.0,2001-02-19,93,1.0,0.0,7.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.4827586206896552,29.0,28.0,0.0,0.4,0.4642857142857143,56.0,91.0,0.0,0.3333333333333333,0.4,25.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
3388,11.0,2001-02-12,99,1.0,0.0,0.0,1.0,0.6666666666666666,0.4827586206896552,29.0,28.0,0.0,0.4,0.4642857142857143,56.0,91.0,0.0,0.3333333333333333,0.4,25.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.6,20.0,1.0,0.0
3375,11.0,2001-02-12,99,1.0,0.0,28.0,0.0,0.4,0.4642857142857143,56.0,91.0,0.0,0.3333333333333333,0.4,25.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.25,16.0,0.0,1.0
3121,6.0,2001-01-15,99,1.0,3.0,91.0,0.0,0.3333333333333333,0.4,25.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.25,16.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
2620,59.0,2000-10-16,95,1.0,3.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.25,16.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,56.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
2546,57.0,2000-10-09,96,1.0,3.0,0.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.25,16.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,56.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0,1.0,0.8,15.0,1.0,0.0
2525,57.0,2000-10-09,96,1.0,3.0,14.0,0.0,0.0,0.25,16.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,56.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5151515151515151,33.0,0.0,1.0
