,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
24940,42.0,2008-07-15,218,1.0,0.0,57.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.3333333333333333,0.42857142857142855,28.0,12.0,0.0,0.3333333333333333,0.45454545454545453,33.0,34.0,0.0,0.0,0.43478260869565216,23.0,15.0,0.0,0.0,0.4,20.0,0.0,0.0
24364,30.0,2008-05-19,135,1.0,0.0,21.0,0.0,0.3333333333333333,0.42857142857142855,28.0,12.0,0.0,0.3333333333333333,0.45454545454545453,33.0,34.0,0.0,0.0,0.43478260869565216,23.0,15.0,0.0,0.0,0.4,20.0,8.0,0.0,0.0,0.4,20.0,0.0,0.0
24138,25.0,2008-04-28,124,1.0,0.0,12.0,0.0,0.3333333333333333,0.45454545454545453,33.0,34.0,0.0,0.0,0.43478260869565216,23.0,15.0,0.0,0.0,0.4,20.0,8.0,0.0,0.0,0.4,20.0,35.0,0.0,0.0,0.4,30.0,0.0,0.0
24061,23.0,2008-04-16,122,1.0,0.0,34.0,0.0,0.0,0.43478260869565216,23.0,15.0,0.0,0.0,0.4,20.0,8.0,0.0,0.0,0.4,20.0,35.0,0.0,0.0,0.4,30.0,8.0,0.0,0.3333333333333333,0.5,26.0,0.0,0.0
23799,19.0,2008-03-13,83,1.0,3.0,15.0,0.0,0.0,0.4,20.0,8.0,0.0,0.0,0.4,20.0,35.0,0.0,0.0,0.4,30.0,8.0,0.0,0.3333333333333333,0.5,26.0,4.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
23655,14.0,2008-02-27,82,1.0,0.0,8.0,0.0,0.0,0.4,20.0,35.0,0.0,0.0,0.4,30.0,8.0,0.0,0.3333333333333333,0.5,26.0,4.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,0.0
23552,11.0,2008-02-19,83,1.0,0.0,35.0,0.0,0.0,0.4,30.0,8.0,0.0,0.3333333333333333,0.5,26.0,4.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,69.0,0.0,0.0,0.35,20.0,0.0,0.0
23352,6.0,2008-01-15,64,1.0,3.0,8.0,0.0,0.3333333333333333,0.5,26.0,4.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,69.0,0.0,0.0,0.35,20.0,15.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
23235,4.0,2008-01-07,65,1.0,3.0,4.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,69.0,0.0,0.0,0.35,20.0,15.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.2,5.0,0.0,0.0
23193,2.0,2008-01-03,66,1.0,3.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,69.0,0.0,0.0,0.35,20.0,15.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.2,5.0,7.0,0.0,0.3333333333333333,0.4,25.0,1.0,0.0
23178,2.0,2008-01-01,66,1.0,3.0,69.0,0.0,0.0,0.35,20.0,15.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.2,5.0,7.0,0.0,0.3333333333333333,0.4,25.0,16.0,0.0,0.0,0.4,20.0,0.0,1.0
23063,64.0,2007-10-24,67,0.0,1.0,15.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.2,5.0,7.0,0.0,0.3333333333333333,0.4,25.0,16.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.4318181818181818,44.0,0.0,0.0
22916,60.0,2007-10-09,63,0.0,3.0,6.0,0.0,0.0,0.2,5.0,7.0,0.0,0.3333333333333333,0.4,25.0,16.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.4318181818181818,44.0,29.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
22781,56.0,2007-10-03,65,0.0,3.0,7.0,0.0,0.3333333333333333,0.4,25.0,16.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.4318181818181818,44.0,29.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
22719,54.0,2007-09-26,62,0.0,3.0,16.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.4318181818181818,44.0,29.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.3333333333333333,0.46875,32.0,3.0,0.0,0.0,0.35,20.0,0.0,0.0
22679,53.0,2007-09-10,62,1.0,0.0,13.0,0.0,0.25,0.4318181818181818,44.0,29.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.3333333333333333,0.46875,32.0,3.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
22560,51.0,2007-08-28,52,1.0,3.0,29.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.3333333333333333,0.46875,32.0,3.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
22285,46.0,2007-07-30,53,1.0,0.0,5.0,0.0,0.3333333333333333,0.46875,32.0,3.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
22223,44.0,2007-07-25,53,1.0,0.0,3.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
22111,40.0,2007-07-22,66,1.0,0.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0
22109,40.0,2007-07-21,66,1.0,0.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,3.0,1.0
22106,40.0,2007-07-20,66,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,12.0,0.0,0.0,0.28,25.0,2.0,1.0
22104,40.0,2007-07-19,66,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,12.0,0.0,0.0,0.28,25.0,2.0,1.0,0.75,0.5833333333333334,36.0,1.0,1.0
