,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
13636,45.0,2004-07-28,67,1.0,3.0,59.0,0.0,0.0,0.0,6.0,2.0,1.0,0.75,0.6097560975609756,41.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,1.0,1.0,0.6551724137931034,29.0,33.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
12998,30.0,2004-05-30,76,1.0,0.0,2.0,1.0,0.75,0.6097560975609756,41.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,1.0,1.0,0.6551724137931034,29.0,33.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,3.0,0.0
12981,30.0,2004-05-28,76,1.0,0.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,1.0,1.0,0.6551724137931034,29.0,33.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,27.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0
12954,30.0,2004-05-26,76,1.0,0.0,2.0,1.0,1.0,0.6551724137931034,29.0,33.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,27.0,0.0,0.3333333333333333,0.4857142857142857,35.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
12906,30.0,2004-05-24,76,1.0,0.0,33.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,27.0,0.0,0.3333333333333333,0.4857142857142857,35.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,32.0,0.0,1.0
12587,23.0,2004-04-21,84,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,27.0,0.0,0.3333333333333333,0.4857142857142857,35.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
12563,23.0,2004-04-20,84,1.0,0.0,27.0,0.0,0.3333333333333333,0.4857142857142857,35.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5,38.0,0.0,1.0
12364,19.0,2004-03-24,66,1.0,3.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5,38.0,18.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
12351,18.0,2004-03-18,77,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5,38.0,18.0,0.0,0.3333333333333333,0.48484848484848486,33.0,12.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0
12340,18.0,2004-03-16,77,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5,38.0,18.0,0.0,0.3333333333333333,0.48484848484848486,33.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0
12326,18.0,2004-03-15,77,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,38.0,18.0,0.0,0.3333333333333333,0.48484848484848486,33.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.3333333333333333,27.0,1.0,1.0
12294,18.0,2004-03-13,77,1.0,3.0,18.0,0.0,0.3333333333333333,0.48484848484848486,33.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.59375,32.0,0.0,1.0
12144,14.0,2004-02-24,77,0.0,3.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.6333333333333333,30.0,0.0,0.0
11946,7.0,2004-02-12,61,0.0,1.0,1.0,1.0,1.0,0.631578947368421,19.0,19.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.6333333333333333,30.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
11937,7.0,2004-02-11,61,0.0,1.0,19.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.6333333333333333,30.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
11895,6.0,2004-01-23,59,1.0,3.0,2.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.6333333333333333,30.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,0.0
11863,6.0,2004-01-21,59,1.0,3.0,2.0,1.0,1.0,0.6333333333333333,30.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
11813,6.0,2004-01-19,59,1.0,3.0,9.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.8,15.0,0.0,1.0
11733,3.0,2004-01-10,114,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.8,15.0,194.0,0.0,0.3333333333333333,0.41935483870967744,31.0,4.0,1.0
11731,3.0,2004-01-09,114,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.8,15.0,194.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.5555555555555556,36.0,3.0,1.0
