,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46519,52.0,2016-08-30,83,1.0,3.0,8.0,0.0,0.3333333333333333,0.4583333333333333,24.0,34.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.25,0.4444444444444444,36.0,0.0,0.0
46435,51.0,2016-08-22,84,1.0,3.0,34.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.25,0.4444444444444444,36.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,0.0,0.0
46218,46.0,2016-07-19,74,1.0,3.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.25,0.4444444444444444,36.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,0.0,0.0
46124,42.0,2016-07-14,75,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.25,0.4444444444444444,36.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,25.0,0.0,0.0,0.3870967741935484,31.0,1.0,0.0
46116,42.0,2016-07-13,75,1.0,2.0,15.0,0.0,0.25,0.4444444444444444,36.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,25.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6129032258064516,31.0,0.0,1.0
45955,39.0,2016-06-28,77,1.0,2.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,25.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6129032258064516,31.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,0.0
45896,38.0,2016-06-21,78,1.0,2.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,25.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6129032258064516,31.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
45882,38.0,2016-06-20,78,1.0,2.0,25.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6129032258064516,31.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0
45724,33.0,2016-05-26,87,1.0,0.0,2.0,1.0,1.0,0.6129032258064516,31.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.3333333333333333,0.41379310344827586,29.0,1.0,1.0,1.0,0.65,20.0,1.0,0.0
45664,33.0,2016-05-24,87,1.0,0.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.3333333333333333,0.41379310344827586,29.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.35,20.0,0.0,1.0
