,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
11141,52.0,2003-09-13,260,1.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,1.0,0.6666666666666666,0.5416666666666666,24.0,49.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,3.0,0.0
11138,52.0,2003-09-12,260,1.0,0.0,1.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,1.0,0.6666666666666666,0.5416666666666666,24.0,49.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,6.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0
11130,52.0,2003-09-11,260,1.0,0.0,1.0,1.0,0.6666666666666666,0.5416666666666666,24.0,49.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
11118,52.0,2003-09-10,260,1.0,0.0,49.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,84.0,0.0,0.0,0.4,20.0,0.0,1.0
10670,43.0,2003-07-23,202,1.0,0.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,84.0,0.0,0.0,0.4,20.0,13.0,0.0,0.3333333333333333,0.43333333333333335,30.0,1.0,0.0
10646,43.0,2003-07-21,202,1.0,0.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,84.0,0.0,0.0,0.4,20.0,13.0,0.0,0.3333333333333333,0.43333333333333335,30.0,49.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
10567,41.0,2003-07-15,216,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,84.0,0.0,0.0,0.4,20.0,13.0,0.0,0.3333333333333333,0.43333333333333335,30.0,49.0,0.0,0.0,0.4090909090909091,22.0,162.0,0.0,0.0,0.35,20.0,1.0,0.0
10556,41.0,2003-07-14,216,1.0,0.0,84.0,0.0,0.0,0.4,20.0,13.0,0.0,0.3333333333333333,0.43333333333333335,30.0,49.0,0.0,0.0,0.4090909090909091,22.0,162.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0
9732,24.0,2003-04-21,222,1.0,0.0,13.0,0.0,0.3333333333333333,0.43333333333333335,30.0,49.0,0.0,0.0,0.4090909090909091,22.0,162.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,0.6666666666666666,0.5,28.0,0.0,0.0
9635,22.0,2003-04-08,224,1.0,0.0,49.0,0.0,0.0,0.4090909090909091,22.0,162.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,0.6666666666666666,0.5,28.0,14.0,0.0,0.25,0.3684210526315789,38.0,0.0,0.0
