,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46044,39.0,2016-07-08,3,1.0,2.0,2.0,1.0,0.6,0.5370370370370371,54.0,2.0,1.0,1.0,0.6551724137931034,29.0,3.0,1.0,1.0,0.6923076923076923,26.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0
46040,39.0,2016-07-06,3,1.0,2.0,2.0,1.0,1.0,0.6551724137931034,29.0,3.0,1.0,1.0,0.6923076923076923,26.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.5714285714285714,35.0,9.0,0.0,0.3333333333333333,0.47058823529411764,34.0,4.0,1.0
46032,39.0,2016-07-04,3,1.0,2.0,3.0,1.0,1.0,0.6923076923076923,26.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.5714285714285714,35.0,9.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.65,20.0,3.0,1.0
46016,39.0,2016-07-01,3,1.0,2.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,1.0,0.5714285714285714,35.0,9.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0
45985,39.0,2016-06-29,3,1.0,2.0,2.0,1.0,1.0,0.5714285714285714,35.0,9.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0
45950,39.0,2016-06-27,3,1.0,2.0,9.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,4.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0
45839,36.0,2016-06-18,3,1.0,2.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,4.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,1.0,0.5384615384615384,26.0,3.0,0.0
45836,36.0,2016-06-17,3,1.0,2.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.5652173913043478,23.0,4.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0
45833,36.0,2016-06-16,3,1.0,2.0,1.0,1.0,1.0,0.5652173913043478,23.0,4.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.53125,32.0,28.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0
45825,36.0,2016-06-15,3,1.0,2.0,4.0,0.0,0.3333333333333333,0.5,32.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.53125,32.0,28.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
