,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46577,52.0,2016-09-03,13,1.0,3.0,1.0,1.0,0.6,0.6,45.0,3.0,1.0,0.0,0.5454545454545454,11.0,15.0,0.0,0.3333333333333333,0.5,28.0,30.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,0.0
46565,52.0,2016-09-02,13,1.0,3.0,3.0,1.0,0.0,0.5454545454545454,11.0,15.0,0.0,0.3333333333333333,0.5,28.0,30.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0
46515,52.0,2016-08-30,13,1.0,3.0,15.0,0.0,0.3333333333333333,0.5,28.0,30.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0
46370,50.0,2016-08-15,12,1.0,3.0,30.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.8181818181818182,22.0,0.0,0.0
46071,40.0,2016-07-16,13,1.0,0.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.8181818181818182,22.0,14.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
46069,40.0,2016-07-15,13,1.0,0.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.8181818181818182,22.0,14.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0
46064,40.0,2016-07-14,13,1.0,0.0,14.0,0.0,0.0,0.3076923076923077,26.0,3.0,1.0,1.0,0.8181818181818182,22.0,14.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.6,20.0,0.0,1.0
45993,39.0,2016-06-30,14,1.0,2.0,3.0,1.0,1.0,0.8181818181818182,22.0,14.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.6,20.0,8.0,0.0,0.0,0.36666666666666664,30.0,1.0,0.0
45932,39.0,2016-06-27,14,1.0,2.0,14.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.6,20.0,8.0,0.0,0.0,0.36666666666666664,30.0,4.0,1.0,1.0,0.6333333333333333,30.0,0.0,1.0
45815,36.0,2016-06-13,14,1.0,2.0,3.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0,1.0,0.6,20.0,8.0,0.0,0.0,0.36666666666666664,30.0,4.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,0.75,0.6,40.0,0.0,0.0
45805,35.0,2016-06-10,14,1.0,2.0,1.0,1.0,1.0,0.6,20.0,8.0,0.0,0.0,0.36666666666666664,30.0,4.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,0.75,0.6,40.0,2.0,1.0,1.0,0.8571428571428571,21.0,1.0,0.0
45803,35.0,2016-06-09,14,1.0,2.0,8.0,0.0,0.0,0.36666666666666664,30.0,4.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,0.75,0.6,40.0,2.0,1.0,1.0,0.8571428571428571,21.0,4.0,0.0,0.0,0.4166666666666667,24.0,0.0,1.0
45748,33.0,2016-06-01,11,1.0,0.0,4.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,0.75,0.6,40.0,2.0,1.0,1.0,0.8571428571428571,21.0,4.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.75,16.0,3.0,0.0
45736,33.0,2016-05-28,11,1.0,0.0,2.0,1.0,0.75,0.6,40.0,2.0,1.0,1.0,0.8571428571428571,21.0,4.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.0,0.35714285714285715,14.0,2.0,1.0
45725,33.0,2016-05-26,11,1.0,0.0,2.0,1.0,1.0,0.8571428571428571,21.0,4.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.0,0.35714285714285715,14.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
45686,33.0,2016-05-24,11,1.0,0.0,4.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.0,0.35714285714285715,14.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
45600,31.0,2016-05-20,12,1.0,0.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.0,0.35714285714285715,14.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,0.0
45597,31.0,2016-05-19,12,1.0,0.0,1.0,1.0,0.0,0.35714285714285715,14.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0
45595,31.0,2016-05-18,12,1.0,0.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,1.0
45565,30.0,2016-05-12,9,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,0.6666666666666666,0.625,24.0,2.0,0.0
45559,30.0,2016-05-11,9,1.0,0.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,0.6666666666666666,0.625,24.0,35.0,0.0,0.3333333333333333,0.47368421052631576,38.0,1.0,1.0
45543,30.0,2016-05-10,9,1.0,0.0,5.0,0.0,0.0,0.44,25.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,0.6666666666666666,0.625,24.0,35.0,0.0,0.3333333333333333,0.47368421052631576,38.0,3.0,1.0,1.0,0.65,20.0,0.0,1.0
45508,29.0,2016-05-05,9,1.0,0.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,0.6666666666666666,0.625,24.0,35.0,0.0,0.3333333333333333,0.47368421052631576,38.0,3.0,1.0,1.0,0.65,20.0,30.0,0.0,0.0,0.4,20.0,2.0,0.0
45502,29.0,2016-05-04,9,1.0,0.0,2.0,1.0,0.6666666666666666,0.625,24.0,35.0,0.0,0.3333333333333333,0.47368421052631576,38.0,3.0,1.0,1.0,0.65,20.0,30.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
45478,29.0,2016-05-02,9,1.0,0.0,35.0,0.0,0.3333333333333333,0.47368421052631576,38.0,3.0,1.0,1.0,0.65,20.0,30.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
45178,20.0,2016-03-28,8,1.0,3.0,3.0,1.0,1.0,0.65,20.0,30.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,0.0
45144,20.0,2016-03-25,8,1.0,3.0,30.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
44940,16.0,2016-02-24,8,1.0,3.0,0.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
44937,16.0,2016-02-24,8,1.0,3.0,4.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,0.6666666666666666,0.5,26.0,0.0,1.0
