,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
42762,26.0,2015-04-28,335,1.0,0.0,561.0,0.0,0.0,0.38095238095238093,21.0,77.0,0.0,0.3333333333333333,0.5,28.0,49.0,0.0,0.0,0.25,16.0,322.0,0.0,0.3333333333333333,0.5172413793103449,29.0,4.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
39021,61.0,2013-10-14,194,0.0,3.0,77.0,0.0,0.3333333333333333,0.5,28.0,49.0,0.0,0.0,0.25,16.0,322.0,0.0,0.3333333333333333,0.5172413793103449,29.0,4.0,0.0,0.3333333333333333,0.46875,32.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
38383,46.0,2013-07-29,233,1.0,0.0,49.0,0.0,0.0,0.25,16.0,322.0,0.0,0.3333333333333333,0.5172413793103449,29.0,4.0,0.0,0.3333333333333333,0.46875,32.0,3.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
37875,33.0,2013-06-10,259,1.0,2.0,322.0,0.0,0.3333333333333333,0.5172413793103449,29.0,4.0,0.0,0.3333333333333333,0.46875,32.0,3.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.0,0.3333333333333333,18.0,259.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,0.0
35750,45.0,2012-07-23,224,1.0,0.0,4.0,0.0,0.3333333333333333,0.46875,32.0,3.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.0,0.3333333333333333,18.0,259.0,0.0,0.3333333333333333,0.4411764705882353,34.0,92.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
35707,43.0,2012-07-19,245,1.0,0.0,3.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.0,0.3333333333333333,18.0,259.0,0.0,0.3333333333333333,0.4411764705882353,34.0,92.0,0.0,0.3333333333333333,0.4642857142857143,28.0,35.0,0.0,0.0,0.40625,32.0,1.0,0.0
35689,43.0,2012-07-16,245,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,259.0,0.0,0.3333333333333333,0.4411764705882353,34.0,92.0,0.0,0.3333333333333333,0.4642857142857143,28.0,35.0,0.0,0.0,0.40625,32.0,139.0,0.0,0.0,0.2,15.0,0.0,1.0
35611,40.0,2012-07-10,246,1.0,0.0,259.0,0.0,0.3333333333333333,0.4411764705882353,34.0,92.0,0.0,0.3333333333333333,0.4642857142857143,28.0,35.0,0.0,0.0,0.40625,32.0,139.0,0.0,0.0,0.2,15.0,99.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
33786,61.0,2011-10-25,213,0.0,3.0,92.0,0.0,0.3333333333333333,0.4642857142857143,28.0,35.0,0.0,0.0,0.40625,32.0,139.0,0.0,0.0,0.2,15.0,99.0,0.0,0.0,0.3333333333333333,18.0,123.0,0.0,0.25,0.44680851063829785,47.0,0.0,0.0
33034,42.0,2011-07-25,198,1.0,0.0,35.0,0.0,0.0,0.40625,32.0,139.0,0.0,0.0,0.2,15.0,99.0,0.0,0.0,0.3333333333333333,18.0,123.0,0.0,0.25,0.44680851063829785,47.0,2.0,1.0,1.0,0.6923076923076923,26.0,0.0,0.0
