,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
6102,6.0,2002-01-14,296,1.0,3.0,14.0,0.0,0.3333333333333333,0.35714285714285715,28.0,168.0,0.0,0.0,0.43478260869565216,23.0,119.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4,25.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
5932,1.0,2001-12-31,309,1.0,3.0,168.0,0.0,0.0,0.43478260869565216,23.0,119.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4,25.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.4,20.0,0.0,0.0
4816,43.0,2001-07-16,175,1.0,0.0,119.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.3333333333333333,0.4,25.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
3730,21.0,2001-03-19,123,1.0,3.0,14.0,0.0,0.3333333333333333,0.4,25.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.4,20.0,0.0,0.0
3652,19.0,2001-03-05,124,1.0,3.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.4,20.0,28.0,0.0,0.0,0.3333333333333333,27.0,1.0,0.0
3638,19.0,2001-03-05,124,1.0,3.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.4,20.0,28.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
3520,15.0,2001-02-26,102,1.0,0.0,7.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.4,20.0,28.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.38095238095238093,21.0,119.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
3408,12.0,2001-02-19,95,1.0,0.0,7.0,0.0,0.0,0.4,20.0,28.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.38095238095238093,21.0,119.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.4,0.5106382978723404,47.0,0.0,0.0
3371,11.0,2001-02-12,90,1.0,0.0,28.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.38095238095238093,21.0,119.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.4,0.5106382978723404,47.0,0.0,1.0,0.75,0.5333333333333333,45.0,0.0,0.0
3168,6.0,2001-01-15,86,1.0,3.0,7.0,0.0,0.0,0.38095238095238093,21.0,119.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.4,0.5106382978723404,47.0,0.0,1.0,0.75,0.5333333333333333,45.0,0.0,1.0,0.75,0.5945945945945946,37.0,0.0,0.0
3091,5.0,2001-01-08,88,1.0,3.0,119.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.4,0.5106382978723404,47.0,0.0,1.0,0.75,0.5333333333333333,45.0,0.0,1.0,0.75,0.5945945945945946,37.0,35.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
2409,53.0,2000-09-11,80,1.0,0.0,14.0,0.0,0.4,0.5106382978723404,47.0,0.0,1.0,0.75,0.5333333333333333,45.0,0.0,1.0,0.75,0.5945945945945946,37.0,35.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
2365,52.0,2000-08-28,84,1.0,3.0,0.0,1.0,0.75,0.5333333333333333,45.0,0.0,1.0,0.75,0.5945945945945946,37.0,35.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
2341,52.0,2000-08-28,84,1.0,3.0,0.0,1.0,0.75,0.5945945945945946,37.0,35.0,0.0,0.3333333333333333,0.4444444444444444,27.0,7.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0
