,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
23437,7.0,2008-01-29,213,1.0,0.0,141.0,0.0,0.0,0.3684210526315789,19.0,41.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,8.0,0.0,0.0,0.35,20.0,343.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
22647,52.0,2007-09-10,173,1.0,3.0,41.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,8.0,0.0,0.0,0.35,20.0,343.0,0.0,0.0,0.29411764705882354,17.0,182.0,0.0,0.3333333333333333,0.4,30.0,0.0,0.0
22329,47.0,2007-07-31,140,1.0,3.0,13.0,0.0,0.3333333333333333,0.45161290322580644,31.0,8.0,0.0,0.0,0.35,20.0,343.0,0.0,0.0,0.29411764705882354,17.0,182.0,0.0,0.3333333333333333,0.4,30.0,225.0,0.0,0.0,0.40625,32.0,0.0,0.0
22124,41.0,2007-07-18,141,1.0,3.0,8.0,0.0,0.0,0.35,20.0,343.0,0.0,0.0,0.29411764705882354,17.0,182.0,0.0,0.3333333333333333,0.4,30.0,225.0,0.0,0.0,0.40625,32.0,62.0,0.0,0.0,0.4,20.0,0.0,0.0
22064,39.0,2007-07-10,126,1.0,2.0,343.0,0.0,0.0,0.29411764705882354,17.0,182.0,0.0,0.3333333333333333,0.4,30.0,225.0,0.0,0.0,0.40625,32.0,62.0,0.0,0.0,0.4,20.0,77.0,0.0,0.0,0.4,15.0,0.0,0.0
19443,46.0,2006-08-01,283,1.0,0.0,182.0,0.0,0.3333333333333333,0.4,30.0,225.0,0.0,0.0,0.40625,32.0,62.0,0.0,0.0,0.4,20.0,77.0,0.0,0.0,0.4,15.0,27.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
17748,8.0,2006-01-31,181,1.0,0.0,225.0,0.0,0.0,0.40625,32.0,62.0,0.0,0.0,0.4,20.0,77.0,0.0,0.0,0.4,15.0,27.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
16094,36.0,2005-06-20,169,1.0,2.0,62.0,0.0,0.0,0.4,20.0,77.0,0.0,0.0,0.4,15.0,27.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,69.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
15553,25.0,2005-04-19,150,1.0,0.0,77.0,0.0,0.0,0.4,15.0,27.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,69.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.3333333333333333,12.0,0.0,0.0
14874,9.0,2005-02-01,117,1.0,0.0,27.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,69.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.3333333333333333,12.0,7.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
14568,2.0,2005-01-05,118,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,69.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.3333333333333333,12.0,7.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
14555,2.0,2005-01-03,118,1.0,3.0,69.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.3333333333333333,12.0,7.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
14434,65.0,2004-10-26,112,0.0,3.0,15.0,0.0,0.0,0.3333333333333333,12.0,7.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.3333333333333333,0.44,25.0,0.0,0.0
14228,59.0,2004-10-11,113,0.0,3.0,7.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.3333333333333333,0.44,25.0,26.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
14177,58.0,2004-10-04,111,1.0,3.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.3333333333333333,0.44,25.0,26.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
14073,54.0,2004-09-30,115,0.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.3333333333333333,0.44,25.0,26.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
14063,54.0,2004-09-29,115,0.0,3.0,15.0,0.0,0.3333333333333333,0.44,25.0,26.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
14028,53.0,2004-09-14,103,1.0,3.0,26.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,3.0,1.0,0.6666666666666666,0.5,32.0,0.0,0.0
13792,48.0,2004-08-19,105,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,3.0,1.0,0.6666666666666666,0.5,32.0,21.0,0.0,0.0,0.2,15.0,1.0,0.0
13778,48.0,2004-08-17,105,1.0,0.0,3.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,3.0,1.0,0.6666666666666666,0.5,32.0,21.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,1.0
13763,47.0,2004-08-14,114,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,3.0,1.0,0.6666666666666666,0.5,32.0,21.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,2.0,1.0,1.0,0.6842105263157895,19.0,2.0,0.0
13761,47.0,2004-08-12,114,1.0,0.0,3.0,1.0,0.6666666666666666,0.5,32.0,21.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,2.0,1.0,1.0,0.6842105263157895,19.0,152.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0
13739,47.0,2004-08-09,114,1.0,0.0,21.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,2.0,1.0,1.0,0.6842105263157895,19.0,152.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6,20.0,0.0,1.0
13536,43.0,2004-07-19,116,1.0,0.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,2.0,1.0,1.0,0.6842105263157895,19.0,152.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6,20.0,364.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
13401,39.0,2004-07-15,119,1.0,0.0,2.0,1.0,1.0,0.6842105263157895,19.0,152.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6,20.0,364.0,0.0,0.0,0.29411764705882354,17.0,729.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
13389,39.0,2004-07-13,119,1.0,0.0,152.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6,20.0,364.0,0.0,0.0,0.29411764705882354,17.0,729.0,0.0,0.0,0.29411764705882354,17.0,210.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
12006,9.0,2004-02-12,232,1.0,0.0,2.0,1.0,1.0,0.6,20.0,364.0,0.0,0.0,0.29411764705882354,17.0,729.0,0.0,0.0,0.29411764705882354,17.0,210.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,1.0,0.8571428571428571,14.0,1.0,0.0
11993,9.0,2004-02-10,232,1.0,0.0,364.0,0.0,0.0,0.29411764705882354,17.0,729.0,0.0,0.0,0.29411764705882354,17.0,210.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,1.0,0.8571428571428571,14.0,140.0,0.0,0.0,0.44,25.0,0.0,1.0
