,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46614,53.0,2016-09-22,57,0.0,3.0,2.0,1.0,0.6666666666666666,0.6296296296296297,27.0,22.0,0.0,0.25,0.4222222222222222,45.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,1.0,1.0,0.65,20.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
46602,53.0,2016-09-20,57,0.0,3.0,22.0,0.0,0.25,0.4222222222222222,45.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,1.0,1.0,0.65,20.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.9230769230769231,13.0,0.0,1.0
46500,52.0,2016-08-29,50,1.0,3.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,1.0,1.0,0.65,20.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.9230769230769231,13.0,8.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
46450,51.0,2016-08-23,50,1.0,3.0,0.0,1.0,1.0,0.65,20.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.9230769230769231,13.0,8.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.2,15.0,1.0,0.0
46439,51.0,2016-08-23,50,1.0,3.0,12.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.9230769230769231,13.0,8.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
46358,49.0,2016-08-11,52,1.0,3.0,1.0,1.0,1.0,0.9230769230769231,13.0,8.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,1.0,0.75,16.0,1.0,0.0
46350,49.0,2016-08-10,52,1.0,3.0,8.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,1.0
46321,48.0,2016-08-02,52,1.0,3.0,14.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,15.0,0.0,0.0,0.25,24.0,0.0,0.0
46188,45.0,2016-07-19,54,1.0,0.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,15.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
46099,41.0,2016-07-15,56,1.0,0.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,15.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3157894736842105,19.0,2.0,0.0
46095,41.0,2016-07-14,56,1.0,0.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,15.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0
46085,41.0,2016-07-12,56,1.0,0.0,15.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.42857142857142855,35.0,0.0,1.0
45937,39.0,2016-06-27,58,1.0,2.0,13.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.75,0.5333333333333333,45.0,0.0,0.0
45845,37.0,2016-06-14,53,1.0,2.0,5.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.75,0.5333333333333333,45.0,5.0,0.0,0.0,0.25,16.0,0.0,0.0
45800,35.0,2016-06-09,53,1.0,2.0,2.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.75,0.5333333333333333,45.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
45793,35.0,2016-06-07,53,1.0,2.0,12.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.75,0.5333333333333333,45.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
45714,33.0,2016-05-26,51,1.0,0.0,2.0,1.0,0.75,0.5333333333333333,45.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
45677,33.0,2016-05-24,51,1.0,0.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.65,20.0,0.0,1.0
45597,31.0,2016-05-19,55,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.375,24.0,2.0,0.0
45592,31.0,2016-05-18,55,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.375,24.0,3.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0
45578,31.0,2016-05-16,55,1.0,0.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.375,24.0,3.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
45559,30.0,2016-05-11,51,1.0,0.0,2.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.375,24.0,3.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
