,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46474,52.0,2016-08-29,15,1.0,3.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
46464,51.0,2016-08-25,15,1.0,3.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,43.0,0.0,0.0,0.3333333333333333,6.0,2.0,0.0
46456,51.0,2016-08-24,15,1.0,3.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,43.0,0.0,0.0,0.3333333333333333,6.0,1.0,1.0,0.75,0.5526315789473685,38.0,1.0,1.0
46440,51.0,2016-08-23,15,1.0,3.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,43.0,0.0,0.0,0.3333333333333333,6.0,1.0,1.0,0.75,0.5526315789473685,38.0,3.0,1.0,0.75,0.6052631578947368,38.0,0.0,1.0
46404,50.0,2016-08-18,15,1.0,3.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,43.0,0.0,0.0,0.3333333333333333,6.0,1.0,1.0,0.75,0.5526315789473685,38.0,3.0,1.0,0.75,0.6052631578947368,38.0,2.0,1.0,1.0,0.6428571428571429,28.0,1.0,0.0
46380,50.0,2016-08-16,15,1.0,3.0,43.0,0.0,0.0,0.3333333333333333,6.0,1.0,1.0,0.75,0.5526315789473685,38.0,3.0,1.0,0.75,0.6052631578947368,38.0,2.0,1.0,1.0,0.6428571428571429,28.0,15.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
46038,39.0,2016-07-04,10,1.0,2.0,1.0,1.0,0.75,0.5526315789473685,38.0,3.0,1.0,0.75,0.6052631578947368,38.0,2.0,1.0,1.0,0.6428571428571429,28.0,15.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.25,0.38461538461538464,39.0,3.0,0.0
46028,39.0,2016-07-03,10,1.0,2.0,3.0,1.0,0.75,0.6052631578947368,38.0,2.0,1.0,1.0,0.6428571428571429,28.0,15.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.25,0.38461538461538464,39.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0
46005,39.0,2016-06-30,10,1.0,2.0,2.0,1.0,1.0,0.6428571428571429,28.0,15.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.25,0.38461538461538464,39.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.6551724137931034,29.0,1.0,1.0
45954,39.0,2016-06-28,10,1.0,2.0,15.0,0.0,0.0,0.38095238095238093,21.0,12.0,0.0,0.25,0.38461538461538464,39.0,3.0,1.0,0.75,0.6111111111111112,36.0,2.0,1.0,1.0,0.6551724137931034,29.0,2.0,1.0,1.0,0.6551724137931034,29.0,0.0,1.0
