,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
29052,13.0,2010-02-16,174,1.0,0.0,205.0,0.0,0.3333333333333333,0.45161290322580644,31.0,63.0,0.0,0.0,0.3076923076923077,26.0,18.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
27652,42.0,2009-07-26,313,1.0,0.0,63.0,0.0,0.0,0.3076923076923077,26.0,18.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,63.0,0.0,0.3333333333333333,0.38461538461538464,26.0,0.0,0.0
27096,31.0,2009-05-24,357,1.0,0.0,18.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,63.0,0.0,0.3333333333333333,0.38461538461538464,26.0,386.0,0.0,0.0,0.2,15.0,0.0,0.0
26949,27.0,2009-05-06,400,1.0,0.0,14.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,63.0,0.0,0.3333333333333333,0.38461538461538464,26.0,386.0,0.0,0.0,0.2,15.0,189.0,0.0,0.0,0.25,16.0,0.0,0.0
26826,24.0,2009-04-22,966,1.0,0.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,63.0,0.0,0.3333333333333333,0.38461538461538464,26.0,386.0,0.0,0.0,0.2,15.0,189.0,0.0,0.0,0.25,16.0,6.0,0.0,0.0,0.2,15.0,1.0,0.0
26814,24.0,2009-04-21,966,1.0,0.0,63.0,0.0,0.3333333333333333,0.38461538461538464,26.0,386.0,0.0,0.0,0.2,15.0,189.0,0.0,0.0,0.25,16.0,6.0,0.0,0.0,0.2,15.0,8.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
26320,13.0,2009-02-17,1094,1.0,0.0,386.0,0.0,0.0,0.2,15.0,189.0,0.0,0.0,0.25,16.0,6.0,0.0,0.0,0.2,15.0,8.0,0.0,0.3333333333333333,0.45454545454545453,33.0,39.0,0.0,0.4,0.4444444444444444,45.0,0.0,0.0
23424,7.0,2008-01-28,183,1.0,0.0,189.0,0.0,0.0,0.25,16.0,6.0,0.0,0.0,0.2,15.0,8.0,0.0,0.3333333333333333,0.45454545454545453,33.0,39.0,0.0,0.4,0.4444444444444444,45.0,2.0,1.0,0.6,0.5217391304347826,46.0,0.0,0.0
22257,45.0,2007-07-23,117,1.0,0.0,6.0,0.0,0.0,0.2,15.0,8.0,0.0,0.3333333333333333,0.45454545454545453,33.0,39.0,0.0,0.4,0.4444444444444444,45.0,2.0,1.0,0.6,0.5217391304347826,46.0,15.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
22158,42.0,2007-07-17,114,1.0,0.0,8.0,0.0,0.3333333333333333,0.45454545454545453,33.0,39.0,0.0,0.4,0.4444444444444444,45.0,2.0,1.0,0.6,0.5217391304347826,46.0,15.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.35,20.0,0.0,0.0
22019,38.0,2007-07-09,103,1.0,0.0,39.0,0.0,0.4,0.4444444444444444,45.0,2.0,1.0,0.6,0.5217391304347826,46.0,15.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
21665,31.0,2007-05-31,72,1.0,0.0,2.0,1.0,0.6,0.5217391304347826,46.0,15.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.07692307692307693,13.0,1.0,0.0
21629,31.0,2007-05-29,72,1.0,0.0,15.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.07692307692307693,13.0,6.0,0.0,0.3333333333333333,0.34782608695652173,23.0,0.0,1.0
