,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
39458,7.0,2014-02-07,127,0.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,140.0,0.0,0.0,0.29411764705882354,17.0,85.0,0.0,0.0,0.36666666666666664,30.0,27.0,0.0,0.0,0.25,24.0,2.0,0.0
39452,7.0,2014-02-06,127,0.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,140.0,0.0,0.0,0.29411764705882354,17.0,85.0,0.0,0.0,0.36666666666666664,30.0,27.0,0.0,0.0,0.25,24.0,49.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
39441,7.0,2014-02-04,127,0.0,3.0,140.0,0.0,0.0,0.29411764705882354,17.0,85.0,0.0,0.0,0.36666666666666664,30.0,27.0,0.0,0.0,0.25,24.0,49.0,0.0,0.0,0.29411764705882354,17.0,19.0,0.0,0.0,0.44,25.0,0.0,1.0
38740,52.0,2013-09-17,99,0.0,3.0,85.0,0.0,0.0,0.36666666666666664,30.0,27.0,0.0,0.0,0.25,24.0,49.0,0.0,0.0,0.29411764705882354,17.0,19.0,0.0,0.0,0.44,25.0,415.0,0.0,0.3333333333333333,0.5172413793103449,29.0,0.0,0.0
38025,37.0,2013-06-24,131,1.0,2.0,27.0,0.0,0.0,0.25,24.0,49.0,0.0,0.0,0.29411764705882354,17.0,19.0,0.0,0.0,0.44,25.0,415.0,0.0,0.3333333333333333,0.5172413793103449,29.0,153.0,0.0,0.25,0.4722222222222222,36.0,0.0,0.0
37805,32.0,2013-05-28,126,1.0,0.0,49.0,0.0,0.0,0.29411764705882354,17.0,19.0,0.0,0.0,0.44,25.0,415.0,0.0,0.3333333333333333,0.5172413793103449,29.0,153.0,0.0,0.25,0.4722222222222222,36.0,72.0,0.0,0.0,0.3870967741935484,31.0,0.0,0.0
37352,21.0,2013-04-09,113,1.0,0.0,19.0,0.0,0.0,0.44,25.0,415.0,0.0,0.3333333333333333,0.5172413793103449,29.0,153.0,0.0,0.25,0.4722222222222222,36.0,72.0,0.0,0.0,0.3870967741935484,31.0,29.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
37271,20.0,2013-03-21,117,1.0,3.0,415.0,0.0,0.3333333333333333,0.5172413793103449,29.0,153.0,0.0,0.25,0.4722222222222222,36.0,72.0,0.0,0.0,0.3870967741935484,31.0,29.0,0.0,0.0,0.35714285714285715,28.0,265.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
34213,7.0,2012-01-31,147,0.0,3.0,153.0,0.0,0.25,0.4722222222222222,36.0,72.0,0.0,0.0,0.3870967741935484,31.0,29.0,0.0,0.0,0.35714285714285715,28.0,265.0,0.0,0.0,0.36666666666666664,30.0,34.0,0.0,0.0,0.25,16.0,0.0,0.0
33407,50.0,2011-08-31,97,1.0,3.0,72.0,0.0,0.0,0.3870967741935484,31.0,29.0,0.0,0.0,0.35714285714285715,28.0,265.0,0.0,0.0,0.36666666666666664,30.0,34.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.4,20.0,0.0,0.0
32750,36.0,2011-06-20,119,1.0,2.0,29.0,0.0,0.0,0.35714285714285715,28.0,265.0,0.0,0.0,0.36666666666666664,30.0,34.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.4,20.0,15.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
32475,31.0,2011-05-22,127,1.0,0.0,265.0,0.0,0.0,0.36666666666666664,30.0,34.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.4,20.0,15.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.25,0.37142857142857144,35.0,0.0,0.0
30649,49.0,2010-08-30,170,1.0,3.0,34.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.4,20.0,15.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.25,0.37142857142857144,35.0,9.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,0.0
30366,42.0,2010-07-27,149,1.0,0.0,7.0,0.0,0.0,0.4,20.0,15.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.25,0.37142857142857144,35.0,9.0,0.0,0.3333333333333333,0.4722222222222222,36.0,4.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
30328,41.0,2010-07-20,144,1.0,0.0,15.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.25,0.37142857142857144,35.0,9.0,0.0,0.3333333333333333,0.4722222222222222,36.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
30198,37.0,2010-07-05,143,1.0,2.0,13.0,0.0,0.25,0.37142857142857144,35.0,9.0,0.0,0.3333333333333333,0.4722222222222222,36.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
30103,36.0,2010-06-22,128,1.0,2.0,9.0,0.0,0.3333333333333333,0.4722222222222222,36.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.36666666666666664,30.0,62.0,0.0,0.0,0.42857142857142855,7.0,0.0,0.0
30013,34.0,2010-06-13,121,1.0,2.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.36666666666666664,30.0,62.0,0.0,0.0,0.42857142857142855,7.0,63.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
29991,33.0,2010-06-09,127,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.36666666666666664,30.0,62.0,0.0,0.0,0.42857142857142855,7.0,63.0,0.0,0.0,0.3076923076923077,26.0,1.0,1.0,1.0,0.5714285714285714,35.0,1.0,0.0
29979,33.0,2010-06-08,127,1.0,2.0,14.0,0.0,0.0,0.36666666666666664,30.0,62.0,0.0,0.0,0.42857142857142855,7.0,63.0,0.0,0.0,0.3076923076923077,26.0,1.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0,0.0,0.25,16.0,0.0,1.0
29855,31.0,2010-05-25,101,1.0,0.0,62.0,0.0,0.0,0.42857142857142855,7.0,63.0,0.0,0.0,0.3076923076923077,26.0,1.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,0.0,0.0
29320,20.0,2010-03-24,66,1.0,3.0,63.0,0.0,0.0,0.3076923076923077,26.0,1.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
28805,6.0,2010-01-20,57,1.0,3.0,1.0,1.0,1.0,0.5714285714285714,35.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,0.0
28760,6.0,2010-01-19,57,1.0,3.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,1.0,1.0,0.75,16.0,0.0,1.0
28696,4.0,2010-01-14,58,1.0,3.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,1.0,1.0,0.75,16.0,66.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
28690,4.0,2010-01-13,58,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,1.0,1.0,0.75,16.0,66.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0
28682,4.0,2010-01-12,58,1.0,3.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,1.0,1.0,0.75,16.0,66.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
28596,1.0,2010-01-06,58,1.0,3.0,2.0,1.0,1.0,0.75,16.0,66.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.4166666666666667,12.0,1.0,0.0
28582,1.0,2010-01-04,58,1.0,3.0,66.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.4166666666666667,12.0,27.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
28388,58.0,2009-10-30,63,0.0,3.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.4166666666666667,12.0,27.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.75,16.0,2.0,0.0
28382,58.0,2009-10-29,63,0.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.4166666666666667,12.0,27.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.75,16.0,18.0,0.0,0.0,0.3333333333333333,27.0,1.0,1.0
28366,58.0,2009-10-27,63,0.0,3.0,7.0,0.0,0.0,0.4166666666666667,12.0,27.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.75,16.0,18.0,0.0,0.0,0.3333333333333333,27.0,4.0,1.0,0.75,0.6052631578947368,38.0,0.0,1.0
28308,56.0,2009-10-20,65,0.0,3.0,27.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.75,16.0,18.0,0.0,0.0,0.3333333333333333,27.0,4.0,1.0,0.75,0.6052631578947368,38.0,6.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
28118,50.0,2009-09-23,69,0.0,3.0,1.0,1.0,1.0,0.75,16.0,18.0,0.0,0.0,0.3333333333333333,27.0,4.0,1.0,0.75,0.6052631578947368,38.0,6.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
28105,50.0,2009-09-22,69,0.0,3.0,18.0,0.0,0.0,0.3333333333333333,27.0,4.0,1.0,0.75,0.6052631578947368,38.0,6.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.631578947368421,19.0,17.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
28024,49.0,2009-09-04,81,1.0,3.0,4.0,1.0,0.75,0.6052631578947368,38.0,6.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.631578947368421,19.0,17.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
27964,49.0,2009-08-31,81,1.0,3.0,6.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.631578947368421,19.0,17.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,30.0,0.0,1.0
27914,48.0,2009-08-25,81,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,17.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,30.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
27903,48.0,2009-08-23,81,1.0,3.0,17.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,30.0,7.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
27775,45.0,2009-08-06,73,1.0,3.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,30.0,7.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.75,16.0,2.0,0.0
27769,45.0,2009-08-06,73,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,30.0,7.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
27749,45.0,2009-08-04,73,1.0,3.0,7.0,0.0,0.0,0.38095238095238093,21.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.7058823529411765,17.0,25.0,0.0,0.4,0.47368421052631576,57.0,0.0,1.0
27688,43.0,2009-07-28,75,1.0,3.0,4.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.7058823529411765,17.0,25.0,0.0,0.4,0.47368421052631576,57.0,3.0,1.0,1.0,0.6923076923076923,26.0,0.0,0.0
27647,41.0,2009-07-24,82,1.0,3.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.7058823529411765,17.0,25.0,0.0,0.4,0.47368421052631576,57.0,3.0,1.0,1.0,0.6923076923076923,26.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,0.0
27637,41.0,2009-07-23,82,1.0,3.0,3.0,1.0,1.0,0.7058823529411765,17.0,25.0,0.0,0.4,0.47368421052631576,57.0,3.0,1.0,1.0,0.6923076923076923,26.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
27623,41.0,2009-07-20,82,1.0,3.0,25.0,0.0,0.4,0.47368421052631576,57.0,3.0,1.0,1.0,0.6923076923076923,26.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
27444,36.0,2009-06-25,59,1.0,2.0,3.0,1.0,1.0,0.6923076923076923,26.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,9.0,0.0,0.0,0.3333333333333333,27.0,1.0,0.0
27359,36.0,2009-06-22,59,1.0,2.0,6.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,9.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5416666666666666,48.0,0.0,1.0
27343,35.0,2009-06-16,40,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,9.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5416666666666666,48.0,2.0,1.0,1.0,0.8181818181818182,22.0,1.0,0.0
27335,35.0,2009-06-15,40,1.0,2.0,7.0,0.0,0.0,0.3684210526315789,19.0,9.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.5416666666666666,48.0,2.0,1.0,1.0,0.8181818181818182,22.0,7.0,0.0,0.3333333333333333,0.37037037037037035,27.0,0.0,1.0
