,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
35566,38.0,2012-07-12,114,1.0,0.0,2.0,1.0,0.6666666666666666,0.5,26.0,28.0,0.0,0.3333333333333333,0.45161290322580644,31.0,42.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,0.0
35555,38.0,2012-07-10,114,1.0,0.0,28.0,0.0,0.3333333333333333,0.45161290322580644,31.0,42.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
35322,34.0,2012-06-12,105,1.0,2.0,42.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.2,15.0,0.0,0.0
34973,27.0,2012-05-01,109,1.0,0.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
34899,24.0,2012-04-26,117,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.75,16.0,25.0,0.0,0.0,0.35,20.0,2.0,0.0
34894,24.0,2012-04-25,117,1.0,0.0,1.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.75,16.0,25.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
34871,24.0,2012-04-24,117,1.0,0.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.75,16.0,25.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
34827,23.0,2012-04-18,132,1.0,0.0,1.0,1.0,1.0,0.75,16.0,25.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,0.0
34817,23.0,2012-04-17,132,1.0,0.0,25.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5625,32.0,17.0,0.0,0.0,0.25,16.0,0.0,1.0
34690,20.0,2012-03-23,85,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,11.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5625,32.0,17.0,0.0,0.0,0.25,16.0,8.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
34652,20.0,2012-03-21,85,1.0,3.0,11.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5625,32.0,17.0,0.0,0.0,0.25,16.0,8.0,0.0,0.0,0.3333333333333333,18.0,10.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
34589,19.0,2012-03-10,86,1.0,3.0,1.0,1.0,0.6666666666666666,0.5625,32.0,17.0,0.0,0.0,0.25,16.0,8.0,0.0,0.0,0.3333333333333333,18.0,10.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.8,15.0,1.0,0.0
34567,19.0,2012-03-09,86,1.0,3.0,17.0,0.0,0.0,0.25,16.0,8.0,0.0,0.0,0.3333333333333333,18.0,10.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.8,15.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,0.0,1.0
34386,13.0,2012-02-21,88,1.0,0.0,8.0,0.0,0.0,0.3333333333333333,18.0,10.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.8,15.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,10.0,0.0,0.0,0.25,24.0,0.0,0.0
34347,12.0,2012-02-13,87,0.0,0.0,10.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.8,15.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,10.0,0.0,0.0,0.25,24.0,2.0,1.0,0.75,0.5789473684210527,38.0,0.0,0.0
34253,8.0,2012-02-03,99,1.0,0.0,2.0,1.0,1.0,0.8,15.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,10.0,0.0,0.0,0.25,24.0,2.0,1.0,0.75,0.5789473684210527,38.0,2.0,1.0,0.6666666666666666,0.6666666666666666,27.0,2.0,0.0
34245,8.0,2012-02-01,99,1.0,0.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,10.0,0.0,0.0,0.25,24.0,2.0,1.0,0.75,0.5789473684210527,38.0,2.0,1.0,0.6666666666666666,0.6666666666666666,27.0,14.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0
