,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
23061,64.0,2007-10-23,549,0.0,1.0,15.0,0.0,0.0,0.25,16.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5909090909090909,22.0,35.0,0.0,0.0,0.3870967741935484,31.0,36.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
22847,58.0,2007-10-08,547,0.0,1.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5909090909090909,22.0,35.0,0.0,0.0,0.3870967741935484,31.0,36.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
22818,57.0,2007-10-03,667,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,35.0,0.0,0.0,0.3870967741935484,31.0,36.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.375,32.0,1.0,0.0
22807,57.0,2007-10-02,667,1.0,3.0,35.0,0.0,0.0,0.3870967741935484,31.0,36.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.375,32.0,6.0,0.0,0.0,0.4,20.0,0.0,1.0
22565,51.0,2007-08-28,475,1.0,3.0,36.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.375,32.0,6.0,0.0,0.0,0.4,20.0,8.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
22175,43.0,2007-07-23,299,1.0,3.0,14.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.375,32.0,6.0,0.0,0.0,0.4,20.0,8.0,0.0,0.3333333333333333,0.4,25.0,13.0,0.0,0.0,0.4,30.0,0.0,0.0
22053,39.0,2007-07-09,178,1.0,2.0,14.0,0.0,0.0,0.375,32.0,6.0,0.0,0.0,0.4,20.0,8.0,0.0,0.3333333333333333,0.4,25.0,13.0,0.0,0.0,0.4,30.0,50.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
21868,36.0,2007-06-25,155,1.0,2.0,6.0,0.0,0.0,0.4,20.0,8.0,0.0,0.3333333333333333,0.4,25.0,13.0,0.0,0.0,0.4,30.0,50.0,0.0,0.0,0.29411764705882354,17.0,31.0,0.0,0.0,0.2,15.0,0.0,0.0
21840,35.0,2007-06-19,155,1.0,2.0,8.0,0.0,0.3333333333333333,0.4,25.0,13.0,0.0,0.0,0.4,30.0,50.0,0.0,0.0,0.29411764705882354,17.0,31.0,0.0,0.0,0.2,15.0,190.0,0.0,0.0,0.28,25.0,0.0,0.0
21755,33.0,2007-06-11,147,1.0,2.0,13.0,0.0,0.0,0.4,30.0,50.0,0.0,0.0,0.29411764705882354,17.0,31.0,0.0,0.0,0.2,15.0,190.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.6551724137931034,29.0,0.0,0.0
21616,31.0,2007-05-29,150,1.0,0.0,50.0,0.0,0.0,0.29411764705882354,17.0,31.0,0.0,0.0,0.2,15.0,190.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.6551724137931034,29.0,6.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,0.0
21181,21.0,2007-04-09,117,1.0,0.0,31.0,0.0,0.0,0.2,15.0,190.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.6551724137931034,29.0,6.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.3333333333333333,0.5,30.0,0.0,0.0
21001,19.0,2007-03-09,106,1.0,3.0,190.0,0.0,0.0,0.28,25.0,3.0,1.0,1.0,0.6551724137931034,29.0,6.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.3333333333333333,0.5,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
19750,51.0,2006-08-31,73,1.0,3.0,3.0,1.0,1.0,0.6551724137931034,29.0,6.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.3333333333333333,0.5,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
19690,51.0,2006-08-28,73,1.0,3.0,6.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.3333333333333333,0.5,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.4,20.0,0.0,1.0
19649,50.0,2006-08-22,74,1.0,3.0,6.0,0.0,0.3333333333333333,0.5,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.4,20.0,8.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
19608,49.0,2006-08-16,83,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.4,20.0,8.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
19594,49.0,2006-08-15,83,1.0,3.0,14.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.4,20.0,8.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.65,20.0,0.0,1.0
19466,47.0,2006-08-01,83,1.0,3.0,6.0,0.0,0.0,0.4,20.0,8.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
19382,44.0,2006-07-26,85,1.0,3.0,8.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
19242,41.0,2006-07-18,85,1.0,3.0,2.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
19195,39.0,2006-07-16,111,1.0,2.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,12.0,0.0,0.0,0.4117647058823529,34.0,4.0,0.0
19194,39.0,2006-07-15,111,1.0,2.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,12.0,0.0,0.0,0.4117647058823529,34.0,1.0,1.0,1.0,0.6206896551724138,29.0,3.0,1.0
19189,39.0,2006-07-14,111,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,12.0,0.0,0.0,0.4117647058823529,34.0,1.0,1.0,1.0,0.6206896551724138,29.0,8.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0
19184,39.0,2006-07-13,111,1.0,2.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,12.0,0.0,0.0,0.4117647058823529,34.0,1.0,1.0,1.0,0.6206896551724138,29.0,8.0,0.0,0.3333333333333333,0.48717948717948717,39.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0
19176,39.0,2006-07-11,111,1.0,2.0,12.0,0.0,0.0,0.4117647058823529,34.0,1.0,1.0,1.0,0.6206896551724138,29.0,8.0,0.0,0.3333333333333333,0.48717948717948717,39.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
19065,36.0,2006-06-29,95,1.0,2.0,1.0,1.0,1.0,0.6206896551724138,29.0,8.0,0.0,0.3333333333333333,0.48717948717948717,39.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.35714285714285715,28.0,1.0,0.0
19025,36.0,2006-06-28,95,1.0,2.0,8.0,0.0,0.3333333333333333,0.48717948717948717,39.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.35714285714285715,28.0,24.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
18956,35.0,2006-06-20,93,1.0,2.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.35714285714285715,28.0,24.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,0.0,0.0
18883,33.0,2006-06-13,93,1.0,2.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.35714285714285715,28.0,24.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,0.0
18865,33.0,2006-06-12,93,1.0,2.0,14.0,0.0,0.0,0.35714285714285715,28.0,24.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,6.0,0.0,0.0,0.2,15.0,0.0,1.0
