,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46362,49.0,2016-08-12,137,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.6,20.0,43.0,0.0,0.4,0.4794520547945205,73.0,35.0,0.0,0.4,0.4897959183673469,49.0,21.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0
46356,49.0,2016-08-11,137,1.0,3.0,1.0,1.0,1.0,0.6,20.0,43.0,0.0,0.4,0.4794520547945205,73.0,35.0,0.0,0.4,0.4897959183673469,49.0,21.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
46347,49.0,2016-08-10,137,1.0,3.0,43.0,0.0,0.4,0.4794520547945205,73.0,35.0,0.0,0.4,0.4897959183673469,49.0,21.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.56,25.0,0.0,1.0
45971,39.0,2016-06-28,129,1.0,2.0,35.0,0.0,0.4,0.4897959183673469,49.0,21.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.56,25.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
45688,33.0,2016-05-24,122,1.0,0.0,21.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.56,25.0,7.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.25,16.0,0.0,0.0
45482,29.0,2016-05-03,105,1.0,0.0,6.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.56,25.0,7.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.25,16.0,3.0,1.0,0.6666666666666666,0.56,25.0,0.0,0.0
45451,28.0,2016-04-27,97,1.0,0.0,2.0,1.0,1.0,0.56,25.0,7.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.25,16.0,3.0,1.0,0.6666666666666666,0.56,25.0,14.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
45439,28.0,2016-04-25,97,1.0,0.0,7.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.25,16.0,3.0,1.0,0.6666666666666666,0.56,25.0,14.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
45314,24.0,2016-04-18,91,1.0,0.0,22.0,0.0,0.0,0.25,16.0,3.0,1.0,0.6666666666666666,0.56,25.0,14.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
45169,20.0,2016-03-27,83,1.0,3.0,3.0,1.0,0.6666666666666666,0.56,25.0,14.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.25,16.0,1.0,0.0
45132,20.0,2016-03-24,83,1.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
45014,19.0,2016-03-10,83,1.0,3.0,14.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
45001,18.0,2016-02-25,77,0.0,0.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6842105263157895,19.0,1.0,0.0
44995,18.0,2016-02-23,77,0.0,0.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6842105263157895,19.0,18.0,0.0,0.25,0.40540540540540543,37.0,0.0,1.0
44910,15.0,2016-02-18,83,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6842105263157895,19.0,18.0,0.0,0.25,0.40540540540540543,37.0,2.0,1.0,0.75,0.5588235294117647,34.0,1.0,0.0
44894,15.0,2016-02-16,83,1.0,0.0,5.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6842105263157895,19.0,18.0,0.0,0.25,0.40540540540540543,37.0,2.0,1.0,0.75,0.5588235294117647,34.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
