,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
8047,49.0,2002-08-12,209,1.0,3.0,21.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.25,0.4,40.0,7.0,0.0,0.0,0.5555555555555556,9.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
7805,44.0,2002-07-22,198,1.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.25,0.4,40.0,7.0,0.0,0.0,0.5555555555555556,9.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,0.0
7644,39.0,2002-07-08,117,1.0,2.0,14.0,0.0,0.25,0.4,40.0,7.0,0.0,0.0,0.5555555555555556,9.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,119.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,0.0
7459,36.0,2002-06-24,107,1.0,2.0,7.0,0.0,0.0,0.5555555555555556,9.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,119.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
7422,35.0,2002-06-17,111,1.0,2.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,119.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,133.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
7354,33.0,2002-06-10,111,1.0,2.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,119.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,133.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,0.0
7333,33.0,2002-06-10,111,1.0,2.0,119.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,133.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
6255,8.0,2002-02-11,130,0.0,3.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,133.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
6241,8.0,2002-02-11,130,0.0,3.0,133.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,63.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
5625,61.0,2001-10-01,111,1.0,3.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,63.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,0.0
