,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
10773,46.0,2003-07-31,453,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,667.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.6,20.0,7.0,0.0,0.3333333333333333,0.45161290322580644,31.0,14.0,0.0,0.0,0.44,25.0,1.0,0.0
10762,46.0,2003-07-30,453,1.0,0.0,667.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.6,20.0,7.0,0.0,0.3333333333333333,0.45161290322580644,31.0,14.0,0.0,0.0,0.44,25.0,49.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0
5637,61.0,2001-10-01,180,1.0,3.0,0.0,1.0,1.0,0.6,20.0,7.0,0.0,0.3333333333333333,0.45161290322580644,31.0,14.0,0.0,0.0,0.44,25.0,49.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
5615,61.0,2001-10-01,180,1.0,3.0,7.0,0.0,0.3333333333333333,0.45161290322580644,31.0,14.0,0.0,0.0,0.44,25.0,49.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
5555,59.0,2001-09-24,187,1.0,0.0,14.0,0.0,0.0,0.44,25.0,49.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.43478260869565216,23.0,49.0,0.0,0.0,0.40625,32.0,0.0,0.0
5390,54.0,2001-09-10,148,1.0,0.0,49.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.43478260869565216,23.0,49.0,0.0,0.0,0.40625,32.0,84.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
4917,45.0,2001-07-23,176,1.0,0.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.43478260869565216,23.0,49.0,0.0,0.0,0.40625,32.0,84.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
4891,45.0,2001-07-23,176,1.0,0.0,7.0,0.0,0.0,0.43478260869565216,23.0,49.0,0.0,0.0,0.40625,32.0,84.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6190476190476191,21.0,105.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0
4823,43.0,2001-07-16,161,1.0,0.0,49.0,0.0,0.0,0.40625,32.0,84.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6190476190476191,21.0,105.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0,1.0,0.6842105263157895,19.0,0.0,0.0
4340,33.0,2001-05-28,172,1.0,0.0,84.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6190476190476191,21.0,105.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0,1.0,0.6842105263157895,19.0,70.0,0.0,0.0,0.4,20.0,0.0,0.0
3625,18.0,2001-03-05,177,1.0,3.0,0.0,1.0,1.0,0.6190476190476191,21.0,105.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0,1.0,0.6842105263157895,19.0,70.0,0.0,0.0,0.4,20.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,0.0
3605,18.0,2001-03-05,177,1.0,3.0,105.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0,1.0,0.6842105263157895,19.0,70.0,0.0,0.0,0.4,20.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0
2909,67.0,2000-11-20,210,0.0,3.0,0.0,1.0,1.0,0.6842105263157895,19.0,70.0,0.0,0.0,0.4,20.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,0.0
2889,67.0,2000-11-20,210,0.0,3.0,70.0,0.0,0.0,0.4,20.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,56.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0
2424,53.0,2000-09-11,254,1.0,0.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,56.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0,1.0,0.75,16.0,3.0,0.0
2422,53.0,2000-09-11,254,1.0,0.0,0.0,1.0,1.0,0.56,25.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,56.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0,1.0,0.75,16.0,28.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0
2415,53.0,2000-09-11,254,1.0,0.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,56.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0,1.0,0.75,16.0,28.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.5,36.0,1.0,1.0
2401,53.0,2000-09-11,254,1.0,0.0,56.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0,1.0,0.75,16.0,28.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.5,36.0,21.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0
1838,42.0,2000-07-17,330,1.0,0.0,0.0,1.0,1.0,0.75,16.0,28.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.5,36.0,21.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.0,0.25,16.0,1.0,0.0
1819,42.0,2000-07-17,330,1.0,0.0,28.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.5,36.0,21.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
