,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46623,53.0,2016-09-24,14,0.0,3.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,1.0,0.6666666666666666,18.0,23.0,0.0,0.25,0.39473684210526316,38.0,13.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,0.0
46621,53.0,2016-09-23,14,0.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,23.0,0.0,0.25,0.39473684210526316,38.0,13.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.6190476190476191,21.0,19.0,0.0,0.3333333333333333,0.5161290322580645,31.0,1.0,1.0
46615,53.0,2016-09-22,14,0.0,3.0,23.0,0.0,0.25,0.39473684210526316,38.0,13.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.6190476190476191,21.0,19.0,0.0,0.3333333333333333,0.5161290322580645,31.0,1.0,1.0,1.0,0.6153846153846154,13.0,0.0,1.0
46516,52.0,2016-08-30,14,1.0,3.0,13.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.6190476190476191,21.0,19.0,0.0,0.3333333333333333,0.5161290322580645,31.0,1.0,1.0,1.0,0.6153846153846154,13.0,23.0,0.0,0.4,0.4897959183673469,49.0,0.0,0.0
46401,50.0,2016-08-17,13,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,19.0,0.0,0.3333333333333333,0.5161290322580645,31.0,1.0,1.0,1.0,0.6153846153846154,13.0,23.0,0.0,0.4,0.4897959183673469,49.0,2.0,1.0,0.75,0.5882352941176471,34.0,1.0,0.0
46379,50.0,2016-08-16,13,1.0,3.0,19.0,0.0,0.3333333333333333,0.5161290322580645,31.0,1.0,1.0,1.0,0.6153846153846154,13.0,23.0,0.0,0.4,0.4897959183673469,49.0,2.0,1.0,0.75,0.5882352941176471,34.0,2.0,1.0,1.0,0.72,25.0,0.0,1.0
46303,47.0,2016-07-28,11,1.0,3.0,1.0,1.0,1.0,0.6153846153846154,13.0,23.0,0.0,0.4,0.4897959183673469,49.0,2.0,1.0,0.75,0.5882352941176471,34.0,2.0,1.0,1.0,0.72,25.0,3.0,1.0,1.0,0.72,25.0,1.0,0.0
46292,47.0,2016-07-27,11,1.0,3.0,23.0,0.0,0.4,0.4897959183673469,49.0,2.0,1.0,0.75,0.5882352941176471,34.0,2.0,1.0,1.0,0.72,25.0,3.0,1.0,1.0,0.72,25.0,10.0,0.0,0.0,0.35,20.0,0.0,1.0
46035,39.0,2016-07-04,11,1.0,2.0,2.0,1.0,0.75,0.5882352941176471,34.0,2.0,1.0,1.0,0.72,25.0,3.0,1.0,1.0,0.72,25.0,10.0,0.0,0.0,0.35,20.0,1.0,1.0,0.5,0.5416666666666666,24.0,3.0,0.0
46024,39.0,2016-07-02,11,1.0,2.0,2.0,1.0,1.0,0.72,25.0,3.0,1.0,1.0,0.72,25.0,10.0,0.0,0.0,0.35,20.0,1.0,1.0,0.5,0.5416666666666666,24.0,3.0,1.0,0.6666666666666666,0.5277777777777778,36.0,2.0,1.0
45992,39.0,2016-06-30,11,1.0,2.0,3.0,1.0,1.0,0.72,25.0,10.0,0.0,0.0,0.35,20.0,1.0,1.0,0.5,0.5416666666666666,24.0,3.0,1.0,0.6666666666666666,0.5277777777777778,36.0,11.0,0.0,0.25,0.425,40.0,1.0,1.0
45935,39.0,2016-06-27,11,1.0,2.0,10.0,0.0,0.0,0.35,20.0,1.0,1.0,0.5,0.5416666666666666,24.0,3.0,1.0,0.6666666666666666,0.5277777777777778,36.0,11.0,0.0,0.25,0.425,40.0,1.0,1.0,0.75,0.6285714285714286,35.0,0.0,1.0
45836,36.0,2016-06-17,11,1.0,2.0,1.0,1.0,0.5,0.5416666666666666,24.0,3.0,1.0,0.6666666666666666,0.5277777777777778,36.0,11.0,0.0,0.25,0.425,40.0,1.0,1.0,0.75,0.6285714285714286,35.0,4.0,1.0,0.6,0.5777777777777777,45.0,2.0,0.0
45832,36.0,2016-06-16,11,1.0,2.0,3.0,1.0,0.6666666666666666,0.5277777777777778,36.0,11.0,0.0,0.25,0.425,40.0,1.0,1.0,0.75,0.6285714285714286,35.0,4.0,1.0,0.6,0.5777777777777777,45.0,2.0,1.0,1.0,0.6551724137931034,29.0,1.0,1.0
45813,36.0,2016-06-13,11,1.0,2.0,11.0,0.0,0.25,0.425,40.0,1.0,1.0,0.75,0.6285714285714286,35.0,4.0,1.0,0.6,0.5777777777777777,45.0,2.0,1.0,1.0,0.6551724137931034,29.0,2.0,1.0,1.0,0.6428571428571429,28.0,0.0,1.0
45752,33.0,2016-06-02,13,1.0,0.0,1.0,1.0,0.75,0.6285714285714286,35.0,4.0,1.0,0.6,0.5777777777777777,45.0,2.0,1.0,1.0,0.6551724137931034,29.0,2.0,1.0,1.0,0.6428571428571429,28.0,11.0,0.0,0.0,0.3157894736842105,19.0,4.0,0.0
45747,33.0,2016-06-01,13,1.0,0.0,4.0,1.0,0.6,0.5777777777777777,45.0,2.0,1.0,1.0,0.6551724137931034,29.0,2.0,1.0,1.0,0.6428571428571429,28.0,11.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,1.0,12.0,3.0,1.0
45737,33.0,2016-05-28,13,1.0,0.0,2.0,1.0,1.0,0.6551724137931034,29.0,2.0,1.0,1.0,0.6428571428571429,28.0,11.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0
45721,33.0,2016-05-26,13,1.0,0.0,2.0,1.0,1.0,0.6428571428571429,28.0,11.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0
45692,33.0,2016-05-24,13,1.0,0.0,11.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5,30.0,6.0,0.0,0.3333333333333333,0.5294117647058824,34.0,0.0,1.0
45570,30.0,2016-05-13,13,1.0,0.0,1.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5,30.0,6.0,0.0,0.3333333333333333,0.5294117647058824,34.0,3.0,0.0,0.3333333333333333,0.42857142857142855,28.0,3.0,0.0
