,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
14046,53.0,2004-09-17,252,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,11.0,0.0,0.25,0.43902439024390244,41.0,2.0,1.0,1.0,0.5384615384615384,13.0,42.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,0.0
14038,53.0,2004-09-15,252,1.0,3.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,11.0,0.0,0.25,0.43902439024390244,41.0,2.0,1.0,1.0,0.5384615384615384,13.0,42.0,0.0,0.3333333333333333,0.38461538461538464,26.0,14.0,0.0,0.0,0.25,16.0,1.0,1.0
14021,53.0,2004-09-13,252,1.0,3.0,11.0,0.0,0.25,0.43902439024390244,41.0,2.0,1.0,1.0,0.5384615384615384,13.0,42.0,0.0,0.3333333333333333,0.38461538461538464,26.0,14.0,0.0,0.0,0.25,16.0,167.0,0.0,0.0,0.3333333333333333,9.0,0.0,1.0
13906,50.0,2004-09-02,339,1.0,3.0,2.0,1.0,1.0,0.5384615384615384,13.0,42.0,0.0,0.3333333333333333,0.38461538461538464,26.0,14.0,0.0,0.0,0.25,16.0,167.0,0.0,0.0,0.3333333333333333,9.0,2.0,1.0,1.0,0.6333333333333333,30.0,1.0,0.0
13852,50.0,2004-08-31,339,1.0,3.0,42.0,0.0,0.3333333333333333,0.38461538461538464,26.0,14.0,0.0,0.0,0.25,16.0,167.0,0.0,0.0,0.3333333333333333,9.0,2.0,1.0,1.0,0.6333333333333333,30.0,237.0,0.0,0.25,0.3684210526315789,38.0,0.0,1.0
13592,44.0,2004-07-20,351,1.0,0.0,14.0,0.0,0.0,0.25,16.0,167.0,0.0,0.0,0.3333333333333333,9.0,2.0,1.0,1.0,0.6333333333333333,30.0,237.0,0.0,0.25,0.3684210526315789,38.0,133.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
13350,38.0,2004-07-06,363,1.0,2.0,167.0,0.0,0.0,0.3333333333333333,9.0,2.0,1.0,1.0,0.6333333333333333,30.0,237.0,0.0,0.25,0.3684210526315789,38.0,133.0,0.0,0.3333333333333333,0.4,25.0,15.0,0.0,0.0,0.5,2.0,0.0,0.0
11874,6.0,2004-01-21,310,1.0,3.0,2.0,1.0,1.0,0.6333333333333333,30.0,237.0,0.0,0.25,0.3684210526315789,38.0,133.0,0.0,0.3333333333333333,0.4,25.0,15.0,0.0,0.0,0.5,2.0,91.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
11804,6.0,2004-01-19,310,1.0,3.0,237.0,0.0,0.25,0.3684210526315789,38.0,133.0,0.0,0.3333333333333333,0.4,25.0,15.0,0.0,0.0,0.5,2.0,91.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
10068,31.0,2003-05-27,136,1.0,0.0,133.0,0.0,0.3333333333333333,0.4,25.0,15.0,0.0,0.0,0.5,2.0,91.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,1.0,12.0,0.0,0.0
8987,6.0,2003-01-14,141,1.0,3.0,15.0,0.0,0.0,0.5,2.0,91.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,1.0,12.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
8814,2.0,2002-12-30,99,1.0,3.0,91.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,1.0,12.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6,20.0,0.0,0.0
8504,58.0,2002-09-30,108,1.0,3.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,1.0,12.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6,20.0,0.0,1.0,0.6666666666666666,0.5,30.0,2.0,0.0
8489,58.0,2002-09-30,108,1.0,3.0,0.0,1.0,1.0,1.0,12.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6,20.0,0.0,1.0,0.6666666666666666,0.5,30.0,0.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
8470,58.0,2002-09-30,108,1.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6,20.0,0.0,1.0,0.6666666666666666,0.5,30.0,0.0,1.0,1.0,0.6666666666666666,18.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
