,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44010,54.0,2015-09-23,154,0.0,3.0,121.0,0.0,0.25,0.40540540540540543,37.0,25.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.43478260869565216,23.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
43031,33.0,2015-05-25,135,1.0,0.0,25.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.43478260869565216,23.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,10.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
42800,27.0,2015-04-30,117,1.0,0.0,3.0,1.0,1.0,0.75,16.0,6.0,0.0,0.0,0.43478260869565216,23.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,10.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,1.0,0.0
42782,27.0,2015-04-27,117,1.0,0.0,6.0,0.0,0.0,0.43478260869565216,23.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,10.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,17.0,0.0,0.0,0.2,15.0,0.0,1.0
42734,25.0,2015-04-21,105,1.0,0.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,10.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,17.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
42493,20.0,2015-03-26,89,1.0,3.0,10.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,17.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
42442,19.0,2015-03-16,92,1.0,3.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,17.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,28.0,0.0,0.0,0.32142857142857145,28.0,1.0,0.0
42412,19.0,2015-03-14,92,1.0,3.0,17.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,28.0,0.0,0.0,0.32142857142857145,28.0,15.0,0.0,0.0,0.4,20.0,0.0,1.0
42372,18.0,2015-02-25,107,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,28.0,0.0,0.0,0.32142857142857145,28.0,15.0,0.0,0.0,0.4,20.0,74.0,0.0,0.0,0.4,20.0,1.0,0.0
42352,18.0,2015-02-23,107,1.0,3.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,28.0,0.0,0.0,0.32142857142857145,28.0,15.0,0.0,0.0,0.4,20.0,74.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
42238,14.0,2015-02-17,81,0.0,3.0,28.0,0.0,0.0,0.32142857142857145,28.0,15.0,0.0,0.0,0.4,20.0,74.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,0.0,0.0
41966,6.0,2015-01-20,73,1.0,3.0,15.0,0.0,0.0,0.4,20.0,74.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,8.0,0.0,0.3333333333333333,0.48,25.0,0.0,0.0
41774,1.0,2015-01-05,72,1.0,3.0,74.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,8.0,0.0,0.3333333333333333,0.48,25.0,6.0,0.0,0.3333333333333333,0.5,28.0,0.0,0.0
41666,61.0,2014-10-23,66,0.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,8.0,0.0,0.3333333333333333,0.48,25.0,6.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.6,20.0,1.0,0.0
41659,61.0,2014-10-22,66,0.0,3.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,8.0,0.0,0.3333333333333333,0.48,25.0,6.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.6,20.0,34.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0
41604,59.0,2014-10-15,58,0.0,3.0,8.0,0.0,0.3333333333333333,0.48,25.0,6.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.6,20.0,34.0,0.0,0.0,0.35714285714285715,28.0,8.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
41526,57.0,2014-10-07,61,1.0,3.0,6.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.6,20.0,34.0,0.0,0.0,0.35714285714285715,28.0,8.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.3333333333333333,0.42857142857142855,21.0,0.0,0.0
41498,56.0,2014-10-01,65,1.0,3.0,2.0,1.0,1.0,0.6,20.0,34.0,0.0,0.0,0.35714285714285715,28.0,8.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.3333333333333333,0.42857142857142855,21.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
41485,56.0,2014-09-29,65,1.0,3.0,34.0,0.0,0.0,0.35714285714285715,28.0,8.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.3333333333333333,0.42857142857142855,21.0,5.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,1.0
41272,51.0,2014-08-26,64,1.0,3.0,8.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.3333333333333333,0.42857142857142855,21.0,5.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,0.6666666666666666,0.5161290322580645,31.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
41203,50.0,2014-08-18,64,1.0,3.0,20.0,0.0,0.3333333333333333,0.42857142857142855,21.0,5.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,0.6666666666666666,0.5161290322580645,31.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,4.0,0.0,0.0,0.4,20.0,0.0,0.0
41020,46.0,2014-07-29,65,1.0,0.0,5.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,0.6666666666666666,0.5161290322580645,31.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,4.0,0.0,0.0,0.4,20.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
40975,44.0,2014-07-24,59,1.0,0.0,3.0,1.0,0.6666666666666666,0.5161290322580645,31.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,4.0,0.0,0.0,0.4,20.0,3.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.21739130434782608,23.0,1.0,0.0
40959,44.0,2014-07-21,59,1.0,0.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,4.0,0.0,0.0,0.4,20.0,3.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.21739130434782608,23.0,7.0,0.0,0.0,0.4,20.0,0.0,1.0
40883,42.0,2014-07-14,60,1.0,0.0,4.0,0.0,0.0,0.4,20.0,3.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.21739130434782608,23.0,7.0,0.0,0.0,0.4,20.0,20.0,0.0,0.25,0.4,35.0,0.0,0.0
40844,40.0,2014-07-10,61,1.0,0.0,3.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.21739130434782608,23.0,7.0,0.0,0.0,0.4,20.0,20.0,0.0,0.25,0.4,35.0,13.0,0.0,0.0,0.35294117647058826,17.0,1.0,0.0
40829,40.0,2014-07-07,61,1.0,0.0,14.0,0.0,0.0,0.21739130434782608,23.0,7.0,0.0,0.0,0.4,20.0,20.0,0.0,0.25,0.4,35.0,13.0,0.0,0.0,0.35294117647058826,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
40670,37.0,2014-06-23,56,1.0,2.0,7.0,0.0,0.0,0.4,20.0,20.0,0.0,0.25,0.4,35.0,13.0,0.0,0.0,0.35294117647058826,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,0.0
40591,35.0,2014-06-16,55,1.0,2.0,20.0,0.0,0.25,0.4,35.0,13.0,0.0,0.0,0.35294117647058826,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,5.0,0.0,0.0,0.35,20.0,0.0,0.0
40435,32.0,2014-05-27,53,1.0,0.0,13.0,0.0,0.0,0.35294117647058826,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,5.0,0.0,0.0,0.35,20.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
40303,29.0,2014-05-14,59,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,5.0,0.0,0.0,0.35,20.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,4.0,0.0,0.0,0.25,16.0,1.0,0.0
40287,29.0,2014-05-13,59,1.0,0.0,7.0,0.0,0.3333333333333333,0.45714285714285713,35.0,5.0,0.0,0.0,0.35,20.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,4.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6875,16.0,0.0,1.0
40233,28.0,2014-05-06,61,1.0,0.0,5.0,0.0,0.0,0.35,20.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,4.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6875,16.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
40204,27.0,2014-05-01,61,1.0,0.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,4.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6875,16.0,1.0,1.0,1.0,0.631578947368421,19.0,33.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,0.0
40186,27.0,2014-04-28,61,1.0,0.0,4.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6875,16.0,1.0,1.0,1.0,0.631578947368421,19.0,33.0,0.0,0.3333333333333333,0.4074074074074074,27.0,12.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
40118,24.0,2014-04-24,60,1.0,0.0,2.0,1.0,1.0,0.6875,16.0,1.0,1.0,1.0,0.631578947368421,19.0,33.0,0.0,0.3333333333333333,0.4074074074074074,27.0,12.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
40103,24.0,2014-04-22,60,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,33.0,0.0,0.3333333333333333,0.4074074074074074,27.0,12.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.0,0.43478260869565216,23.0,19.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
40089,24.0,2014-04-21,60,1.0,0.0,33.0,0.0,0.3333333333333333,0.4074074074074074,27.0,12.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.0,0.43478260869565216,23.0,19.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5,36.0,0.0,1.0
39890,20.0,2014-03-19,70,1.0,3.0,12.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.0,0.43478260869565216,23.0,19.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5,36.0,23.0,0.0,0.0,0.3333333333333333,15.0,0.0,0.0
39799,19.0,2014-03-07,70,1.0,3.0,10.0,0.0,0.0,0.43478260869565216,23.0,19.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5,36.0,23.0,0.0,0.0,0.3333333333333333,15.0,87.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
39742,17.0,2014-02-25,72,1.0,3.0,19.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5,36.0,23.0,0.0,0.0,0.3333333333333333,15.0,87.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
39508,9.0,2014-02-06,87,0.0,3.0,1.0,1.0,0.6666666666666666,0.5,36.0,23.0,0.0,0.0,0.3333333333333333,15.0,87.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.65,20.0,1.0,0.0
39502,9.0,2014-02-05,87,0.0,3.0,23.0,0.0,0.0,0.3333333333333333,15.0,87.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.65,20.0,27.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0
39317,6.0,2014-01-13,85,1.0,3.0,87.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.65,20.0,27.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.6206896551724138,29.0,0.0,0.0
38988,59.0,2013-10-18,131,0.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.65,20.0,27.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.6206896551724138,29.0,62.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
38979,59.0,2013-10-16,131,0.0,3.0,1.0,1.0,1.0,0.65,20.0,27.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.6206896551724138,29.0,62.0,0.0,0.0,0.3333333333333333,18.0,64.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
38973,59.0,2013-10-15,131,0.0,3.0,27.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.6206896551724138,29.0,62.0,0.0,0.0,0.3333333333333333,18.0,64.0,0.0,0.0,0.3333333333333333,18.0,385.0,0.0,0.3333333333333333,0.5,36.0,0.0,1.0
38781,53.0,2013-09-18,139,0.0,3.0,2.0,1.0,0.6666666666666666,0.6206896551724138,29.0,62.0,0.0,0.0,0.3333333333333333,18.0,64.0,0.0,0.0,0.3333333333333333,18.0,385.0,0.0,0.3333333333333333,0.5,36.0,44.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
38767,53.0,2013-09-16,139,0.0,3.0,62.0,0.0,0.0,0.3333333333333333,18.0,64.0,0.0,0.0,0.3333333333333333,18.0,385.0,0.0,0.3333333333333333,0.5,36.0,44.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
38267,42.0,2013-07-16,142,1.0,0.0,64.0,0.0,0.0,0.3333333333333333,18.0,385.0,0.0,0.3333333333333333,0.5,36.0,44.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
37647,29.0,2013-05-13,195,1.0,0.0,385.0,0.0,0.3333333333333333,0.5,36.0,44.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
34861,24.0,2012-04-23,144,1.0,0.0,44.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7058823529411765,17.0,39.0,0.0,0.0,0.2857142857142857,21.0,0.0,0.0
34599,19.0,2012-03-10,145,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7058823529411765,17.0,39.0,0.0,0.0,0.2857142857142857,21.0,2.0,1.0,0.6,0.5370370370370371,54.0,1.0,0.0
34568,19.0,2012-03-09,145,1.0,3.0,9.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.7058823529411765,17.0,39.0,0.0,0.0,0.2857142857142857,21.0,2.0,1.0,0.6,0.5370370370370371,54.0,119.0,0.0,0.0,0.35,20.0,0.0,1.0
34546,18.0,2012-02-29,143,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,39.0,0.0,0.0,0.2857142857142857,21.0,2.0,1.0,0.6,0.5370370370370371,54.0,119.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.4117647058823529,34.0,1.0,0.0
34525,18.0,2012-02-27,143,1.0,3.0,39.0,0.0,0.0,0.2857142857142857,21.0,2.0,1.0,0.6,0.5370370370370371,54.0,119.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.4117647058823529,34.0,8.0,0.0,0.3333333333333333,0.44,25.0,0.0,1.0
34167,6.0,2012-01-19,146,1.0,3.0,2.0,1.0,0.6,0.5370370370370371,54.0,119.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.4117647058823529,34.0,8.0,0.0,0.3333333333333333,0.44,25.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,0.0
34115,6.0,2012-01-17,146,1.0,3.0,119.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.4117647058823529,34.0,8.0,0.0,0.3333333333333333,0.44,25.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
33502,52.0,2011-09-20,103,0.0,3.0,20.0,0.0,0.0,0.4117647058823529,34.0,8.0,0.0,0.3333333333333333,0.44,25.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,0.0
33393,50.0,2011-08-31,98,1.0,3.0,8.0,0.0,0.3333333333333333,0.44,25.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,8.0,0.0,0.0,0.44,25.0,0.0,0.0
33326,49.0,2011-08-23,97,1.0,3.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,8.0,0.0,0.0,0.44,25.0,20.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
33313,49.0,2011-08-23,97,1.0,3.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,8.0,0.0,0.0,0.44,25.0,20.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,1.0
33276,48.0,2011-08-17,101,1.0,3.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,8.0,0.0,0.0,0.44,25.0,20.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,22.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
33258,48.0,2011-08-16,101,1.0,3.0,8.0,0.0,0.0,0.44,25.0,20.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,22.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.3333333333333333,0.5,28.0,0.0,1.0
33195,47.0,2011-08-08,99,1.0,3.0,20.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,22.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.3333333333333333,0.5,28.0,15.0,0.0,0.25,0.45652173913043476,46.0,0.0,0.0
33002,41.0,2011-07-19,46,1.0,0.0,6.0,0.0,0.3333333333333333,0.35714285714285715,28.0,22.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.3333333333333333,0.5,28.0,15.0,0.0,0.25,0.45652173913043476,46.0,15.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
32911,38.0,2011-07-13,46,1.0,0.0,22.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.3333333333333333,0.5,28.0,15.0,0.0,0.25,0.45652173913043476,46.0,15.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.4166666666666667,24.0,0.0,0.0
32768,36.0,2011-06-21,45,1.0,2.0,14.0,0.0,0.3333333333333333,0.5,28.0,15.0,0.0,0.25,0.45652173913043476,46.0,15.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.4166666666666667,24.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,0.0,0.0
32605,32.0,2011-06-07,44,1.0,2.0,15.0,0.0,0.25,0.45652173913043476,46.0,15.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.4166666666666667,24.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,8.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
32487,31.0,2011-05-23,44,1.0,0.0,15.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.4166666666666667,24.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,8.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
32390,29.0,2011-05-08,43,1.0,0.0,7.0,0.0,0.3333333333333333,0.4166666666666667,24.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,8.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,4.0,0.0,0.3333333333333333,0.48,25.0,0.0,0.0
32335,28.0,2011-05-01,44,1.0,0.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,8.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,4.0,0.0,0.3333333333333333,0.48,25.0,14.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,0.0
32308,27.0,2011-04-26,45,1.0,0.0,8.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,4.0,0.0,0.3333333333333333,0.48,25.0,14.0,0.0,0.3333333333333333,0.3793103448275862,29.0,9.0,0.0,0.0,0.25,16.0,0.0,0.0
32194,24.0,2011-04-18,44,1.0,0.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,4.0,0.0,0.3333333333333333,0.48,25.0,14.0,0.0,0.3333333333333333,0.3793103448275862,29.0,9.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.8,15.0,0.0,0.0
32140,23.0,2011-04-10,39,1.0,0.0,4.0,0.0,0.3333333333333333,0.48,25.0,14.0,0.0,0.3333333333333333,0.3793103448275862,29.0,9.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.8,15.0,17.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
32096,21.0,2011-04-06,40,1.0,0.0,14.0,0.0,0.3333333333333333,0.3793103448275862,29.0,9.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.8,15.0,17.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0
31988,20.0,2011-03-23,37,1.0,3.0,9.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.8,15.0,17.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
31955,19.0,2011-03-14,39,1.0,3.0,2.0,1.0,1.0,0.8,15.0,17.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
31921,19.0,2011-03-12,39,1.0,3.0,17.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,0.3333333333333333,18.0,9.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.0,0.28,25.0,0.0,1.0
