,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
34666,20.0,2012-03-21,221,1.0,3.0,26.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.5384615384615384,26.0,3.0,1.0,1.0,0.6153846153846154,13.0,6.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
34400,13.0,2012-02-24,263,1.0,0.0,1.0,1.0,1.0,0.5384615384615384,26.0,3.0,1.0,1.0,0.6153846153846154,13.0,6.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6,20.0,2.0,0.0
34393,13.0,2012-02-23,263,1.0,0.0,3.0,1.0,1.0,0.6153846153846154,13.0,6.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6,20.0,155.0,0.0,0.0,0.42424242424242425,33.0,1.0,1.0
34376,13.0,2012-02-20,263,1.0,0.0,6.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6,20.0,155.0,0.0,0.0,0.42424242424242425,33.0,33.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
34352,12.0,2012-02-14,266,0.0,0.0,12.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6,20.0,155.0,0.0,0.0,0.42424242424242425,33.0,33.0,0.0,0.0,0.3684210526315789,19.0,32.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
34249,8.0,2012-02-02,290,1.0,0.0,2.0,1.0,1.0,0.6,20.0,155.0,0.0,0.0,0.42424242424242425,33.0,33.0,0.0,0.0,0.3684210526315789,19.0,32.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.6,30.0,1.0,0.0
34241,8.0,2012-01-31,290,1.0,0.0,155.0,0.0,0.0,0.42424242424242425,33.0,33.0,0.0,0.0,0.3684210526315789,19.0,32.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.6,30.0,2.0,1.0,0.75,0.5555555555555556,45.0,0.0,1.0
33360,50.0,2011-08-29,296,1.0,3.0,33.0,0.0,0.0,0.3684210526315789,19.0,32.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.6,30.0,2.0,1.0,0.75,0.5555555555555556,45.0,55.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
33066,43.0,2011-07-27,297,1.0,3.0,32.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,1.0,0.6,30.0,2.0,1.0,0.75,0.5555555555555556,45.0,55.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
32850,36.0,2011-06-25,478,1.0,2.0,2.0,1.0,1.0,0.6,30.0,2.0,1.0,0.75,0.5555555555555556,45.0,55.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,239.0,0.0,0.5,0.38095238095238093,21.0,2.0,0.0
