,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
34012,3.0,2012-01-04,189,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,153.0,0.0,0.0,0.29411764705882354,17.0,30.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.375,16.0,4.0,0.0,0.0,0.07692307692307693,13.0,1.0,0.0
33999,3.0,2012-01-03,189,1.0,3.0,153.0,0.0,0.0,0.29411764705882354,17.0,30.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.375,16.0,4.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,0.0,1.0
33157,46.0,2011-08-03,160,1.0,3.0,30.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.0,0.375,16.0,4.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
32875,37.0,2011-07-04,97,1.0,2.0,13.0,0.0,0.0,0.375,16.0,4.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
32804,36.0,2011-06-21,101,1.0,2.0,4.0,0.0,0.0,0.07692307692307693,13.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.0,0.38095238095238093,21.0,15.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
32738,35.0,2011-06-17,110,1.0,2.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.0,0.38095238095238093,21.0,15.0,0.0,0.0,0.3448275862068966,29.0,25.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
32735,35.0,2011-06-15,110,1.0,2.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.0,0.38095238095238093,21.0,15.0,0.0,0.0,0.3448275862068966,29.0,25.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0
32719,35.0,2011-06-13,110,1.0,2.0,6.0,0.0,0.0,0.38095238095238093,21.0,15.0,0.0,0.0,0.3448275862068966,29.0,25.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,82.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
32643,33.0,2011-06-07,113,1.0,2.0,15.0,0.0,0.0,0.3448275862068966,29.0,25.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,82.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
32499,31.0,2011-05-23,131,1.0,0.0,25.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,82.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
32323,27.0,2011-04-28,105,1.0,0.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,82.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.3076923076923077,26.0,15.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
32312,27.0,2011-04-26,105,1.0,0.0,82.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.3076923076923077,26.0,15.0,0.0,0.0,0.43478260869565216,23.0,589.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0
31555,7.0,2011-02-03,112,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.3076923076923077,26.0,15.0,0.0,0.0,0.43478260869565216,23.0,589.0,0.0,0.0,0.3076923076923077,26.0,18.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
31539,7.0,2011-02-01,112,1.0,3.0,14.0,0.0,0.0,0.3076923076923077,26.0,15.0,0.0,0.0,0.43478260869565216,23.0,589.0,0.0,0.0,0.3076923076923077,26.0,18.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0,0.0,0.8333333333333334,6.0,0.0,1.0
31462,6.0,2011-01-18,120,1.0,3.0,15.0,0.0,0.0,0.43478260869565216,23.0,589.0,0.0,0.0,0.3076923076923077,26.0,18.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0,0.0,0.8333333333333334,6.0,28.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
31290,2.0,2011-01-03,121,1.0,3.0,589.0,0.0,0.0,0.3076923076923077,26.0,18.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0,0.0,0.8333333333333334,6.0,28.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.35,20.0,0.0,0.0
27083,31.0,2009-05-24,158,1.0,0.0,18.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0,0.0,0.8333333333333334,6.0,28.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.35,20.0,16.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
26983,28.0,2009-05-06,164,1.0,0.0,1.0,0.0,0.0,0.8333333333333334,6.0,28.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.35,20.0,16.0,0.0,0.3333333333333333,0.4444444444444444,27.0,11.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
26976,28.0,2009-05-05,164,1.0,0.0,28.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.35,20.0,16.0,0.0,0.3333333333333333,0.4444444444444444,27.0,11.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,0.0
26719,22.0,2009-04-07,91,1.0,0.0,26.0,0.0,0.0,0.35,20.0,16.0,0.0,0.3333333333333333,0.4444444444444444,27.0,11.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,22.0,0.0,0.4,0.4,50.0,0.0,0.0
26498,19.0,2009-03-12,100,1.0,3.0,16.0,0.0,0.3333333333333333,0.4444444444444444,27.0,11.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,22.0,0.0,0.4,0.4,50.0,7.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
26437,17.0,2009-02-24,97,1.0,3.0,11.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,22.0,0.0,0.4,0.4,50.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
26294,12.0,2009-02-13,97,0.0,3.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,22.0,0.0,0.4,0.4,50.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.3333333333333333,18.0,76.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
26280,12.0,2009-02-10,97,0.0,3.0,22.0,0.0,0.4,0.4,50.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.3333333333333333,18.0,76.0,0.0,0.0,0.43478260869565216,23.0,13.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
25996,6.0,2009-01-19,80,1.0,3.0,7.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.3333333333333333,18.0,76.0,0.0,0.0,0.43478260869565216,23.0,13.0,0.0,0.0,0.4090909090909091,22.0,27.0,0.0,0.0,0.3,10.0,0.0,0.0
25970,5.0,2009-01-12,82,1.0,3.0,7.0,0.0,0.0,0.3333333333333333,18.0,76.0,0.0,0.0,0.43478260869565216,23.0,13.0,0.0,0.0,0.4090909090909091,22.0,27.0,0.0,0.0,0.3,10.0,3.0,1.0,0.6666666666666666,0.5862068965517241,29.0,0.0,0.0
25916,3.0,2009-01-05,83,1.0,3.0,76.0,0.0,0.0,0.43478260869565216,23.0,13.0,0.0,0.0,0.4090909090909091,22.0,27.0,0.0,0.0,0.3,10.0,3.0,1.0,0.6666666666666666,0.5862068965517241,29.0,14.0,0.0,0.25,0.4186046511627907,43.0,0.0,0.0
