,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
32231,24.0,2011-04-20,125,1.0,0.0,1.0,1.0,1.0,0.6,20.0,74.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.65,20.0,14.0,0.0,0.0,0.4117647058823529,34.0,1.0,0.0
32209,24.0,2011-04-19,125,1.0,0.0,74.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.65,20.0,14.0,0.0,0.0,0.4117647058823529,34.0,117.0,0.0,0.0,0.07692307692307693,13.0,0.0,1.0
31557,7.0,2011-02-04,130,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.65,20.0,14.0,0.0,0.0,0.4117647058823529,34.0,117.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,0.0
31552,7.0,2011-02-02,130,1.0,3.0,2.0,1.0,1.0,0.65,20.0,14.0,0.0,0.0,0.4117647058823529,34.0,117.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,1.0,0.631578947368421,19.0,22.0,0.0,0.0,0.3333333333333333,27.0,1.0,1.0
31534,7.0,2011-01-31,130,1.0,3.0,14.0,0.0,0.0,0.4117647058823529,34.0,117.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,1.0,0.631578947368421,19.0,22.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
31411,6.0,2011-01-17,131,1.0,3.0,117.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,1.0,0.631578947368421,19.0,22.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
30783,50.0,2010-09-22,101,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,22.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.0,0.46153846153846156,26.0,3.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
30776,50.0,2010-09-21,101,1.0,0.0,22.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.0,0.46153846153846156,26.0,3.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
30648,49.0,2010-08-30,84,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.0,0.46153846153846156,26.0,3.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
30607,48.0,2010-08-23,84,1.0,3.0,35.0,0.0,0.0,0.46153846153846156,26.0,3.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.5652173913043478,23.0,21.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
