,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
29172,17.0,2010-02-23,559,1.0,3.0,35.0,0.0,0.0,0.3870967741935484,31.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,64.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.3333333333333333,0.5,36.0,0.0,0.0
28752,6.0,2010-01-19,564,1.0,3.0,6.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,64.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.3333333333333333,0.5,36.0,34.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
28691,4.0,2010-01-13,675,1.0,3.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,64.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.3333333333333333,0.5,36.0,34.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.56,25.0,1.0,0.0
28681,4.0,2010-01-12,675,1.0,3.0,64.0,0.0,0.0,0.43478260869565216,23.0,12.0,0.0,0.3333333333333333,0.5,36.0,34.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.56,25.0,76.0,0.0,0.5,0.47368421052631576,19.0,0.0,1.0
28527,63.0,2009-11-09,705,0.0,3.0,12.0,0.0,0.3333333333333333,0.5,36.0,34.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.56,25.0,76.0,0.0,0.5,0.47368421052631576,19.0,30.0,0.0,0.0,0.2727272727272727,11.0,0.0,0.0
28377,58.0,2009-10-28,711,0.0,3.0,34.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.56,25.0,76.0,0.0,0.5,0.47368421052631576,19.0,30.0,0.0,0.0,0.2727272727272727,11.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
28121,50.0,2009-09-24,1147,0.0,3.0,1.0,1.0,1.0,0.56,25.0,76.0,0.0,0.5,0.47368421052631576,19.0,30.0,0.0,0.0,0.2727272727272727,11.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,56.0,0.0,0.25,0.4186046511627907,43.0,1.0,0.0
28114,50.0,2009-09-23,1147,0.0,3.0,76.0,0.0,0.5,0.47368421052631576,19.0,30.0,0.0,0.0,0.2727272727272727,11.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,56.0,0.0,0.25,0.4186046511627907,43.0,8.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
27496,37.0,2009-07-09,950,1.0,2.0,30.0,0.0,0.0,0.2727272727272727,11.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,56.0,0.0,0.25,0.4186046511627907,43.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,0.0
27262,33.0,2009-06-09,470,1.0,2.0,231.0,0.0,0.3333333333333333,0.45454545454545453,33.0,56.0,0.0,0.25,0.4186046511627907,43.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
25736,62.0,2008-10-21,98,0.0,1.0,56.0,0.0,0.25,0.4186046511627907,43.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,40.0,0.0,0.0,0.25,16.0,0.0,0.0
25310,51.0,2008-08-26,70,1.0,3.0,8.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,40.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7037037037037037,27.0,0.0,0.0
25228,50.0,2008-08-18,70,1.0,3.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,40.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7037037037037037,27.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0
