,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46316,48.0,2016-08-01,168,1.0,3.0,13.0,0.0,0.0,0.46153846153846156,26.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.0,0.3870967741935484,31.0,18.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
46222,46.0,2016-07-19,154,1.0,3.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.0,0.3870967741935484,31.0,18.0,0.0,0.0,0.46153846153846156,26.0,3.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
46123,42.0,2016-07-14,134,1.0,2.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.0,0.3870967741935484,31.0,18.0,0.0,0.0,0.46153846153846156,26.0,3.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.14285714285714285,21.0,1.0,0.0
46115,42.0,2016-07-12,134,1.0,2.0,15.0,0.0,0.0,0.3870967741935484,31.0,18.0,0.0,0.0,0.46153846153846156,26.0,3.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.14285714285714285,21.0,60.0,0.0,0.0,0.35,20.0,0.0,1.0
45942,39.0,2016-06-27,124,1.0,2.0,18.0,0.0,0.0,0.46153846153846156,26.0,3.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.14285714285714285,21.0,60.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
45771,34.0,2016-06-09,115,1.0,2.0,3.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.14285714285714285,21.0,60.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
45757,34.0,2016-06-06,115,1.0,2.0,13.0,0.0,0.0,0.14285714285714285,21.0,60.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.3333333333333333,0.4838709677419355,31.0,0.0,1.0
45668,33.0,2016-05-24,100,1.0,0.0,60.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.3333333333333333,0.4838709677419355,31.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
45141,20.0,2016-03-25,77,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.3333333333333333,0.4838709677419355,31.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,8.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
45114,20.0,2016-03-23,77,1.0,3.0,13.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.3333333333333333,0.4838709677419355,31.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,8.0,0.0,0.0,0.46153846153846156,26.0,18.0,0.0,0.0,0.21739130434782608,23.0,0.0,1.0
45016,19.0,2016-03-10,77,1.0,3.0,16.0,0.0,0.3333333333333333,0.4838709677419355,31.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,8.0,0.0,0.0,0.46153846153846156,26.0,18.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,0.75,0.5365853658536586,41.0,0.0,0.0
44931,16.0,2016-02-23,75,1.0,3.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,8.0,0.0,0.0,0.46153846153846156,26.0,18.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,0.75,0.5365853658536586,41.0,7.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
44837,13.0,2016-02-16,76,1.0,3.0,8.0,0.0,0.0,0.46153846153846156,26.0,18.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,0.75,0.5365853658536586,41.0,7.0,0.0,0.0,0.46153846153846156,26.0,8.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
44779,11.0,2016-02-08,77,0.0,3.0,18.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,0.75,0.5365853658536586,41.0,7.0,0.0,0.0,0.46153846153846156,26.0,8.0,0.0,0.0,0.43478260869565216,23.0,90.0,0.0,0.0,0.2727272727272727,11.0,0.0,0.0
44627,6.0,2016-01-21,67,1.0,3.0,2.0,1.0,0.75,0.5365853658536586,41.0,7.0,0.0,0.0,0.46153846153846156,26.0,8.0,0.0,0.0,0.43478260869565216,23.0,90.0,0.0,0.0,0.2727272727272727,11.0,8.0,0.0,0.0,0.35,20.0,1.0,0.0
