,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44265,62.0,2015-10-21,466,0.0,3.0,8.0,0.0,0.0,0.38095238095238093,21.0,43.0,0.0,0.4,0.4,45.0,6.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3684210526315789,19.0,20.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,0.0
44163,59.0,2015-10-13,467,1.0,3.0,43.0,0.0,0.4,0.4,45.0,6.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3684210526315789,19.0,20.0,0.0,0.3333333333333333,0.4722222222222222,36.0,14.0,0.0,0.25,0.375,40.0,0.0,0.0
43857,52.0,2015-08-31,506,1.0,3.0,6.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3684210526315789,19.0,20.0,0.0,0.3333333333333333,0.4722222222222222,36.0,14.0,0.0,0.25,0.375,40.0,2.0,1.0,0.75,0.6285714285714286,35.0,0.0,0.0
43813,51.0,2015-08-25,497,1.0,3.0,21.0,0.0,0.0,0.3684210526315789,19.0,20.0,0.0,0.3333333333333333,0.4722222222222222,36.0,14.0,0.0,0.25,0.375,40.0,2.0,1.0,0.75,0.6285714285714286,35.0,13.0,0.0,0.0,0.35,20.0,0.0,0.0
43648,48.0,2015-08-04,523,1.0,3.0,20.0,0.0,0.3333333333333333,0.4722222222222222,36.0,14.0,0.0,0.25,0.375,40.0,2.0,1.0,0.75,0.6285714285714286,35.0,13.0,0.0,0.0,0.35,20.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
43432,40.0,2015-07-15,525,1.0,2.0,14.0,0.0,0.25,0.375,40.0,2.0,1.0,0.75,0.6285714285714286,35.0,13.0,0.0,0.0,0.35,20.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
43359,39.0,2015-07-01,861,1.0,2.0,2.0,1.0,0.75,0.6285714285714286,35.0,13.0,0.0,0.0,0.35,20.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,378.0,0.0,0.0,0.7142857142857143,7.0,1.0,0.0
43307,39.0,2015-06-29,861,1.0,2.0,13.0,0.0,0.0,0.35,20.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,378.0,0.0,0.0,0.7142857142857143,7.0,11.0,0.0,0.0,0.25,8.0,0.0,1.0
43193,36.0,2015-06-16,849,1.0,2.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,378.0,0.0,0.0,0.7142857142857143,7.0,11.0,0.0,0.0,0.25,8.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,0.0,0.0
43171,35.0,2015-06-11,0,1.0,2.0,2.0,1.0,1.0,0.5909090909090909,22.0,378.0,0.0,0.0,0.7142857142857143,7.0,11.0,0.0,0.0,0.25,8.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,1.0,1.0,0.65,20.0,1.0,0.0
43163,35.0,2015-06-09,0,1.0,2.0,378.0,0.0,0.0,0.7142857142857143,7.0,11.0,0.0,0.0,0.25,8.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,0.0,1.0
40433,32.0,2014-05-27,18,1.0,0.0,11.0,0.0,0.0,0.25,8.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
40317,29.0,2014-05-16,19,1.0,0.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,3.0,0.0,0.0,0.29411764705882354,17.0,3.0,0.0
40308,29.0,2014-05-15,19,1.0,0.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,3.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,2.0,1.0
40302,29.0,2014-05-14,19,1.0,0.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,3.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
40288,29.0,2014-05-13,19,1.0,0.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,3.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0,1.0,0.6666666666666666,18.0,49.0,0.0,0.0,0.4,20.0,0.0,1.0
40230,28.0,2014-05-06,17,1.0,0.0,3.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0,1.0,0.6666666666666666,18.0,49.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
40183,26.0,2014-05-03,16,1.0,0.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,1.0,1.0,0.6666666666666666,18.0,49.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.6190476190476191,21.0,3.0,1.0,1.0,0.631578947368421,19.0,2.0,0.0
