,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44266,62.0,2015-10-21,62,0.0,3.0,9.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
44145,59.0,2015-10-12,60,1.0,3.0,5.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.56,25.0,0.0,0.0
44097,57.0,2015-10-07,64,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.56,25.0,18.0,0.0,0.0,0.28,25.0,1.0,0.0
44080,57.0,2015-10-05,64,1.0,3.0,6.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.56,25.0,18.0,0.0,0.0,0.28,25.0,3.0,1.0,0.6,0.6,45.0,0.0,1.0
44063,56.0,2015-09-29,64,1.0,3.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.56,25.0,18.0,0.0,0.0,0.28,25.0,3.0,1.0,0.6,0.6,45.0,26.0,0.0,0.3333333333333333,0.5333333333333333,30.0,0.0,0.0
44011,54.0,2015-09-23,61,0.0,3.0,2.0,1.0,1.0,0.56,25.0,18.0,0.0,0.0,0.28,25.0,3.0,1.0,0.6,0.6,45.0,26.0,0.0,0.3333333333333333,0.5333333333333333,30.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
43999,54.0,2015-09-21,61,0.0,3.0,18.0,0.0,0.0,0.28,25.0,3.0,1.0,0.6,0.6,45.0,26.0,0.0,0.3333333333333333,0.5333333333333333,30.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.3181818181818182,22.0,0.0,1.0
43924,52.0,2015-09-03,52,1.0,3.0,3.0,1.0,0.6,0.6,45.0,26.0,0.0,0.3333333333333333,0.5333333333333333,30.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.3181818181818182,22.0,5.0,0.0,0.5,0.34782608695652173,23.0,1.0,0.0
43871,52.0,2015-08-31,52,1.0,3.0,26.0,0.0,0.3333333333333333,0.5333333333333333,30.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.3181818181818182,22.0,5.0,0.0,0.5,0.34782608695652173,23.0,1.0,1.0,1.0,0.6,20.0,0.0,1.0
43632,47.0,2015-08-05,58,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.3181818181818182,22.0,5.0,0.0,0.5,0.34782608695652173,23.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
43625,47.0,2015-08-04,58,1.0,0.0,6.0,0.0,0.3333333333333333,0.3181818181818182,22.0,5.0,0.0,0.5,0.34782608695652173,23.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.631578947368421,19.0,22.0,0.0,0.0,0.26666666666666666,15.0,0.0,1.0
