,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
11709,3.0,2004-01-06,177,1.0,3.0,238.0,0.0,0.3333333333333333,0.4074074074074074,27.0,589.0,0.0,0.0,0.43478260869565216,23.0,21.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6190476190476191,21.0,49.0,0.0,0.0,0.44,25.0,0.0,0.0
9956,29.0,2003-05-13,210,1.0,0.0,589.0,0.0,0.0,0.43478260869565216,23.0,21.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6190476190476191,21.0,49.0,0.0,0.0,0.44,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
5620,61.0,2001-10-01,195,1.0,3.0,21.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.6190476190476191,21.0,49.0,0.0,0.0,0.44,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,98.0,0.0,0.0,0.25,16.0,0.0,0.0
5442,55.0,2001-09-10,127,1.0,3.0,0.0,1.0,1.0,0.6190476190476191,21.0,49.0,0.0,0.0,0.44,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,98.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.35,20.0,1.0,0.0
5426,55.0,2001-09-10,127,1.0,3.0,49.0,0.0,0.0,0.44,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,98.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0
4895,45.0,2001-07-23,146,1.0,0.0,7.0,0.0,0.0,0.38095238095238093,21.0,98.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
4862,44.0,2001-07-16,147,1.0,0.0,98.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,7.0,0.0,0.0,0.4,20.0,0.0,0.0
3835,22.0,2001-04-09,115,1.0,0.0,35.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,7.0,0.0,0.0,0.4,20.0,0.0,1.0,0.6666666666666666,0.48484848484848486,33.0,0.0,0.0
3618,18.0,2001-03-05,106,1.0,3.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,7.0,0.0,0.0,0.4,20.0,0.0,1.0,0.6666666666666666,0.48484848484848486,33.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
3606,18.0,2001-03-05,106,1.0,3.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,7.0,0.0,0.0,0.4,20.0,0.0,1.0,0.6666666666666666,0.48484848484848486,33.0,7.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.25,16.0,0.0,1.0
