,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46568,52.0,2016-09-02,120,1.0,3.0,2.0,1.0,0.75,0.5909090909090909,44.0,2.0,1.0,1.0,0.59375,32.0,32.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,2.0,1.0,1.0,0.75,16.0,2.0,0.0
46540,52.0,2016-08-31,120,1.0,3.0,2.0,1.0,1.0,0.59375,32.0,32.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,2.0,1.0,1.0,0.75,16.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0
46497,52.0,2016-08-29,120,1.0,3.0,32.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,2.0,1.0,1.0,0.75,16.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
46306,47.0,2016-07-28,144,1.0,3.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,2.0,1.0,1.0,0.75,16.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,0.0
46287,47.0,2016-07-27,144,1.0,3.0,2.0,1.0,1.0,0.75,16.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.4,20.0,1.0,1.0
46266,47.0,2016-07-25,144,1.0,3.0,4.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.4,20.0,121.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46245,46.0,2016-07-21,158,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.4,20.0,121.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,0.0
46235,46.0,2016-07-20,158,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.4,20.0,121.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,16.0,0.0,0.3333333333333333,0.5,36.0,1.0,1.0
46223,46.0,2016-07-19,158,1.0,3.0,7.0,0.0,0.0,0.4,20.0,121.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,16.0,0.0,0.3333333333333333,0.5,36.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,1.0
46114,42.0,2016-07-12,158,1.0,2.0,121.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,16.0,0.0,0.3333333333333333,0.5,36.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,12.0,0.0,0.0,0.35,20.0,0.0,0.0
