,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
24028,22.0,2008-04-16,137,1.0,0.0,50.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.3333333333333333,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.6,25.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
23677,15.0,2008-02-26,120,0.0,3.0,5.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.3333333333333333,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.6,25.0,11.0,0.0,0.0,0.3684210526315789,19.0,4.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
23623,13.0,2008-02-21,96,0.0,3.0,7.0,0.0,0.3333333333333333,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.6,25.0,11.0,0.0,0.0,0.3684210526315789,19.0,4.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.14285714285714285,21.0,0.0,0.0
23504,9.0,2008-02-14,99,1.0,3.0,2.0,1.0,0.6666666666666666,0.6,25.0,11.0,0.0,0.0,0.3684210526315789,19.0,4.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.14285714285714285,21.0,15.0,0.0,0.3333333333333333,0.46875,32.0,1.0,0.0
23490,9.0,2008-02-12,99,1.0,3.0,11.0,0.0,0.0,0.3684210526315789,19.0,4.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.14285714285714285,21.0,15.0,0.0,0.3333333333333333,0.46875,32.0,66.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
23447,7.0,2008-02-01,102,1.0,0.0,4.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.14285714285714285,21.0,15.0,0.0,0.3333333333333333,0.46875,32.0,66.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
23428,7.0,2008-01-28,102,1.0,0.0,13.0,0.0,0.0,0.14285714285714285,21.0,15.0,0.0,0.3333333333333333,0.46875,32.0,66.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
23360,6.0,2008-01-15,107,1.0,3.0,15.0,0.0,0.3333333333333333,0.46875,32.0,66.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
23204,3.0,2007-12-31,89,1.0,3.0,66.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,28.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
23042,63.0,2007-10-26,95,0.0,1.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,28.0,0.0,0.3333333333333333,0.45454545454545453,33.0,14.0,0.0,0.0,0.4117647058823529,34.0,2.0,0.0
23035,63.0,2007-10-24,95,0.0,1.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,28.0,0.0,0.3333333333333333,0.45454545454545453,33.0,14.0,0.0,0.0,0.4117647058823529,34.0,29.0,0.0,0.0,0.25,16.0,1.0,1.0
23024,63.0,2007-10-23,95,0.0,1.0,14.0,0.0,0.3333333333333333,0.48148148148148145,27.0,28.0,0.0,0.3333333333333333,0.45454545454545453,33.0,14.0,0.0,0.0,0.4117647058823529,34.0,29.0,0.0,0.0,0.25,16.0,4.0,0.0,0.0,0.35,20.0,0.0,1.0
22855,58.0,2007-10-09,81,0.0,1.0,28.0,0.0,0.3333333333333333,0.45454545454545453,33.0,14.0,0.0,0.0,0.4117647058823529,34.0,29.0,0.0,0.0,0.25,16.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.6296296296296297,27.0,0.0,0.0
22688,53.0,2007-09-11,73,1.0,0.0,14.0,0.0,0.0,0.4117647058823529,34.0,29.0,0.0,0.0,0.25,16.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.6296296296296297,27.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,0.0
22549,51.0,2007-08-28,75,1.0,3.0,29.0,0.0,0.0,0.25,16.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.6296296296296297,27.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,4.0,0.0,0.3333333333333333,0.5,26.0,0.0,0.0
22284,46.0,2007-07-30,83,1.0,0.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.6296296296296297,27.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,4.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
22241,44.0,2007-07-26,88,1.0,0.0,1.0,1.0,0.6666666666666666,0.6296296296296297,27.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,4.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.4090909090909091,22.0,2.0,0.0
22221,44.0,2007-07-25,88,1.0,0.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,4.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.49019607843137253,51.0,1.0,1.0
22209,44.0,2007-07-23,88,1.0,0.0,4.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.49019607843137253,51.0,6.0,0.0,0.0,0.2,15.0,0.0,1.0
22164,42.0,2007-07-19,87,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.49019607843137253,51.0,6.0,0.0,0.0,0.2,15.0,19.0,0.0,0.0,0.40625,32.0,1.0,0.0
22156,42.0,2007-07-17,87,1.0,0.0,7.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.49019607843137253,51.0,6.0,0.0,0.0,0.2,15.0,19.0,0.0,0.0,0.40625,32.0,1.0,1.0,0.6,0.5106382978723404,47.0,0.0,1.0
22024,38.0,2007-07-10,88,1.0,0.0,15.0,0.0,0.4,0.49019607843137253,51.0,6.0,0.0,0.0,0.2,15.0,19.0,0.0,0.0,0.40625,32.0,1.0,1.0,0.6,0.5106382978723404,47.0,6.0,0.0,0.0,0.25,16.0,0.0,0.0
