,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22611,51.0,2007-08-31,91,1.0,3.0,2.0,1.0,0.75,0.5526315789473685,38.0,16.0,0.0,0.3333333333333333,0.4642857142857143,28.0,13.0,0.0,0.3333333333333333,0.48484848484848486,33.0,33.0,0.0,0.4,0.5,50.0,2.0,1.0,0.6,0.5166666666666667,60.0,1.0,0.0
22580,51.0,2007-08-29,91,1.0,3.0,16.0,0.0,0.3333333333333333,0.4642857142857143,28.0,13.0,0.0,0.3333333333333333,0.48484848484848486,33.0,33.0,0.0,0.4,0.5,50.0,2.0,1.0,0.6,0.5166666666666667,60.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0
22416,49.0,2007-08-13,92,1.0,3.0,13.0,0.0,0.3333333333333333,0.48484848484848486,33.0,33.0,0.0,0.4,0.5,50.0,2.0,1.0,0.6,0.5166666666666667,60.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
22323,47.0,2007-07-31,73,1.0,3.0,33.0,0.0,0.4,0.5,50.0,2.0,1.0,0.6,0.5166666666666667,60.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,0.0,0.0
21943,36.0,2007-06-28,74,1.0,2.0,2.0,1.0,0.6,0.5166666666666667,60.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,14.0,0.0,0.0,0.3333333333333333,27.0,1.0,0.0
21896,36.0,2007-06-26,74,1.0,2.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,14.0,0.0,0.0,0.3333333333333333,27.0,22.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0
21850,35.0,2007-06-20,78,1.0,2.0,1.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,14.0,0.0,0.0,0.3333333333333333,27.0,22.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.35,20.0,1.0,0.0
21842,35.0,2007-06-19,78,1.0,2.0,7.0,0.0,0.3333333333333333,0.5161290322580645,31.0,14.0,0.0,0.0,0.3333333333333333,27.0,22.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.35,20.0,24.0,0.0,0.3333333333333333,0.375,24.0,0.0,1.0
21761,33.0,2007-06-12,54,1.0,2.0,14.0,0.0,0.0,0.3333333333333333,27.0,22.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.35,20.0,24.0,0.0,0.3333333333333333,0.375,24.0,13.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
21628,31.0,2007-05-29,53,1.0,0.0,22.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.35,20.0,24.0,0.0,0.3333333333333333,0.375,24.0,13.0,0.0,0.3333333333333333,0.48484848484848486,33.0,9.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
