,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46616,53.0,2016-09-22,108,0.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,23.0,0.0,0.25,0.41025641025641024,39.0,7.0,0.0,0.0,0.29411764705882354,17.0,51.0,0.0,0.25,0.4634146341463415,41.0,2.0,1.0,0.75,0.5348837209302325,43.0,1.0,0.0
46607,53.0,2016-09-21,108,0.0,3.0,23.0,0.0,0.25,0.41025641025641024,39.0,7.0,0.0,0.0,0.29411764705882354,17.0,51.0,0.0,0.25,0.4634146341463415,41.0,2.0,1.0,0.75,0.5348837209302325,43.0,3.0,1.0,0.75,0.5641025641025641,39.0,0.0,1.0
46493,52.0,2016-08-29,114,1.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,51.0,0.0,0.25,0.4634146341463415,41.0,2.0,1.0,0.75,0.5348837209302325,43.0,3.0,1.0,0.75,0.5641025641025641,39.0,20.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
46429,51.0,2016-08-22,76,1.0,3.0,51.0,0.0,0.25,0.4634146341463415,41.0,2.0,1.0,0.75,0.5348837209302325,43.0,3.0,1.0,0.75,0.5641025641025641,39.0,20.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.25,0.4444444444444444,45.0,0.0,0.0
46021,39.0,2016-07-02,81,1.0,2.0,2.0,1.0,0.75,0.5348837209302325,43.0,3.0,1.0,0.75,0.5641025641025641,39.0,20.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.25,0.4444444444444444,45.0,23.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,0.0
45988,39.0,2016-06-30,81,1.0,2.0,3.0,1.0,0.75,0.5641025641025641,39.0,20.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.25,0.4444444444444444,45.0,23.0,0.0,0.3333333333333333,0.4722222222222222,36.0,101.0,0.0,0.0,0.4444444444444444,36.0,1.0,1.0
45926,39.0,2016-06-27,81,1.0,2.0,20.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.25,0.4444444444444444,45.0,23.0,0.0,0.3333333333333333,0.4722222222222222,36.0,101.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,1.0,0.72,25.0,0.0,1.0
45766,34.0,2016-06-07,79,1.0,2.0,13.0,0.0,0.25,0.4444444444444444,45.0,23.0,0.0,0.3333333333333333,0.4722222222222222,36.0,101.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,0.75,0.5581395348837209,43.0,0.0,0.0
45693,33.0,2016-05-25,84,1.0,0.0,23.0,0.0,0.3333333333333333,0.4722222222222222,36.0,101.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,0.75,0.5581395348837209,43.0,201.0,0.0,0.0,0.4444444444444444,36.0,0.0,0.0
45477,29.0,2016-05-02,84,1.0,0.0,101.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,0.75,0.5581395348837209,43.0,201.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.6,0.52,50.0,0.0,0.0
44639,6.0,2016-01-22,167,1.0,3.0,2.0,1.0,1.0,0.72,25.0,2.0,1.0,0.75,0.5581395348837209,43.0,201.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.6,0.52,50.0,245.0,0.0,0.0,0.4090909090909091,22.0,2.0,0.0
44618,6.0,2016-01-20,167,1.0,3.0,2.0,1.0,0.75,0.5581395348837209,43.0,201.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.6,0.52,50.0,245.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0
44552,6.0,2016-01-18,167,1.0,3.0,201.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.6,0.52,50.0,245.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,1.0
43357,39.0,2015-07-01,151,1.0,2.0,2.0,1.0,0.6,0.52,50.0,245.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
43312,39.0,2015-06-29,151,1.0,2.0,245.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
41712,63.0,2014-10-27,109,0.0,3.0,5.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,20.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
41665,61.0,2014-10-22,120,0.0,3.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,20.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.5,32.0,1.0,0.0
41649,61.0,2014-10-20,120,0.0,3.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,20.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.5,32.0,7.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0
41609,59.0,2014-10-16,124,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,20.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.5,32.0,7.0,0.0,0.3333333333333333,0.5,32.0,84.0,0.0,0.25,0.4318181818181818,44.0,1.0,0.0
41603,59.0,2014-10-15,124,0.0,3.0,20.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.5,32.0,7.0,0.0,0.3333333333333333,0.5,32.0,84.0,0.0,0.25,0.4318181818181818,44.0,13.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
41413,53.0,2014-09-25,126,0.0,3.0,2.0,1.0,0.6666666666666666,0.5,32.0,7.0,0.0,0.3333333333333333,0.5,32.0,84.0,0.0,0.25,0.4318181818181818,44.0,13.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
