,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
30105,36.0,2010-06-22,125,1.0,2.0,29.0,0.0,0.25,0.42424242424242425,33.0,12.0,0.0,0.0,0.2,15.0,9.0,0.0,0.0,0.2,15.0,12.0,0.0,0.3333333333333333,0.4594594594594595,37.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,0.0
29840,31.0,2010-05-24,121,1.0,0.0,12.0,0.0,0.0,0.2,15.0,9.0,0.0,0.0,0.2,15.0,12.0,0.0,0.3333333333333333,0.4594594594594595,37.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,12.0,0.0,0.0,0.2,15.0,0.0,0.0
29747,29.0,2010-05-12,103,1.0,0.0,9.0,0.0,0.0,0.2,15.0,12.0,0.0,0.3333333333333333,0.4594594594594595,37.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
29661,27.0,2010-05-03,100,1.0,0.0,12.0,0.0,0.3333333333333333,0.4594594594594595,37.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,11.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
29552,24.0,2010-04-21,100,1.0,0.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,11.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.2,15.0,1.0,0.0
29527,24.0,2010-04-19,100,1.0,0.0,12.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.5909090909090909,22.0,11.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.2,15.0,18.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
29424,21.0,2010-04-07,84,1.0,0.0,2.0,1.0,1.0,0.5909090909090909,22.0,11.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.2,15.0,18.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
29413,21.0,2010-04-05,84,1.0,0.0,11.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.2,15.0,18.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.44,25.0,0.0,1.0
29333,20.0,2010-03-25,81,1.0,3.0,13.0,0.0,0.0,0.2,15.0,18.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.44,25.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
29239,19.0,2010-03-12,78,1.0,3.0,18.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.29411764705882354,17.0,6.0,0.0,0.0,0.44,25.0,7.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.47058823529411764,17.0,0.0,0.0
