,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45880,38.0,2016-06-20,324,1.0,2.0,339.0,0.0,0.0,1.0,1.0,2.0,1.0,0.6666666666666666,0.5128205128205128,39.0,1.0,1.0,1.0,0.631578947368421,19.0,175.0,0.0,0.0,0.28,25.0,209.0,0.0,0.25,0.39473684210526316,38.0,0.0,0.0
43444,40.0,2015-07-17,237,1.0,2.0,2.0,1.0,0.6666666666666666,0.5128205128205128,39.0,1.0,1.0,1.0,0.631578947368421,19.0,175.0,0.0,0.0,0.28,25.0,209.0,0.0,0.25,0.39473684210526316,38.0,2.0,1.0,0.6,0.5471698113207547,53.0,2.0,0.0
43437,40.0,2015-07-15,237,1.0,2.0,1.0,1.0,1.0,0.631578947368421,19.0,175.0,0.0,0.0,0.28,25.0,209.0,0.0,0.25,0.39473684210526316,38.0,2.0,1.0,0.6,0.5471698113207547,53.0,336.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
43426,40.0,2015-07-14,237,1.0,2.0,175.0,0.0,0.0,0.28,25.0,209.0,0.0,0.25,0.39473684210526316,38.0,2.0,1.0,0.6,0.5471698113207547,53.0,336.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,1.0
41949,6.0,2015-01-20,201,1.0,3.0,209.0,0.0,0.25,0.39473684210526316,38.0,2.0,1.0,0.6,0.5471698113207547,53.0,336.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
40716,37.0,2014-06-25,285,1.0,2.0,2.0,1.0,0.6,0.5471698113207547,53.0,336.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
40666,37.0,2014-06-23,285,1.0,2.0,336.0,0.0,0.0,0.4090909090909091,22.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,19.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
38329,44.0,2013-07-22,183,1.0,0.0,10.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,19.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,0.0
38194,39.0,2013-07-12,184,1.0,2.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,19.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,0.0
38185,39.0,2013-07-10,184,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,19.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
