,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
16899,52.0,2005-09-12,191,1.0,3.0,41.0,0.0,0.0,0.3333333333333333,18.0,181.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.53125,32.0,26.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.6,20.0,0.0,0.0
16565,47.0,2005-08-02,183,1.0,3.0,181.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.53125,32.0,26.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.6,20.0,67.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
14847,8.0,2005-02-02,125,0.0,1.0,1.0,1.0,0.6666666666666666,0.53125,32.0,26.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.6,20.0,67.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
14837,8.0,2005-02-01,125,0.0,1.0,26.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.6,20.0,67.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.4,20.0,0.0,1.0
14569,2.0,2005-01-06,124,1.0,3.0,3.0,1.0,1.0,0.6,20.0,67.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.4,20.0,12.0,0.0,0.0,0.25,16.0,1.0,0.0
14554,2.0,2005-01-03,124,1.0,3.0,67.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.4,20.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
14379,63.0,2004-10-28,127,0.0,1.0,2.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.4,20.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.44,25.0,1.0,0.0
14367,63.0,2004-10-26,127,0.0,1.0,14.0,0.0,0.0,0.4,20.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.44,25.0,14.0,0.0,0.4,0.42857142857142855,42.0,0.0,1.0
14259,60.0,2004-10-12,127,0.0,1.0,12.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.44,25.0,14.0,0.0,0.4,0.42857142857142855,42.0,44.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
14072,54.0,2004-09-30,129,0.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.44,25.0,14.0,0.0,0.4,0.42857142857142855,42.0,44.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
14059,54.0,2004-09-28,129,0.0,3.0,13.0,0.0,0.0,0.44,25.0,14.0,0.0,0.4,0.42857142857142855,42.0,44.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0
13966,51.0,2004-09-15,129,1.0,3.0,14.0,0.0,0.4,0.42857142857142855,42.0,44.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.5,26.0,10.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
13874,50.0,2004-09-01,139,1.0,3.0,44.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.5,26.0,10.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.75,0.631578947368421,38.0,0.0,0.0
13538,43.0,2004-07-19,126,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.5,26.0,10.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.75,0.631578947368421,38.0,33.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
13450,41.0,2004-07-12,125,1.0,0.0,7.0,0.0,0.3333333333333333,0.5,26.0,10.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.75,0.631578947368421,38.0,33.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
13324,37.0,2004-07-05,125,1.0,0.0,10.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.75,0.631578947368421,38.0,33.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
13244,35.0,2004-06-25,137,1.0,2.0,3.0,1.0,0.75,0.631578947368421,38.0,33.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,53.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,0.0
13192,35.0,2004-06-22,137,1.0,2.0,33.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,53.0,0.0,0.3333333333333333,0.4444444444444444,27.0,37.0,0.0,0.0,0.3076923076923077,13.0,0.0,1.0
12847,28.0,2004-05-20,141,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,53.0,0.0,0.3333333333333333,0.4444444444444444,27.0,37.0,0.0,0.0,0.3076923076923077,13.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,0.0
12843,28.0,2004-05-19,141,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,53.0,0.0,0.3333333333333333,0.4444444444444444,27.0,37.0,0.0,0.0,0.3076923076923077,13.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
12828,28.0,2004-05-17,141,1.0,0.0,53.0,0.0,0.3333333333333333,0.4444444444444444,27.0,37.0,0.0,0.0,0.3076923076923077,13.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,34.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
12372,19.0,2004-03-25,131,1.0,3.0,37.0,0.0,0.0,0.3076923076923077,13.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,34.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
