,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44635,6.0,2016-01-21,308,1.0,3.0,2.0,1.0,1.0,0.6129032258064516,31.0,138.0,0.0,0.4,0.46,50.0,2.0,1.0,1.0,0.7,20.0,27.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
44603,6.0,2016-01-19,308,1.0,3.0,138.0,0.0,0.4,0.46,50.0,2.0,1.0,1.0,0.7,20.0,27.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0,1.0,0.631578947368421,19.0,37.0,0.0,0.4,0.4444444444444444,54.0,0.0,1.0
43937,52.0,2015-09-03,355,1.0,3.0,2.0,1.0,1.0,0.7,20.0,27.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0,1.0,0.631578947368421,19.0,37.0,0.0,0.4,0.4444444444444444,54.0,14.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,0.0
43892,52.0,2015-09-01,355,1.0,3.0,27.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0,1.0,0.631578947368421,19.0,37.0,0.0,0.4,0.4444444444444444,54.0,14.0,0.0,0.3333333333333333,0.42424242424242425,33.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
43663,48.0,2015-08-05,283,1.0,3.0,0.0,1.0,1.0,0.631578947368421,19.0,37.0,0.0,0.4,0.4444444444444444,54.0,14.0,0.0,0.3333333333333333,0.42424242424242425,33.0,6.0,0.0,0.0,0.3684210526315789,19.0,63.0,0.0,0.3333333333333333,0.46875,32.0,1.0,0.0
43654,48.0,2015-08-05,283,1.0,3.0,37.0,0.0,0.4,0.4444444444444444,54.0,14.0,0.0,0.3333333333333333,0.42424242424242425,33.0,6.0,0.0,0.0,0.3684210526315789,19.0,63.0,0.0,0.3333333333333333,0.46875,32.0,11.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,1.0
43301,39.0,2015-06-29,118,1.0,2.0,14.0,0.0,0.3333333333333333,0.42424242424242425,33.0,6.0,0.0,0.0,0.3684210526315789,19.0,63.0,0.0,0.3333333333333333,0.46875,32.0,11.0,0.0,0.3333333333333333,0.45714285714285713,35.0,64.0,0.0,0.4,0.5,42.0,0.0,0.0
43215,37.0,2015-06-15,117,1.0,2.0,6.0,0.0,0.0,0.3684210526315789,19.0,63.0,0.0,0.3333333333333333,0.46875,32.0,11.0,0.0,0.3333333333333333,0.45714285714285713,35.0,64.0,0.0,0.4,0.5,42.0,2.0,1.0,0.75,0.59375,32.0,0.0,0.0
43137,34.0,2015-06-09,112,1.0,2.0,63.0,0.0,0.3333333333333333,0.46875,32.0,11.0,0.0,0.3333333333333333,0.45714285714285713,35.0,64.0,0.0,0.4,0.5,42.0,2.0,1.0,0.75,0.59375,32.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
42602,22.0,2015-04-07,109,1.0,0.0,11.0,0.0,0.3333333333333333,0.45714285714285713,35.0,64.0,0.0,0.4,0.5,42.0,2.0,1.0,0.75,0.59375,32.0,14.0,0.0,0.0,0.29411764705882354,17.0,132.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
42508,20.0,2015-03-27,107,1.0,3.0,64.0,0.0,0.4,0.5,42.0,2.0,1.0,0.75,0.59375,32.0,14.0,0.0,0.0,0.29411764705882354,17.0,132.0,0.0,0.0,0.35714285714285715,28.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
42004,6.0,2015-01-22,87,1.0,3.0,2.0,1.0,0.75,0.59375,32.0,14.0,0.0,0.0,0.29411764705882354,17.0,132.0,0.0,0.0,0.35714285714285715,28.0,14.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,0.0
41972,6.0,2015-01-20,87,1.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,132.0,0.0,0.0,0.35714285714285715,28.0,14.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5172413793103449,29.0,6.0,0.0,0.0,0.2,15.0,0.0,1.0
41783,1.0,2015-01-06,84,1.0,3.0,132.0,0.0,0.0,0.35714285714285715,28.0,14.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5172413793103449,29.0,6.0,0.0,0.0,0.2,15.0,4.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
41297,51.0,2014-08-27,41,1.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.5172413793103449,29.0,6.0,0.0,0.0,0.2,15.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
41173,49.0,2014-08-13,42,1.0,3.0,3.0,1.0,0.6666666666666666,0.5172413793103449,29.0,6.0,0.0,0.0,0.2,15.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,17.0,1.0,1.0,0.5428571428571428,35.0,1.0,0.0
41140,49.0,2014-08-10,42,1.0,3.0,6.0,0.0,0.0,0.2,15.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,17.0,1.0,1.0,0.5428571428571428,35.0,1.0,1.0,1.0,0.8,15.0,0.0,1.0
41089,48.0,2014-08-04,42,1.0,3.0,4.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.631578947368421,19.0,17.0,1.0,1.0,0.5428571428571428,35.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
41073,47.0,2014-07-31,45,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,17.0,1.0,1.0,0.5428571428571428,35.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.75,16.0,1.0,0.0
41058,47.0,2014-07-30,45,1.0,3.0,17.0,1.0,1.0,0.5428571428571428,35.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,0.0,1.0
40828,39.0,2014-07-13,43,1.0,2.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,11.0,0.0,0.4,0.46296296296296297,54.0,4.0,1.0
40827,39.0,2014-07-12,43,1.0,2.0,1.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,11.0,0.0,0.4,0.46296296296296297,54.0,3.0,1.0,0.75,0.631578947368421,38.0,3.0,1.0
40824,39.0,2014-07-11,43,1.0,2.0,2.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,11.0,0.0,0.4,0.46296296296296297,54.0,3.0,1.0,0.75,0.631578947368421,38.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0
40818,39.0,2014-07-09,43,1.0,2.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,11.0,0.0,0.4,0.46296296296296297,54.0,3.0,1.0,0.75,0.631578947368421,38.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
40812,39.0,2014-07-08,43,1.0,2.0,11.0,0.0,0.4,0.46296296296296297,54.0,3.0,1.0,0.75,0.631578947368421,38.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.25,0.38235294117647056,34.0,0.0,1.0
40739,37.0,2014-06-27,48,1.0,2.0,3.0,1.0,0.75,0.631578947368421,38.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.25,0.38235294117647056,34.0,22.0,0.0,0.3333333333333333,0.43333333333333335,30.0,1.0,0.0
40675,37.0,2014-06-24,48,1.0,2.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.25,0.38235294117647056,34.0,22.0,0.0,0.3333333333333333,0.43333333333333335,30.0,6.0,0.0,0.3333333333333333,0.3076923076923077,26.0,0.0,1.0
40560,34.0,2014-06-11,43,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.25,0.38235294117647056,34.0,22.0,0.0,0.3333333333333333,0.43333333333333335,30.0,6.0,0.0,0.3333333333333333,0.3076923076923077,26.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
40541,34.0,2014-06-09,43,1.0,2.0,13.0,0.0,0.25,0.38235294117647056,34.0,22.0,0.0,0.3333333333333333,0.43333333333333335,30.0,6.0,0.0,0.3333333333333333,0.3076923076923077,26.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,1.0
40420,32.0,2014-05-27,46,1.0,0.0,22.0,0.0,0.3333333333333333,0.43333333333333335,30.0,6.0,0.0,0.3333333333333333,0.3076923076923077,26.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,16.0,0.0,0.0,0.25,16.0,0.0,0.0
40228,28.0,2014-05-05,43,1.0,0.0,6.0,0.0,0.3333333333333333,0.3076923076923077,26.0,20.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5172413793103449,29.0,16.0,0.0,0.0,0.25,16.0,3.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,0.0
