,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
16422,43.0,2005-07-26,0.0,1.0,0.0,736.0,0.0,0.0,0.25,16.0,3.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.5416666666666666,24.0,4.0,1.0,0.6666666666666666,0.5185185185185185,27.0,6.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
10648,43.0,2003-07-21,246,1.0,0.0,3.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.5416666666666666,24.0,4.0,1.0,0.6666666666666666,0.5185185185185185,27.0,6.0,0.0,0.0,0.3157894736842105,19.0,51.0,0.0,0.0,0.07692307692307693,13.0,0.0,0.0
10544,40.0,2003-07-18,294,1.0,0.0,0.0,1.0,0.6666666666666666,0.5416666666666666,24.0,4.0,1.0,0.6666666666666666,0.5185185185185185,27.0,6.0,0.0,0.0,0.3157894736842105,19.0,51.0,0.0,0.0,0.07692307692307693,13.0,17.0,0.0,0.0,0.25,16.0,2.0,0.0
10540,40.0,2003-07-18,294,1.0,0.0,4.0,1.0,0.6666666666666666,0.5185185185185185,27.0,6.0,0.0,0.0,0.3157894736842105,19.0,51.0,0.0,0.0,0.07692307692307693,13.0,17.0,0.0,0.0,0.25,16.0,3.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0
10519,40.0,2003-07-14,294,1.0,0.0,6.0,0.0,0.0,0.3157894736842105,19.0,51.0,0.0,0.0,0.07692307692307693,13.0,17.0,0.0,0.0,0.25,16.0,3.0,1.0,1.0,0.5652173913043478,23.0,77.0,0.0,0.3333333333333333,0.36,25.0,0.0,1.0
10430,37.0,2003-07-08,310,1.0,0.0,51.0,0.0,0.0,0.07692307692307693,13.0,17.0,0.0,0.0,0.25,16.0,3.0,1.0,1.0,0.5652173913043478,23.0,77.0,0.0,0.3333333333333333,0.36,25.0,203.0,0.0,0.0,0.2,15.0,0.0,0.0
9993,30.0,2003-05-18,251,1.0,0.0,17.0,0.0,0.0,0.25,16.0,3.0,1.0,1.0,0.5652173913043478,23.0,77.0,0.0,0.3333333333333333,0.36,25.0,203.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
9857,27.0,2003-05-01,207,1.0,0.0,3.0,1.0,1.0,0.5652173913043478,23.0,77.0,0.0,0.3333333333333333,0.36,25.0,203.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.65,20.0,1.0,0.0
9835,27.0,2003-04-28,207,1.0,0.0,77.0,0.0,0.3333333333333333,0.36,25.0,203.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.5142857142857142,35.0,0.0,1.0
9157,10.0,2003-02-10,131,1.0,0.0,203.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.3333333333333333,0.5142857142857142,35.0,21.0,0.0,0.4,0.4745762711864407,59.0,0.0,0.0
