,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
25281,51.0,2008-08-25,95,1.0,3.0,7.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.0,0.25,16.0,28.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,15.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
25230,50.0,2008-08-18,90,1.0,3.0,6.0,0.0,0.0,0.25,16.0,28.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,15.0,0.0,0.0,0.3448275862068966,29.0,13.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
25193,49.0,2008-08-12,87,1.0,3.0,28.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,15.0,0.0,0.0,0.3448275862068966,29.0,13.0,0.0,0.3333333333333333,0.41935483870967744,31.0,12.0,0.0,0.0,0.42857142857142855,35.0,0.0,0.0
24997,44.0,2008-07-15,84,1.0,0.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,15.0,0.0,0.0,0.3448275862068966,29.0,13.0,0.0,0.3333333333333333,0.41935483870967744,31.0,12.0,0.0,0.0,0.42857142857142855,35.0,1.0,1.0,0.75,0.6216216216216216,37.0,0.0,0.0
24862,39.0,2008-07-08,74,1.0,0.0,15.0,0.0,0.0,0.3448275862068966,29.0,13.0,0.0,0.3333333333333333,0.41935483870967744,31.0,12.0,0.0,0.0,0.42857142857142855,35.0,1.0,1.0,0.75,0.6216216216216216,37.0,15.0,0.0,0.0,0.3333333333333333,15.0,0.0,0.0
24704,37.0,2008-06-23,93,1.0,2.0,13.0,0.0,0.3333333333333333,0.41935483870967744,31.0,12.0,0.0,0.0,0.42857142857142855,35.0,1.0,1.0,0.75,0.6216216216216216,37.0,15.0,0.0,0.0,0.3333333333333333,15.0,5.0,0.0,0.3333333333333333,0.5,26.0,0.0,0.0
24610,34.0,2008-06-10,92,1.0,0.0,12.0,0.0,0.0,0.42857142857142855,35.0,1.0,1.0,0.75,0.6216216216216216,37.0,15.0,0.0,0.0,0.3333333333333333,15.0,5.0,0.0,0.3333333333333333,0.5,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
24481,31.0,2008-05-29,102,1.0,0.0,1.0,1.0,0.75,0.6216216216216216,37.0,15.0,0.0,0.0,0.3333333333333333,15.0,5.0,0.0,0.3333333333333333,0.5,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
24445,31.0,2008-05-28,102,1.0,0.0,15.0,0.0,0.0,0.3333333333333333,15.0,5.0,0.0,0.3333333333333333,0.5,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0
24292,28.0,2008-05-13,85,1.0,0.0,5.0,0.0,0.3333333333333333,0.5,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.3333333333333333,0.4375,32.0,30.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
24261,27.0,2008-05-08,111,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.3333333333333333,0.4375,32.0,30.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.0,0.3157894736842105,19.0,2.0,0.0
24248,27.0,2008-05-07,111,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.3333333333333333,0.4375,32.0,30.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0
24220,27.0,2008-05-05,111,1.0,0.0,21.0,0.0,0.3333333333333333,0.4375,32.0,30.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
24050,23.0,2008-04-14,106,1.0,0.0,30.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
23820,19.0,2008-03-15,100,1.0,3.0,15.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,4.0,0.0,0.3333333333333333,0.4166666666666667,24.0,0.0,0.0
23669,14.0,2008-02-29,131,1.0,0.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,4.0,0.0,0.3333333333333333,0.4166666666666667,24.0,3.0,1.0,1.0,0.6,20.0,3.0,0.0
23667,14.0,2008-02-29,131,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,4.0,0.0,0.3333333333333333,0.4166666666666667,24.0,3.0,1.0,1.0,0.6,20.0,19.0,0.0,0.3333333333333333,0.5142857142857142,35.0,2.0,1.0
23662,14.0,2008-02-28,131,1.0,0.0,2.0,1.0,1.0,0.5909090909090909,22.0,4.0,0.0,0.3333333333333333,0.4166666666666667,24.0,3.0,1.0,1.0,0.6,20.0,19.0,0.0,0.3333333333333333,0.5142857142857142,35.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0
23646,14.0,2008-02-26,131,1.0,0.0,4.0,0.0,0.3333333333333333,0.4166666666666667,24.0,3.0,1.0,1.0,0.6,20.0,19.0,0.0,0.3333333333333333,0.5142857142857142,35.0,2.0,1.0,1.0,0.6,20.0,15.0,0.0,0.25,0.42857142857142855,42.0,0.0,1.0
