,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
28867,7.0,2010-02-02,154,1.0,3.0,96.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.631578947368421,19.0,176.0,0.0,0.3333333333333333,0.4166666666666667,24.0,91.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.0,0.21739130434782608,23.0,0.0,0.0
28447,60.0,2009-10-29,166,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,176.0,0.0,0.3333333333333333,0.4166666666666667,24.0,91.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,0.75,0.5365853658536586,41.0,1.0,0.0
28437,60.0,2009-10-28,166,0.0,3.0,176.0,0.0,0.3333333333333333,0.4166666666666667,24.0,91.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,0.75,0.5365853658536586,41.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0
26913,26.0,2009-05-05,160,1.0,0.0,91.0,0.0,0.3333333333333333,0.36,25.0,13.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,0.75,0.5365853658536586,41.0,7.0,0.0,0.0,0.2,15.0,82.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
26186,9.0,2009-02-03,209,0.0,1.0,13.0,0.0,0.0,0.21739130434782608,23.0,2.0,1.0,0.75,0.5365853658536586,41.0,7.0,0.0,0.0,0.2,15.0,82.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,0.0,0.0
26061,6.0,2009-01-21,251,1.0,3.0,2.0,1.0,0.75,0.5365853658536586,41.0,7.0,0.0,0.0,0.2,15.0,82.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,11.0,0.0,0.3333333333333333,0.46153846153846156,26.0,1.0,0.0
25999,6.0,2009-01-19,251,1.0,3.0,7.0,0.0,0.0,0.2,15.0,82.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,11.0,0.0,0.3333333333333333,0.46153846153846156,26.0,3.0,1.0,1.0,0.8,15.0,0.0,1.0
25948,4.0,2009-01-12,250,1.0,3.0,82.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8571428571428571,14.0,11.0,0.0,0.3333333333333333,0.46153846153846156,26.0,3.0,1.0,1.0,0.8,15.0,41.0,0.0,0.25,0.4358974358974359,39.0,0.0,0.0
25773,63.0,2008-10-22,340,0.0,1.0,2.0,1.0,1.0,0.8571428571428571,14.0,11.0,0.0,0.3333333333333333,0.46153846153846156,26.0,3.0,1.0,1.0,0.8,15.0,41.0,0.0,0.25,0.4358974358974359,39.0,64.0,0.0,0.0,0.28,25.0,1.0,0.0
25756,63.0,2008-10-20,340,0.0,1.0,11.0,0.0,0.3333333333333333,0.46153846153846156,26.0,3.0,1.0,1.0,0.8,15.0,41.0,0.0,0.25,0.4358974358974359,39.0,64.0,0.0,0.0,0.28,25.0,29.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0
25603,58.0,2008-10-09,396,0.0,3.0,3.0,1.0,1.0,0.8,15.0,41.0,0.0,0.25,0.4358974358974359,39.0,64.0,0.0,0.0,0.28,25.0,29.0,0.0,0.0,0.35714285714285715,28.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
25586,58.0,2008-10-06,396,0.0,3.0,41.0,0.0,0.25,0.4358974358974359,39.0,64.0,0.0,0.0,0.28,25.0,29.0,0.0,0.0,0.35714285714285715,28.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.0,0.6666666666666666,3.0,0.0,1.0
25294,51.0,2008-08-26,391,1.0,3.0,64.0,0.0,0.0,0.28,25.0,29.0,0.0,0.0,0.35714285714285715,28.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.0,0.6666666666666666,3.0,52.0,0.0,0.3333333333333333,0.38461538461538464,26.0,0.0,0.0
24705,37.0,2008-06-23,273,1.0,2.0,29.0,0.0,0.0,0.35714285714285715,28.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.0,0.6666666666666666,3.0,52.0,0.0,0.3333333333333333,0.38461538461538464,26.0,213.0,0.0,0.4,0.46551724137931033,58.0,0.0,0.0
24406,31.0,2008-05-25,281,1.0,0.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.0,0.6666666666666666,3.0,52.0,0.0,0.3333333333333333,0.38461538461538464,26.0,213.0,0.0,0.4,0.46551724137931033,58.0,5.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
24348,29.0,2008-05-20,300,1.0,0.0,2.0,1.0,0.0,0.6666666666666666,3.0,52.0,0.0,0.3333333333333333,0.38461538461538464,26.0,213.0,0.0,0.4,0.46551724137931033,58.0,5.0,0.0,0.0,0.3157894736842105,19.0,9.0,0.0,0.0,0.25,16.0,1.0,0.0
24330,29.0,2008-05-18,300,1.0,0.0,52.0,0.0,0.3333333333333333,0.38461538461538464,26.0,213.0,0.0,0.4,0.46551724137931033,58.0,5.0,0.0,0.0,0.3157894736842105,19.0,9.0,0.0,0.0,0.25,16.0,4.0,0.0,0.3333333333333333,0.47368421052631576,38.0,0.0,1.0
23913,20.0,2008-03-27,200,1.0,3.0,213.0,0.0,0.4,0.46551724137931033,58.0,5.0,0.0,0.0,0.3157894736842105,19.0,9.0,0.0,0.0,0.25,16.0,4.0,0.0,0.3333333333333333,0.47368421052631576,38.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
22534,51.0,2007-08-27,36,1.0,3.0,5.0,0.0,0.0,0.3157894736842105,19.0,9.0,0.0,0.0,0.25,16.0,4.0,0.0,0.3333333333333333,0.47368421052631576,38.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
22491,50.0,2007-08-22,36,1.0,3.0,9.0,0.0,0.0,0.25,16.0,4.0,0.0,0.3333333333333333,0.47368421052631576,38.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,21.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
22417,49.0,2007-08-13,31,1.0,3.0,4.0,0.0,0.3333333333333333,0.47368421052631576,38.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,21.0,0.0,0.3333333333333333,0.41935483870967744,31.0,20.0,0.0,0.0,0.32142857142857145,28.0,0.0,0.0
