,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
5782,65.0,2001-10-22,269,0.0,1.0,119.0,0.0,0.0,0.32142857142857145,28.0,0.0,1.0,0.6,0.5106382978723404,47.0,126.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.25,0.46153846153846156,39.0,0.0,0.0
4629,38.0,2001-06-25,179,1.0,2.0,0.0,1.0,0.6,0.5106382978723404,47.0,126.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.25,0.46153846153846156,39.0,63.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
4581,38.0,2001-06-25,179,1.0,2.0,126.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.25,0.46153846153846156,39.0,63.0,0.0,0.0,0.38095238095238093,21.0,21.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
3445,13.0,2001-02-19,146,0.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.25,0.46153846153846156,39.0,63.0,0.0,0.0,0.38095238095238093,21.0,21.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
3344,10.0,2001-02-12,141,0.0,3.0,28.0,0.0,0.25,0.46153846153846156,39.0,63.0,0.0,0.0,0.38095238095238093,21.0,21.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,21.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
3158,6.0,2001-01-15,119,1.0,3.0,63.0,0.0,0.0,0.38095238095238093,21.0,21.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,21.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0,1.0,0.65,20.0,0.0,0.0
2860,66.0,2000-11-13,118,0.0,1.0,21.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,21.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,1.0,0.75,16.0,0.0,0.0
2679,61.0,2000-10-23,119,0.0,1.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,21.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.1111111111111111,9.0,0.0,0.0
2647,60.0,2000-10-16,107,0.0,3.0,21.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.1111111111111111,9.0,0.0,1.0,1.0,0.56,25.0,0.0,0.0
2482,55.0,2000-09-25,108,1.0,0.0,0.0,1.0,1.0,0.65,20.0,0.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.1111111111111111,9.0,0.0,1.0,1.0,0.56,25.0,14.0,0.0,0.0,0.32142857142857145,28.0,2.0,0.0
2476,55.0,2000-09-25,108,1.0,0.0,0.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.1111111111111111,9.0,0.0,1.0,1.0,0.56,25.0,14.0,0.0,0.0,0.32142857142857145,28.0,14.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
2465,55.0,2000-09-25,108,1.0,0.0,14.0,0.0,0.0,0.1111111111111111,9.0,0.0,1.0,1.0,0.56,25.0,14.0,0.0,0.0,0.32142857142857145,28.0,14.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.2,15.0,0.0,1.0
2445,54.0,2000-09-11,99,1.0,3.0,0.0,1.0,1.0,0.56,25.0,14.0,0.0,0.0,0.32142857142857145,28.0,14.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.2,15.0,7.0,0.0,0.0,0.4,20.0,1.0,0.0
2434,54.0,2000-09-11,99,1.0,3.0,14.0,0.0,0.0,0.32142857142857145,28.0,14.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.2,15.0,7.0,0.0,0.0,0.4,20.0,21.0,0.0,0.25,0.3939393939393939,33.0,0.0,1.0
2276,52.0,2000-08-28,98,1.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.2,15.0,7.0,0.0,0.0,0.4,20.0,21.0,0.0,0.25,0.3939393939393939,33.0,0.0,1.0,0.75,0.5952380952380952,42.0,0.0,0.0
2179,50.0,2000-08-14,101,1.0,3.0,21.0,0.0,0.0,0.2,15.0,7.0,0.0,0.0,0.4,20.0,21.0,0.0,0.25,0.3939393939393939,33.0,0.0,1.0,0.75,0.5952380952380952,42.0,14.0,0.0,0.0,0.25,16.0,0.0,0.0
1965,46.0,2000-07-24,101,1.0,0.0,7.0,0.0,0.0,0.4,20.0,21.0,0.0,0.25,0.3939393939393939,33.0,0.0,1.0,0.75,0.5952380952380952,42.0,14.0,0.0,0.0,0.25,16.0,14.0,0.0,0.4,0.52,50.0,0.0,0.0
1785,41.0,2000-07-17,99,1.0,0.0,21.0,0.0,0.25,0.3939393939393939,33.0,0.0,1.0,0.75,0.5952380952380952,42.0,14.0,0.0,0.0,0.25,16.0,14.0,0.0,0.4,0.52,50.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
1651,37.0,2000-06-26,108,1.0,2.0,0.0,1.0,0.75,0.5952380952380952,42.0,14.0,0.0,0.0,0.25,16.0,14.0,0.0,0.4,0.52,50.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,28.0,0.0,0.3333333333333333,0.36,25.0,1.0,0.0
1588,37.0,2000-06-26,108,1.0,2.0,14.0,0.0,0.0,0.25,16.0,14.0,0.0,0.4,0.52,50.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,28.0,0.0,0.3333333333333333,0.36,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
1448,34.0,2000-06-12,106,1.0,2.0,14.0,0.0,0.4,0.52,50.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,28.0,0.0,0.3333333333333333,0.36,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,0.0
1346,32.0,2000-05-29,101,1.0,0.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,28.0,0.0,0.3333333333333333,0.36,25.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,0.6666666666666666,0.5666666666666667,30.0,98.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
