,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45667,33.0,2016-05-24,198,1.0,0.0,29.0,0.0,0.0,0.3333333333333333,18.0,62.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,29.0,0.0,0.0,0.3333333333333333,18.0,75.0,0.0,0.0,0.35,20.0,0.0,0.0
45415,27.0,2016-04-25,158,1.0,0.0,62.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,29.0,0.0,0.0,0.3333333333333333,18.0,75.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
44965,17.0,2016-02-23,110,1.0,3.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,29.0,0.0,0.0,0.3333333333333333,18.0,75.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,48.0,0.0,0.25,0.43243243243243246,37.0,0.0,0.0
44730,9.0,2016-02-02,113,0.0,3.0,29.0,0.0,0.0,0.3333333333333333,18.0,75.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,48.0,0.0,0.25,0.43243243243243246,37.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,0.0,0.0
44462,3.0,2016-01-04,114,1.0,3.0,75.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,48.0,0.0,0.25,0.43243243243243246,37.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
44211,60.0,2015-10-21,97,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,48.0,0.0,0.25,0.43243243243243246,37.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,7.0,0.0,0.0,0.38095238095238093,21.0,26.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
44203,60.0,2015-10-20,97,0.0,3.0,48.0,0.0,0.25,0.43243243243243246,37.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,7.0,0.0,0.0,0.38095238095238093,21.0,26.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.8,15.0,0.0,1.0
43917,52.0,2015-09-02,84,1.0,3.0,2.0,1.0,0.6666666666666666,0.5862068965517241,29.0,7.0,0.0,0.0,0.38095238095238093,21.0,26.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.14285714285714285,14.0,1.0,0.0
43848,52.0,2015-08-31,84,1.0,3.0,7.0,0.0,0.0,0.38095238095238093,21.0,26.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.14285714285714285,14.0,20.0,0.0,0.25,0.45652173913043476,46.0,0.0,1.0
43806,51.0,2015-08-24,83,1.0,3.0,26.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.14285714285714285,14.0,20.0,0.0,0.25,0.45652173913043476,46.0,2.0,1.0,0.75,0.5555555555555556,45.0,0.0,0.0
43568,45.0,2015-07-29,82,1.0,0.0,1.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.14285714285714285,14.0,20.0,0.0,0.25,0.45652173913043476,46.0,2.0,1.0,0.75,0.5555555555555556,45.0,21.0,0.0,0.0,0.2777777777777778,18.0,1.0,0.0
43566,45.0,2015-07-28,82,1.0,0.0,7.0,0.0,0.0,0.14285714285714285,14.0,20.0,0.0,0.25,0.45652173913043476,46.0,2.0,1.0,0.75,0.5555555555555556,45.0,21.0,0.0,0.0,0.2777777777777778,18.0,15.0,0.0,0.0,0.3076923076923077,26.0,0.0,1.0
43452,41.0,2015-07-21,77,1.0,0.0,20.0,0.0,0.25,0.45652173913043476,46.0,2.0,1.0,0.75,0.5555555555555556,45.0,21.0,0.0,0.0,0.2777777777777778,18.0,15.0,0.0,0.0,0.3076923076923077,26.0,11.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
43367,39.0,2015-07-01,82,1.0,2.0,2.0,1.0,0.75,0.5555555555555556,45.0,21.0,0.0,0.0,0.2777777777777778,18.0,15.0,0.0,0.0,0.3076923076923077,26.0,11.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
43319,39.0,2015-06-29,82,1.0,2.0,21.0,0.0,0.0,0.2777777777777778,18.0,15.0,0.0,0.0,0.3076923076923077,26.0,11.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
43127,34.0,2015-06-08,78,1.0,2.0,15.0,0.0,0.0,0.3076923076923077,26.0,11.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
43006,33.0,2015-05-24,81,1.0,0.0,11.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
42924,30.0,2015-05-13,87,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,54.0,0.0,0.0,0.14285714285714285,14.0,1.0,0.0
42903,30.0,2015-05-11,87,1.0,0.0,13.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,54.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,1.0
42792,27.0,2015-04-28,80,1.0,0.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,54.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
42709,24.0,2015-04-22,84,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,54.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.65,20.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
42692,24.0,2015-04-21,84,1.0,0.0,54.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.65,20.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,14.0,0.0,0.0,0.28,25.0,0.0,1.0
42378,18.0,2015-02-26,104,1.0,3.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,1.0,0.65,20.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,14.0,0.0,0.0,0.28,25.0,190.0,0.0,0.0,0.25,16.0,2.0,0.0
42373,18.0,2015-02-25,104,1.0,3.0,1.0,1.0,1.0,0.65,20.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,14.0,0.0,0.0,0.28,25.0,190.0,0.0,0.0,0.25,16.0,20.0,0.0,0.25,0.4666666666666667,45.0,1.0,1.0
42359,18.0,2015-02-24,104,1.0,3.0,21.0,0.0,0.3333333333333333,0.4642857142857143,28.0,14.0,0.0,0.0,0.28,25.0,190.0,0.0,0.0,0.25,16.0,20.0,0.0,0.25,0.4666666666666667,45.0,15.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
