,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
10729,45.0,2003-07-30,394,1.0,3.0,197.0,0.0,0.25,0.4634146341463415,41.0,218.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.40625,32.0,35.0,0.0,0.0,0.29411764705882354,17.0,63.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
8971,6.0,2003-01-14,525,1.0,3.0,218.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.40625,32.0,35.0,0.0,0.0,0.29411764705882354,17.0,63.0,0.0,0.0,0.14285714285714285,14.0,35.0,0.0,0.25,0.375,40.0,0.0,0.0
7339,33.0,2002-06-10,176,1.0,2.0,14.0,0.0,0.0,0.40625,32.0,35.0,0.0,0.0,0.29411764705882354,17.0,63.0,0.0,0.0,0.14285714285714285,14.0,35.0,0.0,0.25,0.375,40.0,7.0,0.0,0.0,0.4,20.0,0.0,0.0
7215,31.0,2002-05-27,178,1.0,0.0,35.0,0.0,0.0,0.29411764705882354,17.0,63.0,0.0,0.0,0.14285714285714285,14.0,35.0,0.0,0.25,0.375,40.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
6928,25.0,2002-04-22,113,1.0,0.0,63.0,0.0,0.0,0.14285714285714285,14.0,35.0,0.0,0.25,0.375,40.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.25,16.0,91.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,0.0
6375,12.0,2002-02-18,101,0.0,3.0,35.0,0.0,0.25,0.375,40.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.25,16.0,91.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
6129,6.0,2002-01-14,67,1.0,3.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.25,16.0,91.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
6062,5.0,2002-01-07,65,1.0,3.0,7.0,0.0,0.0,0.25,16.0,91.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.6666666666666666,15.0,0.0,0.0
5938,1.0,2001-12-31,66,1.0,3.0,91.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.6666666666666666,15.0,0.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,0.0
5627,61.0,2001-10-01,69,1.0,3.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.6666666666666666,15.0,0.0,1.0,0.6666666666666666,0.5151515151515151,33.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
