,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46573,52.0,2016-09-02,21,1.0,3.0,2.0,1.0,0.75,0.5853658536585366,41.0,2.0,1.0,0.6,0.5094339622641509,53.0,12.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.46153846153846156,26.0,2.0,0.0
46537,52.0,2016-08-31,21,1.0,3.0,2.0,1.0,0.6,0.5094339622641509,53.0,12.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0
46483,52.0,2016-08-29,21,1.0,3.0,12.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
46397,50.0,2016-08-17,22,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,9.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.75,16.0,1.0,0.0
46387,50.0,2016-08-16,22,1.0,3.0,9.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.75,16.0,8.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,1.0
46341,48.0,2016-08-07,17,1.0,3.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.75,16.0,8.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,3.0,0.0
46340,48.0,2016-08-07,17,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.75,16.0,8.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,3.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0
46338,48.0,2016-08-06,17,1.0,3.0,2.0,1.0,1.0,0.75,16.0,8.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0
46329,48.0,2016-08-04,17,1.0,3.0,8.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
46287,47.0,2016-07-27,16,1.0,3.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.631578947368421,19.0,18.0,0.0,0.4,0.4810126582278481,79.0,1.0,0.0
