,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45798,35.0,2016-06-08,105,1.0,2.0,1.0,1.0,0.6666666666666666,0.5909090909090909,22.0,73.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6190476190476191,21.0,36.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
45789,35.0,2016-06-07,105,1.0,2.0,73.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6190476190476191,21.0,36.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.6666666666666666,18.0,28.0,0.0,0.25,0.4,40.0,0.0,1.0
45160,20.0,2016-03-26,120,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,36.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.6666666666666666,18.0,28.0,0.0,0.25,0.4,40.0,91.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
45131,20.0,2016-03-24,120,1.0,3.0,36.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.6666666666666666,18.0,28.0,0.0,0.25,0.4,40.0,91.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0
44851,13.0,2016-02-17,120,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,28.0,0.0,0.25,0.4,40.0,91.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,0.0
44844,13.0,2016-02-16,120,1.0,3.0,28.0,0.0,0.25,0.4,40.0,91.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,5.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
44599,6.0,2016-01-19,125,1.0,3.0,91.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
44203,60.0,2015-10-20,119,0.0,3.0,13.0,0.0,0.3333333333333333,0.48148148148148145,27.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,66.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
44130,58.0,2015-10-07,127,1.0,3.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,66.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.68,25.0,1.0,0.0
44111,58.0,2015-10-05,127,1.0,3.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,66.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.68,25.0,3.0,1.0,0.6666666666666666,0.5,26.0,0.0,1.0
