,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46502,52.0,2016-08-30,247,1.0,3.0,224.0,0.0,0.0,0.3870967741935484,31.0,84.0,0.0,0.3333333333333333,0.4642857142857143,28.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,26.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
44589,6.0,2016-01-19,56,1.0,3.0,84.0,0.0,0.3333333333333333,0.4642857142857143,28.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,26.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.6923076923076923,13.0,0.0,0.0
44288,63.0,2015-10-27,60,0.0,3.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,26.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.6923076923076923,13.0,22.0,0.0,0.25,0.40540540540540543,37.0,0.0,0.0
44270,62.0,2015-10-22,65,0.0,3.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,26.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.6923076923076923,13.0,22.0,0.0,0.25,0.40540540540540543,37.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
44261,62.0,2015-10-20,65,0.0,3.0,26.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.6923076923076923,13.0,22.0,0.0,0.25,0.40540540540540543,37.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
44013,54.0,2015-09-24,66,0.0,3.0,2.0,1.0,1.0,0.6923076923076923,13.0,22.0,0.0,0.25,0.40540540540540543,37.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
44002,54.0,2015-09-22,66,0.0,3.0,22.0,0.0,0.25,0.40540540540540543,37.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
43869,52.0,2015-08-31,61,1.0,3.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
43831,51.0,2015-08-26,61,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
43816,51.0,2015-08-25,61,1.0,3.0,5.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0
