,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46618,53.0,2016-09-23,55,0.0,3.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,22.0,0.0,0.25,0.45,40.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,0.0
46613,53.0,2016-09-22,55,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,22.0,0.0,0.25,0.45,40.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0
46609,53.0,2016-09-21,55,0.0,3.0,22.0,0.0,0.25,0.45,40.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,25.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,1.0
46532,52.0,2016-08-30,68,1.0,3.0,7.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,25.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,0.0
46449,51.0,2016-08-23,53,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,25.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,1.0,0.6666666666666666,0.5128205128205128,39.0,1.0,0.0
46436,51.0,2016-08-22,53,1.0,3.0,6.0,0.0,0.3333333333333333,0.45161290322580644,31.0,25.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,1.0,0.6666666666666666,0.5128205128205128,39.0,22.0,0.0,0.0,0.42857142857142855,35.0,0.0,1.0
46381,50.0,2016-08-16,62,1.0,3.0,25.0,0.0,0.3333333333333333,0.39285714285714285,28.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,1.0,0.6666666666666666,0.5128205128205128,39.0,22.0,0.0,0.0,0.42857142857142855,35.0,6.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
46250,46.0,2016-07-22,63,1.0,3.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,1.0,1.0,0.6666666666666666,0.5128205128205128,39.0,22.0,0.0,0.0,0.42857142857142855,35.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,0.0
46237,46.0,2016-07-20,63,1.0,3.0,1.0,1.0,0.6666666666666666,0.5128205128205128,39.0,22.0,0.0,0.0,0.42857142857142855,35.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0
46228,46.0,2016-07-19,63,1.0,3.0,22.0,0.0,0.0,0.42857142857142855,35.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
45946,39.0,2016-06-27,60,1.0,2.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
45898,38.0,2016-06-21,60,1.0,2.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,11.0,0.0,0.25,0.3939393939393939,33.0,1.0,0.0
45881,38.0,2016-06-20,60,1.0,2.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5909090909090909,22.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,11.0,0.0,0.25,0.3939393939393939,33.0,2.0,1.0,0.75,0.6176470588235294,34.0,0.0,1.0
45833,36.0,2016-06-16,64,1.0,2.0,2.0,1.0,1.0,0.5909090909090909,22.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,11.0,0.0,0.25,0.3939393939393939,33.0,2.0,1.0,0.75,0.6176470588235294,34.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,0.0
45817,36.0,2016-06-14,64,1.0,2.0,8.0,0.0,0.3333333333333333,0.41935483870967744,31.0,11.0,0.0,0.25,0.3939393939393939,33.0,2.0,1.0,0.75,0.6176470588235294,34.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,5.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,1.0
45758,34.0,2016-06-06,63,1.0,2.0,11.0,0.0,0.25,0.3939393939393939,33.0,2.0,1.0,0.75,0.6176470588235294,34.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,5.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
45712,33.0,2016-05-26,72,1.0,0.0,2.0,1.0,0.75,0.6176470588235294,34.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,5.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,1.0,0.0
45660,33.0,2016-05-24,72,1.0,0.0,27.0,0.0,0.3333333333333333,0.4074074074074074,27.0,5.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
45448,28.0,2016-04-27,64,1.0,0.0,5.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0,1.0,0.631578947368421,19.0,54.0,0.0,0.0,0.2,15.0,0.0,0.0
45351,24.0,2016-04-22,76,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0,1.0,0.631578947368421,19.0,54.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0
45345,24.0,2016-04-21,76,1.0,0.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0,1.0,0.631578947368421,19.0,54.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.43478260869565216,23.0,2.0,1.0
45332,24.0,2016-04-20,76,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,54.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.43478260869565216,23.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0
45312,24.0,2016-04-18,76,1.0,0.0,54.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.43478260869565216,23.0,6.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
44976,17.0,2016-02-24,121,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.43478260869565216,23.0,6.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.5,58.0,1.0,0.0
44955,17.0,2016-02-22,121,1.0,3.0,7.0,0.0,0.3333333333333333,0.43478260869565216,23.0,6.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.5,58.0,14.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0
44835,13.0,2016-02-15,123,1.0,3.0,6.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.5,58.0,14.0,0.0,0.0,0.46153846153846156,26.0,76.0,0.0,0.0,0.4,20.0,0.0,0.0
44781,11.0,2016-02-09,120,0.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.4,0.5,58.0,14.0,0.0,0.0,0.46153846153846156,26.0,76.0,0.0,0.0,0.4,20.0,50.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
44729,9.0,2016-02-02,122,0.0,3.0,14.0,0.0,0.4,0.5,58.0,14.0,0.0,0.0,0.46153846153846156,26.0,76.0,0.0,0.0,0.4,20.0,50.0,0.0,0.0,0.3333333333333333,27.0,3.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
