,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
39013,60.0,2013-10-17,131,0.0,3.0,2.0,1.0,1.0,0.75,16.0,1453.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.65,20.0,18.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,0.0
39001,60.0,2013-10-15,131,0.0,3.0,1453.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.65,20.0,18.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
28357,57.0,2009-10-23,511,0.0,3.0,2.0,1.0,1.0,0.6,20.0,2.0,1.0,1.0,0.65,20.0,18.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.5909090909090909,22.0,355.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
28350,57.0,2009-10-21,511,0.0,3.0,2.0,1.0,1.0,0.65,20.0,18.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.5909090909090909,22.0,355.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.56,25.0,1.0,1.0
28336,57.0,2009-10-19,511,0.0,3.0,18.0,0.0,0.3333333333333333,0.45161290322580644,31.0,2.0,1.0,1.0,0.5909090909090909,22.0,355.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.56,25.0,362.0,0.0,0.0,0.0,0.0,0.0,1.0
28174,52.0,2009-10-01,446,0.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,355.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.56,25.0,362.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
28165,52.0,2009-09-29,446,0.0,3.0,355.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.56,25.0,362.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,268.0,0.0,0.0,0.5,2.0,0.0,1.0
25607,58.0,2008-10-09,771,0.0,3.0,2.0,1.0,1.0,0.56,25.0,362.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,268.0,0.0,0.0,0.5,2.0,9.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
25594,58.0,2008-10-07,771,0.0,3.0,362.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,268.0,0.0,0.0,0.5,2.0,9.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
22900,59.0,2007-10-11,170,0.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,268.0,0.0,0.0,0.5,2.0,9.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
